"mc_region","region_name","state","mape","id","desc","date","qtt"
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2000-01-01,2816
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2000-02-01,2608
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2000-03-01,2753
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2000-04-01,2855
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2000-05-01,2786
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2000-06-01,2795
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2000-07-01,2642
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2000-08-01,2690
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2000-09-01,2632
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2000-10-01,2557
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2000-11-01,2428
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2000-12-01,2357
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2001-01-01,2560
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2001-02-01,2253
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2001-03-01,2679
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2001-04-01,2455
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2001-05-01,2606
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2001-06-01,2522
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2001-07-01,2428
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2001-08-01,2513
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2001-09-01,2541
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2001-10-01,2711
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2001-11-01,2465
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2001-12-01,2499
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2002-01-01,2657
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2002-02-01,2331
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2002-03-01,2560
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2002-04-01,2569
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2002-05-01,2717
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2002-06-01,2464
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2002-07-01,2442
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2002-08-01,2410
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2002-09-01,2347
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2002-10-01,2476
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2002-11-01,2299
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2002-12-01,2201
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2003-01-01,2419
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2003-02-01,2246
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2003-03-01,2412
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2003-04-01,2410
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2003-05-01,2493
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2003-06-01,2338
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2003-07-01,2399
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2003-08-01,2309
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2003-09-01,2355
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2003-10-01,2289
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2003-11-01,2115
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2003-12-01,2139
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2004-01-01,2395
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2004-02-01,2144
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2004-03-01,2267
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2004-04-01,2439
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2004-05-01,2326
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2004-06-01,2188
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2004-07-01,2279
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2004-08-01,2322
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2004-09-01,2386
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2004-10-01,2336
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2004-11-01,2200
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2004-12-01,2135
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2005-01-01,2322
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2005-02-01,2117
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2005-03-01,2508
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2005-04-01,2425
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2005-05-01,2474
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2005-06-01,2419
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2005-07-01,2421
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2005-08-01,2511
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2005-09-01,2528
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2005-10-01,2583
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2005-11-01,2243
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2005-12-01,2177
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2006-01-01,2138
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2006-02-01,1999
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2006-03-01,2482
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2006-04-01,2221
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2006-05-01,2426
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2006-06-01,2323
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2006-07-01,2312
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2006-08-01,2287
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2006-09-01,2186
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2006-10-01,2133
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2006-11-01,2116
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2006-12-01,2191
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2007-01-01,2285
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2007-02-01,2116
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2007-03-01,2354
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2007-04-01,2134
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2007-05-01,2328
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2007-06-01,2185
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2007-07-01,2261
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2007-08-01,2218
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2007-09-01,2173
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2007-10-01,2218
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2007-11-01,2054
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2007-12-01,2114
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2008-01-01,2103
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2008-02-01,1927
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2008-03-01,2238
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2008-04-01,2303
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2008-05-01,2183
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2008-06-01,2114
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2008-07-01,2288
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2008-08-01,2105
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2008-09-01,2188
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2008-10-01,2127
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2008-11-01,1983
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2008-12-01,2159
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2009-01-01,2266
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2009-02-01,1961
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2009-03-01,2193
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2009-04-01,2094
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2009-05-01,1995
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2009-06-01,1955
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2009-07-01,1977
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2009-08-01,2090
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2009-09-01,2112
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2009-10-01,2074
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2009-11-01,2022
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2009-12-01,2041
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2010-01-01,2096
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2010-02-01,1925
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2010-03-01,2199
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2010-04-01,2028
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2010-05-01,2066
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2010-06-01,2002
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2010-07-01,2200
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2010-08-01,2053
"2309","2ª Macro - Sobral","CE","real data","real data","real data",2010-09-01,2229
