"mc_region","region_name","state","mape","id","desc","date","qtt"
"1101","Macrorregional II (Cacoal)","RO","real data","real data","real data",2000-01-01,1159
"1101","Macrorregional II (Cacoal)","RO","real data","real data","real data",2000-02-01,1187
"1101","Macrorregional II (Cacoal)","RO","real data","real data","real data",2000-03-01,1252
"1101","Macrorregional II (Cacoal)","RO","real data","real data","real data",2000-04-01,1320
"1101","Macrorregional II (Cacoal)","RO","real data","real data","real data",2000-05-01,1338
"1101","Macrorregional II (Cacoal)","RO","real data","real data","real data",2000-06-01,1260
"1101","Macrorregional II (Cacoal)","RO","real data","real data","real data",2000-07-01,1336
"1101","Macrorregional II (Cacoal)","RO","real data","real data","real data",2000-08-01,1380
"1101","Macrorregional II (Cacoal)","RO","real data","real data","real data",2000-09-01,1350
"1101","Macrorregional II (Cacoal)","RO","real data","real data","real data",2000-10-01,1407
"1101","Macrorregional II (Cacoal)","RO","real data","real data","real data",2000-11-01,1163
"1101","Macrorregional II (Cacoal)","RO","real data","real data","real data",2000-12-01,1164
"1101","Macrorregional II (Cacoal)","RO","real data","real data","real data",2001-01-01,1160
"1101","Macrorregional II (Cacoal)","RO","real data","real data","real data",2001-02-01,1062
"1101","Macrorregional II (Cacoal)","RO","real data","real data","real data",2001-03-01,1207
"1101","Macrorregional II (Cacoal)","RO","real data","real data","real data",2001-04-01,1006
"1101","Macrorregional II (Cacoal)","RO","real data","real data","real data",2001-05-01,1077
"1101","Macrorregional II (Cacoal)","RO","real data","real data","real data",2001-06-01,914
"1101","Macrorregional II (Cacoal)","RO","real data","real data","real data",2001-07-01,1027
"1101","Macrorregional II (Cacoal)","RO","real data","real data","real data",2001-08-01,1160
"1101","Macrorregional II (Cacoal)","RO","real data","real data","real data",2001-09-01,1043
"1101","Macrorregional II (Cacoal)","RO","real data","real data","real data",2001-10-01,1228
"1101","Macrorregional II (Cacoal)","RO","real data","real data","real data",2001-11-01,1172
"1101","Macrorregional II (Cacoal)","RO","real data","real data","real data",2001-12-01,929
"1101","Macrorregional II (Cacoal)","RO","real data","real data","real data",2002-01-01,1172
"1101","Macrorregional II (Cacoal)","RO","real data","real data","real data",2002-02-01,1135
"1101","Macrorregional II (Cacoal)","RO","real data","real data","real data",2002-03-01,1323
"1101","Macrorregional II (Cacoal)","RO","real data","real data","real data",2002-04-01,1291
"1101","Macrorregional II (Cacoal)","RO","real data","real data","real data",2002-05-01,1309
"1101","Macrorregional II (Cacoal)","RO","real data","real data","real data",2002-06-01,1205
"1101","Macrorregional II (Cacoal)","RO","real data","real data","real data",2002-07-01,1259
"1101","Macrorregional II (Cacoal)","RO","real data","real data","real data",2002-08-01,1207
"1101","Macrorregional II (Cacoal)","RO","real data","real data","real data",2002-09-01,1219
"1101","Macrorregional II (Cacoal)","RO","real data","real data","real data",2002-10-01,1190
"1101","Macrorregional II (Cacoal)","RO","real data","real data","real data",2002-11-01,1158
"1101","Macrorregional II (Cacoal)","RO","real data","real data","real data",2002-12-01,1107
"1101","Macrorregional II (Cacoal)","RO","real data","real data","real data",2003-01-01,1113
"1101","Macrorregional II (Cacoal)","RO","real data","real data","real data",2003-02-01,929
"1101","Macrorregional II (Cacoal)","RO","real data","real data","real data",2003-03-01,1274
"1101","Macrorregional II (Cacoal)","RO","real data","real data","real data",2003-04-01,1292
"1101","Macrorregional II (Cacoal)","RO","real data","real data","real data",2003-05-01,1249
"1101","Macrorregional II (Cacoal)","RO","real data","real data","real data",2003-06-01,1154
"1101","Macrorregional II (Cacoal)","RO","real data","real data","real data",2003-07-01,1169
"1101","Macrorregional II (Cacoal)","RO","real data","real data","real data",2003-08-01,1161
"1101","Macrorregional II (Cacoal)","RO","real data","real data","real data",2003-09-01,1236
"1101","Macrorregional II (Cacoal)","RO","real data","real data","real data",2003-10-01,1181
"1101","Macrorregional II (Cacoal)","RO","real data","real data","real data",2003-11-01,1102
"1101","Macrorregional II (Cacoal)","RO","real data","real data","real data",2003-12-01,1182
"1101","Macrorregional II (Cacoal)","RO","real data","real data","real data",2004-01-01,1183
"1101","Macrorregional II (Cacoal)","RO","real data","real data","real data",2004-02-01,1081
"1101","Macrorregional II (Cacoal)","RO","real data","real data","real data",2004-03-01,1221
"1101","Macrorregional II (Cacoal)","RO","real data","real data","real data",2004-04-01,1216
"1101","Macrorregional II (Cacoal)","RO","real data","real data","real data",2004-05-01,1296
"1101","Macrorregional II (Cacoal)","RO","real data","real data","real data",2004-06-01,1182
"1101","Macrorregional II (Cacoal)","RO","real data","real data","real data",2004-07-01,1147
"1101","Macrorregional II (Cacoal)","RO","real data","real data","real data",2004-08-01,1153
"1101","Macrorregional II (Cacoal)","RO","real data","real data","real data",2004-09-01,1148
"1101","Macrorregional II (Cacoal)","RO","real data","real data","real data",2004-10-01,1088
"1101","Macrorregional II (Cacoal)","RO","real data","real data","real data",2004-11-01,1159
"1101","Macrorregional II (Cacoal)","RO","real data","real data","real data",2004-12-01,1052
"1101","Macrorregional II (Cacoal)","RO","real data","real data","real data",2005-01-01,998
"1101","Macrorregional II (Cacoal)","RO","real data","real data","real data",2005-02-01,1071
"1101","Macrorregional II (Cacoal)","RO","real data","real data","real data",2005-03-01,1219
"1101","Macrorregional II (Cacoal)","RO","real data","real data","real data",2005-04-01,1234
"1101","Macrorregional II (Cacoal)","RO","real data","real data","real data",2005-05-01,1191
"1101","Macrorregional II (Cacoal)","RO","real data","real data","real data",2005-06-01,1173
"1101","Macrorregional II (Cacoal)","RO","real data","real data","real data",2005-07-01,954
"1101","Macrorregional II (Cacoal)","RO","real data","real data","real data",2005-08-01,1153
"1101","Macrorregional II (Cacoal)","RO","real data","real data","real data",2005-09-01,1170
"1101","Macrorregional II (Cacoal)","RO","real data","real data","real data",2005-10-01,964
"1101","Macrorregional II (Cacoal)","RO","real data","real data","real data",2005-11-01,917
"1101","Macrorregional II (Cacoal)","RO","real data","real data","real data",2005-12-01,838
"1101","Macrorregional II (Cacoal)","RO","real data","real data","real data",2006-01-01,886
"1101","Macrorregional II (Cacoal)","RO","real data","real data","real data",2006-02-01,871
"1101","Macrorregional II (Cacoal)","RO","real data","real data","real data",2006-03-01,1051
"1101","Macrorregional II (Cacoal)","RO","real data","real data","real data",2006-04-01,923
"1101","Macrorregional II (Cacoal)","RO","real data","real data","real data",2006-05-01,1035
"1101","Macrorregional II (Cacoal)","RO","real data","real data","real data",2006-06-01,1008
"1101","Macrorregional II (Cacoal)","RO","real data","real data","real data",2006-07-01,963
"1101","Macrorregional II (Cacoal)","RO","real data","real data","real data",2006-08-01,893
"1101","Macrorregional II (Cacoal)","RO","real data","real data","real data",2006-09-01,901
"1101","Macrorregional II (Cacoal)","RO","real data","real data","real data",2006-10-01,961
"1101","Macrorregional II (Cacoal)","RO","real data","real data","real data",2006-11-01,901
"1101","Macrorregional II (Cacoal)","RO","real data","real data","real data",2006-12-01,959
"1101","Macrorregional II (Cacoal)","RO","real data","real data","real data",2007-01-01,1023
"1101","Macrorregional II (Cacoal)","RO","real data","real data","real data",2007-02-01,988
"1101","Macrorregional II (Cacoal)","RO","real data","real data","real data",2007-03-01,1033
"1101","Macrorregional II (Cacoal)","RO","real data","real data","real data",2007-04-01,893
"1101","Macrorregional II (Cacoal)","RO","real data","real data","real data",2007-05-01,911
"1101","Macrorregional II (Cacoal)","RO","real data","real data","real data",2007-06-01,808
