"mc_region","region_name","state","mape","id","desc","date","qtt"
"1102","Macrorregião I - Porto Velho","RO","real data","real data","real data",2000-01-01,1297
"1102","Macrorregião I - Porto Velho","RO","real data","real data","real data",2000-02-01,1237
"1102","Macrorregião I - Porto Velho","RO","real data","real data","real data",2000-03-01,1392
"1102","Macrorregião I - Porto Velho","RO","real data","real data","real data",2000-04-01,1283
"1102","Macrorregião I - Porto Velho","RO","real data","real data","real data",2000-05-01,1440
"1102","Macrorregião I - Porto Velho","RO","real data","real data","real data",2000-06-01,1349
"1102","Macrorregião I - Porto Velho","RO","real data","real data","real data",2000-07-01,1358
"1102","Macrorregião I - Porto Velho","RO","real data","real data","real data",2000-08-01,1285
"1102","Macrorregião I - Porto Velho","RO","real data","real data","real data",2000-09-01,1340
"1102","Macrorregião I - Porto Velho","RO","real data","real data","real data",2000-10-01,1390
"1102","Macrorregião I - Porto Velho","RO","real data","real data","real data",2000-11-01,1317
"1102","Macrorregião I - Porto Velho","RO","real data","real data","real data",2000-12-01,1286
"1102","Macrorregião I - Porto Velho","RO","real data","real data","real data",2001-01-01,1260
"1102","Macrorregião I - Porto Velho","RO","real data","real data","real data",2001-02-01,1192
"1102","Macrorregião I - Porto Velho","RO","real data","real data","real data",2001-03-01,1241
"1102","Macrorregião I - Porto Velho","RO","real data","real data","real data",2001-04-01,1291
"1102","Macrorregião I - Porto Velho","RO","real data","real data","real data",2001-05-01,1355
"1102","Macrorregião I - Porto Velho","RO","real data","real data","real data",2001-06-01,1155
"1102","Macrorregião I - Porto Velho","RO","real data","real data","real data",2001-07-01,1261
"1102","Macrorregião I - Porto Velho","RO","real data","real data","real data",2001-08-01,1272
"1102","Macrorregião I - Porto Velho","RO","real data","real data","real data",2001-09-01,1308
"1102","Macrorregião I - Porto Velho","RO","real data","real data","real data",2001-10-01,1309
"1102","Macrorregião I - Porto Velho","RO","real data","real data","real data",2001-11-01,1294
"1102","Macrorregião I - Porto Velho","RO","real data","real data","real data",2001-12-01,1253
"1102","Macrorregião I - Porto Velho","RO","real data","real data","real data",2002-01-01,1263
"1102","Macrorregião I - Porto Velho","RO","real data","real data","real data",2002-02-01,1080
"1102","Macrorregião I - Porto Velho","RO","real data","real data","real data",2002-03-01,1244
"1102","Macrorregião I - Porto Velho","RO","real data","real data","real data",2002-04-01,1271
"1102","Macrorregião I - Porto Velho","RO","real data","real data","real data",2002-05-01,1257
"1102","Macrorregião I - Porto Velho","RO","real data","real data","real data",2002-06-01,1224
"1102","Macrorregião I - Porto Velho","RO","real data","real data","real data",2002-07-01,1215
"1102","Macrorregião I - Porto Velho","RO","real data","real data","real data",2002-08-01,1201
"1102","Macrorregião I - Porto Velho","RO","real data","real data","real data",2002-09-01,1246
"1102","Macrorregião I - Porto Velho","RO","real data","real data","real data",2002-10-01,1291
"1102","Macrorregião I - Porto Velho","RO","real data","real data","real data",2002-11-01,1209
"1102","Macrorregião I - Porto Velho","RO","real data","real data","real data",2002-12-01,1146
"1102","Macrorregião I - Porto Velho","RO","real data","real data","real data",2003-01-01,1103
"1102","Macrorregião I - Porto Velho","RO","real data","real data","real data",2003-02-01,1084
"1102","Macrorregião I - Porto Velho","RO","real data","real data","real data",2003-03-01,1236
"1102","Macrorregião I - Porto Velho","RO","real data","real data","real data",2003-04-01,1289
"1102","Macrorregião I - Porto Velho","RO","real data","real data","real data",2003-05-01,1254
"1102","Macrorregião I - Porto Velho","RO","real data","real data","real data",2003-06-01,1295
"1102","Macrorregião I - Porto Velho","RO","real data","real data","real data",2003-07-01,1237
"1102","Macrorregião I - Porto Velho","RO","real data","real data","real data",2003-08-01,1265
"1102","Macrorregião I - Porto Velho","RO","real data","real data","real data",2003-09-01,1282
"1102","Macrorregião I - Porto Velho","RO","real data","real data","real data",2003-10-01,1265
