"mc_region","region_name","state","mape","id","desc","date","qtt"
"1201","Macro única - AC","AC","real data","real data","real data",2000-01-01,1247
"1201","Macro única - AC","AC","real data","real data","real data",2000-02-01,1262
"1201","Macro única - AC","AC","real data","real data","real data",2000-03-01,1289
"1201","Macro única - AC","AC","real data","real data","real data",2000-04-01,1277
"1201","Macro única - AC","AC","real data","real data","real data",2000-05-01,1427
"1201","Macro única - AC","AC","real data","real data","real data",2000-06-01,1257
"1201","Macro única - AC","AC","real data","real data","real data",2000-07-01,1224
"1201","Macro única - AC","AC","real data","real data","real data",2000-08-01,1328
"1201","Macro única - AC","AC","real data","real data","real data",2000-09-01,1276
"1201","Macro única - AC","AC","real data","real data","real data",2000-10-01,1282
"1201","Macro única - AC","AC","real data","real data","real data",2000-11-01,1274
"1201","Macro única - AC","AC","real data","real data","real data",2000-12-01,1083
"1201","Macro única - AC","AC","real data","real data","real data",2001-01-01,1240
"1201","Macro única - AC","AC","real data","real data","real data",2001-02-01,1067
"1201","Macro única - AC","AC","real data","real data","real data",2001-03-01,1262
"1201","Macro única - AC","AC","real data","real data","real data",2001-04-01,1360
"1201","Macro única - AC","AC","real data","real data","real data",2001-05-01,1360
"1201","Macro única - AC","AC","real data","real data","real data",2001-06-01,1189
"1201","Macro única - AC","AC","real data","real data","real data",2001-07-01,1248
"1201","Macro única - AC","AC","real data","real data","real data",2001-08-01,1219
"1201","Macro única - AC","AC","real data","real data","real data",2001-09-01,1215
"1201","Macro única - AC","AC","real data","real data","real data",2001-10-01,1406
"1201","Macro única - AC","AC","real data","real data","real data",2001-11-01,1177
"1201","Macro única - AC","AC","real data","real data","real data",2001-12-01,1154
"1201","Macro única - AC","AC","real data","real data","real data",2002-01-01,1343
"1201","Macro única - AC","AC","real data","real data","real data",2002-02-01,1261
"1201","Macro única - AC","AC","real data","real data","real data",2002-03-01,1389
"1201","Macro única - AC","AC","real data","real data","real data",2002-04-01,1155
"1201","Macro única - AC","AC","real data","real data","real data",2002-05-01,1408
"1201","Macro única - AC","AC","real data","real data","real data",2002-06-01,1437
"1201","Macro única - AC","AC","real data","real data","real data",2002-07-01,1346
"1201","Macro única - AC","AC","real data","real data","real data",2002-08-01,1246
"1201","Macro única - AC","AC","real data","real data","real data",2002-09-01,1404
"1201","Macro única - AC","AC","real data","real data","real data",2002-10-01,1345
"1201","Macro única - AC","AC","real data","real data","real data",2002-11-01,1268
"1201","Macro única - AC","AC","real data","real data","real data",2002-12-01,1238
"1201","Macro única - AC","AC","real data","real data","real data",2003-01-01,1428
"1201","Macro única - AC","AC","real data","real data","real data",2003-02-01,1231
"1201","Macro única - AC","AC","real data","real data","real data",2003-03-01,1513
"1201","Macro única - AC","AC","real data","real data","real data",2003-04-01,1430
"1201","Macro única - AC","AC","real data","real data","real data",2003-05-01,1551
"1201","Macro única - AC","AC","real data","real data","real data",2003-06-01,1395
"1201","Macro única - AC","AC","real data","real data","real data",2003-07-01,1294
"1201","Macro única - AC","AC","real data","real data","real data",2003-08-01,1336
"1201","Macro única - AC","AC","real data","real data","real data",2003-09-01,1289
"1201","Macro única - AC","AC","real data","real data","real data",2003-10-01,1211
"1201","Macro única - AC","AC","real data","real data","real data",2003-11-01,1186
"1201","Macro única - AC","AC","real data","real data","real data",2003-12-01,1120
"1201","Macro única - AC","AC","real data","real data","real data",2004-01-01,1470
"1201","Macro única - AC","AC","real data","real data","real data",2004-02-01,1348
"1201","Macro única - AC","AC","real data","real data","real data",2004-03-01,1452
"1201","Macro única - AC","AC","real data","real data","real data",2004-04-01,1490
"1201","Macro única - AC","AC","real data","real data","real data",2004-05-01,1606
"1201","Macro única - AC","AC","real data","real data","real data",2004-06-01,1414
"1201","Macro única - AC","AC","real data","real data","real data",2004-07-01,1386
"1201","Macro única - AC","AC","real data","real data","real data",2004-08-01,1309
