"mc_region","region_name","state","mape","id","desc","date","qtt"
"1302","Oeste","AM","real data","real data","real data",2000-01-01,594
"1302","Oeste","AM","real data","real data","real data",2000-02-01,556
"1302","Oeste","AM","real data","real data","real data",2000-03-01,595
"1302","Oeste","AM","real data","real data","real data",2000-04-01,597
"1302","Oeste","AM","real data","real data","real data",2000-05-01,593
"1302","Oeste","AM","real data","real data","real data",2000-06-01,608
"1302","Oeste","AM","real data","real data","real data",2000-07-01,583
"1302","Oeste","AM","real data","real data","real data",2000-08-01,707
"1302","Oeste","AM","real data","real data","real data",2000-09-01,658
"1302","Oeste","AM","real data","real data","real data",2000-10-01,650
"1302","Oeste","AM","real data","real data","real data",2000-11-01,546
"1302","Oeste","AM","real data","real data","real data",2000-12-01,544
"1302","Oeste","AM","real data","real data","real data",2001-01-01,637
"1302","Oeste","AM","real data","real data","real data",2001-02-01,625
"1302","Oeste","AM","real data","real data","real data",2001-03-01,675
"1302","Oeste","AM","real data","real data","real data",2001-04-01,656
"1302","Oeste","AM","real data","real data","real data",2001-05-01,681
"1302","Oeste","AM","real data","real data","real data",2001-06-01,691
"1302","Oeste","AM","real data","real data","real data",2001-07-01,730
"1302","Oeste","AM","real data","real data","real data",2001-08-01,755
"1302","Oeste","AM","real data","real data","real data",2001-09-01,875
"1302","Oeste","AM","real data","real data","real data",2001-10-01,825
"1302","Oeste","AM","real data","real data","real data",2001-11-01,871
"1302","Oeste","AM","real data","real data","real data",2001-12-01,740
"1302","Oeste","AM","real data","real data","real data",2002-01-01,867
"1302","Oeste","AM","real data","real data","real data",2002-02-01,806
"1302","Oeste","AM","real data","real data","real data",2002-03-01,821
"1302","Oeste","AM","real data","real data","real data",2002-04-01,793
"1302","Oeste","AM","real data","real data","real data",2002-05-01,803
"1302","Oeste","AM","real data","real data","real data",2002-06-01,737
"1302","Oeste","AM","real data","real data","real data",2002-07-01,781
"1302","Oeste","AM","real data","real data","real data",2002-08-01,735
"1302","Oeste","AM","real data","real data","real data",2002-09-01,747
"1302","Oeste","AM","real data","real data","real data",2002-10-01,743
"1302","Oeste","AM","real data","real data","real data",2002-11-01,773
"1302","Oeste","AM","real data","real data","real data",2002-12-01,818
"1302","Oeste","AM","real data","real data","real data",2003-01-01,841
"1302","Oeste","AM","real data","real data","real data",2003-02-01,806
"1302","Oeste","AM","real data","real data","real data",2003-03-01,832
"1302","Oeste","AM","real data","real data","real data",2003-04-01,817
"1302","Oeste","AM","real data","real data","real data",2003-05-01,816
"1302","Oeste","AM","real data","real data","real data",2003-06-01,866
"1302","Oeste","AM","real data","real data","real data",2003-07-01,788
"1302","Oeste","AM","real data","real data","real data",2003-08-01,835
"1302","Oeste","AM","real data","real data","real data",2003-09-01,793
"1302","Oeste","AM","real data","real data","real data",2003-10-01,756
"1302","Oeste","AM","real data","real data","real data",2003-11-01,723
"1302","Oeste","AM","real data","real data","real data",2003-12-01,720
"1302","Oeste","AM","real data","real data","real data",2004-01-01,843
"1302","Oeste","AM","real data","real data","real data",2004-02-01,796
"1302","Oeste","AM","real data","real data","real data",2004-03-01,819
"1302","Oeste","AM","real data","real data","real data",2004-04-01,819
"1302","Oeste","AM","real data","real data","real data",2004-05-01,797
"1302","Oeste","AM","real data","real data","real data",2004-06-01,875
"1302","Oeste","AM","real data","real data","real data",2004-07-01,832
"1302","Oeste","AM","real data","real data","real data",2004-08-01,793
"1302","Oeste","AM","real data","real data","real data",2004-09-01,880
"1302","Oeste","AM","real data","real data","real data",2004-10-01,823
"1302","Oeste","AM","real data","real data","real data",2004-11-01,792
"1302","Oeste","AM","real data","real data","real data",2004-12-01,716
"1302","Oeste","AM","real data","real data","real data",2005-01-01,834
"1302","Oeste","AM","real data","real data","real data",2005-02-01,827
"1302","Oeste","AM","real data","real data","real data",2005-03-01,1010
"1302","Oeste","AM","real data","real data","real data",2005-04-01,946
"1302","Oeste","AM","real data","real data","real data",2005-05-01,921
"1302","Oeste","AM","real data","real data","real data",2005-06-01,930
"1302","Oeste","AM","real data","real data","real data",2005-07-01,844
"1302","Oeste","AM","real data","real data","real data",2005-08-01,871
"1302","Oeste","AM","real data","real data","real data",2005-09-01,926
"1302","Oeste","AM","real data","real data","real data",2005-10-01,806
"1302","Oeste","AM","real data","real data","real data",2005-11-01,875
"1302","Oeste","AM","real data","real data","real data",2005-12-01,785
"1302","Oeste","AM","real data","real data","real data",2006-01-01,933
"1302","Oeste","AM","real data","real data","real data",2006-02-01,915
"1302","Oeste","AM","real data","real data","real data",2006-03-01,905
"1302","Oeste","AM","real data","real data","real data",2006-04-01,971
"1302","Oeste","AM","real data","real data","real data",2006-05-01,1019
"1302","Oeste","AM","real data","real data","real data",2006-06-01,934
"1302","Oeste","AM","real data","real data","real data",2006-07-01,915
"1302","Oeste","AM","real data","real data","real data",2006-08-01,988
"1302","Oeste","AM","real data","real data","real data",2006-09-01,956
