"mc_region","region_name","state","mape","id","desc","date","qtt"
"1509","Macrorregional IV","PA","real data","real data","real data",2000-01-01,1454
"1509","Macrorregional IV","PA","real data","real data","real data",2000-02-01,1469
"1509","Macrorregional IV","PA","real data","real data","real data",2000-03-01,1822
"1509","Macrorregional IV","PA","real data","real data","real data",2000-04-01,1864
"1509","Macrorregional IV","PA","real data","real data","real data",2000-05-01,2107
"1509","Macrorregional IV","PA","real data","real data","real data",2000-06-01,1899
"1509","Macrorregional IV","PA","real data","real data","real data",2000-07-01,1879
"1509","Macrorregional IV","PA","real data","real data","real data",2000-08-01,2129
"1509","Macrorregional IV","PA","real data","real data","real data",2000-09-01,2187
"1509","Macrorregional IV","PA","real data","real data","real data",2000-10-01,2131
"1509","Macrorregional IV","PA","real data","real data","real data",2000-11-01,1873
"1509","Macrorregional IV","PA","real data","real data","real data",2000-12-01,1667
"1509","Macrorregional IV","PA","real data","real data","real data",2001-01-01,1813
"1509","Macrorregional IV","PA","real data","real data","real data",2001-02-01,1783
"1509","Macrorregional IV","PA","real data","real data","real data",2001-03-01,2121
"1509","Macrorregional IV","PA","real data","real data","real data",2001-04-01,2127
"1509","Macrorregional IV","PA","real data","real data","real data",2001-05-01,2266
"1509","Macrorregional IV","PA","real data","real data","real data",2001-06-01,2141
"1509","Macrorregional IV","PA","real data","real data","real data",2001-07-01,2173
"1509","Macrorregional IV","PA","real data","real data","real data",2001-08-01,2145
"1509","Macrorregional IV","PA","real data","real data","real data",2001-09-01,2278
"1509","Macrorregional IV","PA","real data","real data","real data",2001-10-01,2285
"1509","Macrorregional IV","PA","real data","real data","real data",2001-11-01,2210
"1509","Macrorregional IV","PA","real data","real data","real data",2001-12-01,2000
"1509","Macrorregional IV","PA","real data","real data","real data",2002-01-01,2102
"1509","Macrorregional IV","PA","real data","real data","real data",2002-02-01,1986
"1509","Macrorregional IV","PA","real data","real data","real data",2002-03-01,2252
"1509","Macrorregional IV","PA","real data","real data","real data",2002-04-01,2235
"1509","Macrorregional IV","PA","real data","real data","real data",2002-05-01,2510
"1509","Macrorregional IV","PA","real data","real data","real data",2002-06-01,2337
"1509","Macrorregional IV","PA","real data","real data","real data",2002-07-01,2330
"1509","Macrorregional IV","PA","real data","real data","real data",2002-08-01,2218
"1509","Macrorregional IV","PA","real data","real data","real data",2002-09-01,2407
"1509","Macrorregional IV","PA","real data","real data","real data",2002-10-01,2406
"1509","Macrorregional IV","PA","real data","real data","real data",2002-11-01,2271
"1509","Macrorregional IV","PA","real data","real data","real data",2002-12-01,2074
"1509","Macrorregional IV","PA","real data","real data","real data",2003-01-01,2378
"1509","Macrorregional IV","PA","real data","real data","real data",2003-02-01,2043
