"mc_region","region_name","state","mape","id","desc","date","qtt"
"1510","Macrorregional III","PA","real data","real data","real data",2000-01-01,1866
"1510","Macrorregional III","PA","real data","real data","real data",2000-02-01,1564
"1510","Macrorregional III","PA","real data","real data","real data",2000-03-01,1807
"1510","Macrorregional III","PA","real data","real data","real data",2000-04-01,1941
"1510","Macrorregional III","PA","real data","real data","real data",2000-05-01,2056
"1510","Macrorregional III","PA","real data","real data","real data",2000-06-01,2139
"1510","Macrorregional III","PA","real data","real data","real data",2000-07-01,2163
"1510","Macrorregional III","PA","real data","real data","real data",2000-08-01,2210
"1510","Macrorregional III","PA","real data","real data","real data",2000-09-01,2230
"1510","Macrorregional III","PA","real data","real data","real data",2000-10-01,1945
"1510","Macrorregional III","PA","real data","real data","real data",2000-11-01,1605
"1510","Macrorregional III","PA","real data","real data","real data",2000-12-01,1450
"1510","Macrorregional III","PA","real data","real data","real data",2001-01-01,1878
"1510","Macrorregional III","PA","real data","real data","real data",2001-02-01,1746
"1510","Macrorregional III","PA","real data","real data","real data",2001-03-01,2107
"1510","Macrorregional III","PA","real data","real data","real data",2001-04-01,1941
"1510","Macrorregional III","PA","real data","real data","real data",2001-05-01,2069
"1510","Macrorregional III","PA","real data","real data","real data",2001-06-01,2013
"1510","Macrorregional III","PA","real data","real data","real data",2001-07-01,2041
"1510","Macrorregional III","PA","real data","real data","real data",2001-08-01,2232
"1510","Macrorregional III","PA","real data","real data","real data",2001-09-01,2355
"1510","Macrorregional III","PA","real data","real data","real data",2001-10-01,2294
"1510","Macrorregional III","PA","real data","real data","real data",2001-11-01,2048
"1510","Macrorregional III","PA","real data","real data","real data",2001-12-01,2237
"1510","Macrorregional III","PA","real data","real data","real data",2002-01-01,2250
"1510","Macrorregional III","PA","real data","real data","real data",2002-02-01,1968
"1510","Macrorregional III","PA","real data","real data","real data",2002-03-01,2175
"1510","Macrorregional III","PA","real data","real data","real data",2002-04-01,2263
"1510","Macrorregional III","PA","real data","real data","real data",2002-05-01,2282
"1510","Macrorregional III","PA","real data","real data","real data",2002-06-01,2178
"1510","Macrorregional III","PA","real data","real data","real data",2002-07-01,2255
"1510","Macrorregional III","PA","real data","real data","real data",2002-08-01,2114
"1510","Macrorregional III","PA","real data","real data","real data",2002-09-01,1819
"1510","Macrorregional III","PA","real data","real data","real data",2002-10-01,1419
"1510","Macrorregional III","PA","real data","real data","real data",2002-11-01,1928
"1510","Macrorregional III","PA","real data","real data","real data",2002-12-01,2154
"1510","Macrorregional III","PA","real data","real data","real data",2003-01-01,2262
"1510","Macrorregional III","PA","real data","real data","real data",2003-02-01,2120
"1510","Macrorregional III","PA","real data","real data","real data",2003-03-01,2355
"1510","Macrorregional III","PA","real data","real data","real data",2003-04-01,2203
"1510","Macrorregional III","PA","real data","real data","real data",2003-05-01,2317
"1510","Macrorregional III","PA","real data","real data","real data",2003-06-01,2202
"1510","Macrorregional III","PA","real data","real data","real data",2003-07-01,2364
"1510","Macrorregional III","PA","real data","real data","real data",2003-08-01,2298
"1510","Macrorregional III","PA","real data","real data","real data",2003-09-01,2172
"1510","Macrorregional III","PA","real data","real data","real data",2003-10-01,2167
"1510","Macrorregional III","PA","real data","real data","real data",2003-11-01,2274
"1510","Macrorregional III","PA","real data","real data","real data",2003-12-01,2164
"1510","Macrorregional III","PA","real data","real data","real data",2004-01-01,2263
"1510","Macrorregional III","PA","real data","real data","real data",2004-02-01,2169
"1510","Macrorregional III","PA","real data","real data","real data",2004-03-01,2319
"1510","Macrorregional III","PA","real data","real data","real data",2004-04-01,2277
"1510","Macrorregional III","PA","real data","real data","real data",2004-05-01,2252
"1510","Macrorregional III","PA","real data","real data","real data",2004-06-01,2168
"1510","Macrorregional III","PA","real data","real data","real data",2004-07-01,2263
"1510","Macrorregional III","PA","real data","real data","real data",2004-08-01,2303
"1510","Macrorregional III","PA","real data","real data","real data",2004-09-01,2343
"1510","Macrorregional III","PA","real data","real data","real data",2004-10-01,2099
"1510","Macrorregional III","PA","real data","real data","real data",2004-11-01,1974
"1510","Macrorregional III","PA","real data","real data","real data",2004-12-01,1503
"1510","Macrorregional III","PA","real data","real data","real data",2005-01-01,2346
"1510","Macrorregional III","PA","real data","real data","real data",2005-02-01,2070
"1510","Macrorregional III","PA","real data","real data","real data",2005-03-01,2402
"1510","Macrorregional III","PA","real data","real data","real data",2005-04-01,2465
"1510","Macrorregional III","PA","real data","real data","real data",2005-05-01,2504
"1510","Macrorregional III","PA","real data","real data","real data",2005-06-01,2331
"1510","Macrorregional III","PA","real data","real data","real data",2005-07-01,2244
"1510","Macrorregional III","PA","real data","real data","real data",2005-08-01,2298
"1510","Macrorregional III","PA","real data","real data","real data",2005-09-01,2144
"1510","Macrorregional III","PA","real data","real data","real data",2005-10-01,2138
"1510","Macrorregional III","PA","real data","real data","real data",2005-11-01,2260
"1510","Macrorregional III","PA","real data","real data","real data",2005-12-01,2148
"1510","Macrorregional III","PA","real data","real data","real data",2006-01-01,2218
"1510","Macrorregional III","PA","real data","real data","real data",2006-02-01,1996
"1510","Macrorregional III","PA","real data","real data","real data",2006-03-01,2299
"1510","Macrorregional III","PA","real data","real data","real data",2006-04-01,2311
"1510","Macrorregional III","PA","real data","real data","real data",2006-05-01,2408
"1510","Macrorregional III","PA","real data","real data","real data",2006-06-01,2195
"1510","Macrorregional III","PA","real data","real data","real data",2006-07-01,2290
"1510","Macrorregional III","PA","real data","real data","real data",2006-08-01,2263
"1510","Macrorregional III","PA","real data","real data","real data",2006-09-01,2311
"1510","Macrorregional III","PA","real data","real data","real data",2006-10-01,2411
"1510","Macrorregional III","PA","real data","real data","real data",2006-11-01,2215
"1510","Macrorregional III","PA","real data","real data","real data",2006-12-01,2326
"1510","Macrorregional III","PA","real data","real data","real data",2007-01-01,2521
"1510","Macrorregional III","PA","real data","real data","real data",2007-02-01,2031
"1510","Macrorregional III","PA","real data","real data","real data",2007-03-01,2250
"1510","Macrorregional III","PA","real data","real data","real data",2007-04-01,1982
"1510","Macrorregional III","PA","real data","real data","real data",2007-05-01,2255
"1510","Macrorregional III","PA","real data","real data","real data",2007-06-01,2222
"1510","Macrorregional III","PA","real data","real data","real data",2007-07-01,2278
"1510","Macrorregional III","PA","real data","real data","real data",2007-08-01,2378
"1510","Macrorregional III","PA","real data","real data","real data",2007-09-01,2352
"1510","Macrorregional III","PA","real data","real data","real data",2007-10-01,2347
"1510","Macrorregional III","PA","real data","real data","real data",2007-11-01,2235
"1510","Macrorregional III","PA","real data","real data","real data",2007-12-01,2225
"1510","Macrorregional III","PA","real data","real data","real data",2008-01-01,2257
"1510","Macrorregional III","PA","real data","real data","real data",2008-02-01,2005
"1510","Macrorregional III","PA","real data","real data","real data",2008-03-01,2151
"1510","Macrorregional III","PA","real data","real data","real data",2008-04-01,2274
"1510","Macrorregional III","PA","real data","real data","real data",2008-05-01,2204
"1510","Macrorregional III","PA","real data","real data","real data",2008-06-01,2166
"1510","Macrorregional III","PA","real data","real data","real data",2008-07-01,2173
"1510","Macrorregional III","PA","real data","real data","real data",2008-08-01,2233
"1510","Macrorregional III","PA","real data","real data","real data",2008-09-01,2284
"1510","Macrorregional III","PA","real data","real data","real data",2008-10-01,2431
"1510","Macrorregional III","PA","real data","real data","real data",2008-11-01,2152
"1510","Macrorregional III","PA","real data","real data","real data",2008-12-01,2244
"1510","Macrorregional III","PA","real data","real data","real data",2009-01-01,2181
"1510","Macrorregional III","PA","real data","real data","real data",2009-02-01,1846
"1510","Macrorregional III","PA","real data","real data","real data",2009-03-01,2090
"1510","Macrorregional III","PA","real data","real data","real data",2009-04-01,1981
"1510","Macrorregional III","PA","real data","real data","real data",2009-05-01,2025
"1510","Macrorregional III","PA","real data","real data","real data",2009-06-01,1936
"1510","Macrorregional III","PA","real data","real data","real data",2009-07-01,2034
"1510","Macrorregional III","PA","real data","real data","real data",2009-08-01,2033
"1510","Macrorregional III","PA","real data","real data","real data",2009-09-01,2126
"1510","Macrorregional III","PA","real data","real data","real data",2009-10-01,1988
"1510","Macrorregional III","PA","real data","real data","real data",2009-11-01,1913
"1510","Macrorregional III","PA","real data","real data","real data",2009-12-01,2064
"1510","Macrorregional III","PA","real data","real data","real data",2010-01-01,2086
"1510","Macrorregional III","PA","real data","real data","real data",2010-02-01,1845
"1510","Macrorregional III","PA","real data","real data","real data",2010-03-01,2180
"1510","Macrorregional III","PA","real data","real data","real data",2010-04-01,1985
"1510","Macrorregional III","PA","real data","real data","real data",2010-05-01,2011
"1510","Macrorregional III","PA","real data","real data","real data",2010-06-01,1948
"1510","Macrorregional III","PA","real data","real data","real data",2010-07-01,2068
"1510","Macrorregional III","PA","real data","real data","real data",2010-08-01,2020
"1510","Macrorregional III","PA","real data","real data","real data",2010-09-01,2114
"1510","Macrorregional III","PA","real data","real data","real data",2010-10-01,2266
"1510","Macrorregional III","PA","real data","real data","real data",2010-11-01,1970
"1510","Macrorregional III","PA","real data","real data","real data",2010-12-01,1874
"1510","Macrorregional III","PA","real data","real data","real data",2011-01-01,2042
"1510","Macrorregional III","PA","real data","real data","real data",2011-02-01,1904
"1510","Macrorregional III","PA","real data","real data","real data",2011-03-01,2102
"1510","Macrorregional III","PA","real data","real data","real data",2011-04-01,1964
"1510","Macrorregional III","PA","real data","real data","real data",2011-05-01,2140
"1510","Macrorregional III","PA","real data","real data","real data",2011-06-01,1927
"1510","Macrorregional III","PA","real data","real data","real data",2011-07-01,2079
"1510","Macrorregional III","PA","real data","real data","real data",2011-08-01,2116
"1510","Macrorregional III","PA","real data","real data","real data",2011-09-01,2142
"1510","Macrorregional III","PA","real data","real data","real data",2011-10-01,2171
"1510","Macrorregional III","PA","real data","real data","real data",2011-11-01,2134
"1510","Macrorregional III","PA","real data","real data","real data",2011-12-01,2014
"1510","Macrorregional III","PA","real data","real data","real data",2012-01-01,2086
"1510","Macrorregional III","PA","real data","real data","real data",2012-02-01,1933
"1510","Macrorregional III","PA","real data","real data","real data",2012-03-01,2017
"1510","Macrorregional III","PA","real data","real data","real data",2012-04-01,2056
"1510","Macrorregional III","PA","real data","real data","real data",2012-05-01,2065
"1510","Macrorregional III","PA","real data","real data","real data",2012-06-01,1907
