"mc_region","region_name","state","mape","id","desc","date","qtt"
"1511","Macrorregional II","PA","real data","real data","real data",2000-01-01,1809
"1511","Macrorregional II","PA","real data","real data","real data",2000-02-01,1772
"1511","Macrorregional II","PA","real data","real data","real data",2000-03-01,2078
"1511","Macrorregional II","PA","real data","real data","real data",2000-04-01,2222
"1511","Macrorregional II","PA","real data","real data","real data",2000-05-01,2336
"1511","Macrorregional II","PA","real data","real data","real data",2000-06-01,2325
"1511","Macrorregional II","PA","real data","real data","real data",2000-07-01,2266
"1511","Macrorregional II","PA","real data","real data","real data",2000-08-01,2385
"1511","Macrorregional II","PA","real data","real data","real data",2000-09-01,2404
"1511","Macrorregional II","PA","real data","real data","real data",2000-10-01,2201
"1511","Macrorregional II","PA","real data","real data","real data",2000-11-01,2023
"1511","Macrorregional II","PA","real data","real data","real data",2000-12-01,1896
"1511","Macrorregional II","PA","real data","real data","real data",2001-01-01,2295
"1511","Macrorregional II","PA","real data","real data","real data",2001-02-01,2024
"1511","Macrorregional II","PA","real data","real data","real data",2001-03-01,2418
"1511","Macrorregional II","PA","real data","real data","real data",2001-04-01,2364
"1511","Macrorregional II","PA","real data","real data","real data",2001-05-01,2437
"1511","Macrorregional II","PA","real data","real data","real data",2001-06-01,2361
"1511","Macrorregional II","PA","real data","real data","real data",2001-07-01,2430
"1511","Macrorregional II","PA","real data","real data","real data",2001-08-01,2401
"1511","Macrorregional II","PA","real data","real data","real data",2001-09-01,2503
"1511","Macrorregional II","PA","real data","real data","real data",2001-10-01,2432
"1511","Macrorregional II","PA","real data","real data","real data",2001-11-01,2257
"1511","Macrorregional II","PA","real data","real data","real data",2001-12-01,2087
"1511","Macrorregional II","PA","real data","real data","real data",2002-01-01,2497
"1511","Macrorregional II","PA","real data","real data","real data",2002-02-01,2037
"1511","Macrorregional II","PA","real data","real data","real data",2002-03-01,2184
"1511","Macrorregional II","PA","real data","real data","real data",2002-04-01,2244
"1511","Macrorregional II","PA","real data","real data","real data",2002-05-01,2380
"1511","Macrorregional II","PA","real data","real data","real data",2002-06-01,2207
"1511","Macrorregional II","PA","real data","real data","real data",2002-07-01,2378
"1511","Macrorregional II","PA","real data","real data","real data",2002-08-01,2334
"1511","Macrorregional II","PA","real data","real data","real data",2002-09-01,2433
"1511","Macrorregional II","PA","real data","real data","real data",2002-10-01,2496
"1511","Macrorregional II","PA","real data","real data","real data",2002-11-01,2437
"1511","Macrorregional II","PA","real data","real data","real data",2002-12-01,2051
"1511","Macrorregional II","PA","real data","real data","real data",2003-01-01,2404
"1511","Macrorregional II","PA","real data","real data","real data",2003-02-01,2234
"1511","Macrorregional II","PA","real data","real data","real data",2003-03-01,2537
"1511","Macrorregional II","PA","real data","real data","real data",2003-04-01,2439
"1511","Macrorregional II","PA","real data","real data","real data",2003-05-01,2671
"1511","Macrorregional II","PA","real data","real data","real data",2003-06-01,2602
"1511","Macrorregional II","PA","real data","real data","real data",2003-07-01,2759
"1511","Macrorregional II","PA","real data","real data","real data",2003-08-01,2585
"1511","Macrorregional II","PA","real data","real data","real data",2003-09-01,2548
"1511","Macrorregional II","PA","real data","real data","real data",2003-10-01,2448
"1511","Macrorregional II","PA","real data","real data","real data",2003-11-01,2418
"1511","Macrorregional II","PA","real data","real data","real data",2003-12-01,2142
"1511","Macrorregional II","PA","real data","real data","real data",2004-01-01,2231
"1511","Macrorregional II","PA","real data","real data","real data",2004-02-01,2240
"1511","Macrorregional II","PA","real data","real data","real data",2004-03-01,2442
"1511","Macrorregional II","PA","real data","real data","real data",2004-04-01,2470
"1511","Macrorregional II","PA","real data","real data","real data",2004-05-01,2647
"1511","Macrorregional II","PA","real data","real data","real data",2004-06-01,2468
"1511","Macrorregional II","PA","real data","real data","real data",2004-07-01,2354
"1511","Macrorregional II","PA","real data","real data","real data",2004-08-01,2536
"1511","Macrorregional II","PA","real data","real data","real data",2004-09-01,2484
"1511","Macrorregional II","PA","real data","real data","real data",2004-10-01,2310
"1511","Macrorregional II","PA","real data","real data","real data",2004-11-01,2383
"1511","Macrorregional II","PA","real data","real data","real data",2004-12-01,1952
"1511","Macrorregional II","PA","real data","real data","real data",2005-01-01,2522
"1511","Macrorregional II","PA","real data","real data","real data",2005-02-01,2209
