"mc_region","region_name","state","mape","id","desc","date","qtt"
"1601","Macro única - AP","AP","real data","real data","real data",2000-01-01,1236
"1601","Macro única - AP","AP","real data","real data","real data",2000-02-01,1148
"1601","Macro única - AP","AP","real data","real data","real data",2000-03-01,1200
"1601","Macro única - AP","AP","real data","real data","real data",2000-04-01,1157
"1601","Macro única - AP","AP","real data","real data","real data",2000-05-01,1135
"1601","Macro única - AP","AP","real data","real data","real data",2000-06-01,1089
"1601","Macro única - AP","AP","real data","real data","real data",2000-07-01,1077
"1601","Macro única - AP","AP","real data","real data","real data",2000-08-01,1216
"1601","Macro única - AP","AP","real data","real data","real data",2000-09-01,1304
"1601","Macro única - AP","AP","real data","real data","real data",2000-10-01,1325
"1601","Macro única - AP","AP","real data","real data","real data",2000-11-01,1151
"1601","Macro única - AP","AP","real data","real data","real data",2000-12-01,1200
"1601","Macro única - AP","AP","real data","real data","real data",2001-01-01,1197
"1601","Macro única - AP","AP","real data","real data","real data",2001-02-01,1102
"1601","Macro única - AP","AP","real data","real data","real data",2001-03-01,1175
"1601","Macro única - AP","AP","real data","real data","real data",2001-04-01,1172
"1601","Macro única - AP","AP","real data","real data","real data",2001-05-01,1165
"1601","Macro única - AP","AP","real data","real data","real data",2001-06-01,1159
"1601","Macro única - AP","AP","real data","real data","real data",2001-07-01,1198
"1601","Macro única - AP","AP","real data","real data","real data",2001-08-01,1189
"1601","Macro única - AP","AP","real data","real data","real data",2001-09-01,1301
"1601","Macro única - AP","AP","real data","real data","real data",2001-10-01,1366
"1601","Macro única - AP","AP","real data","real data","real data",2001-11-01,1275
"1601","Macro única - AP","AP","real data","real data","real data",2001-12-01,1310
"1601","Macro única - AP","AP","real data","real data","real data",2002-01-01,1281
"1601","Macro única - AP","AP","real data","real data","real data",2002-02-01,1029
"1601","Macro única - AP","AP","real data","real data","real data",2002-03-01,1155
"1601","Macro única - AP","AP","real data","real data","real data",2002-04-01,1098
"1601","Macro única - AP","AP","real data","real data","real data",2002-05-01,1177
"1601","Macro única - AP","AP","real data","real data","real data",2002-06-01,1119
"1601","Macro única - AP","AP","real data","real data","real data",2002-07-01,1183
"1601","Macro única - AP","AP","real data","real data","real data",2002-08-01,1185
"1601","Macro única - AP","AP","real data","real data","real data",2002-09-01,1283
"1601","Macro única - AP","AP","real data","real data","real data",2002-10-01,1314
"1601","Macro única - AP","AP","real data","real data","real data",2002-11-01,1235
"1601","Macro única - AP","AP","real data","real data","real data",2002-12-01,1137
"1601","Macro única - AP","AP","real data","real data","real data",2003-01-01,1280
"1601","Macro única - AP","AP","real data","real data","real data",2003-02-01,1082
"1601","Macro única - AP","AP","real data","real data","real data",2003-03-01,1250
"1601","Macro única - AP","AP","real data","real data","real data",2003-04-01,1246
"1601","Macro única - AP","AP","real data","real data","real data",2003-05-01,1203
"1601","Macro única - AP","AP","real data","real data","real data",2003-06-01,1185
"1601","Macro única - AP","AP","real data","real data","real data",2003-07-01,1298
"1601","Macro única - AP","AP","real data","real data","real data",2003-08-01,1274
"1601","Macro única - AP","AP","real data","real data","real data",2003-09-01,1228
"1601","Macro única - AP","AP","real data","real data","real data",2003-10-01,1263
