"mc_region","region_name","state","mape","id","desc","date","qtt"
"1702","Macrorregião Centro-Sul","TO","real data","real data","real data",2000-01-01,1152
"1702","Macrorregião Centro-Sul","TO","real data","real data","real data",2000-02-01,1099
"1702","Macrorregião Centro-Sul","TO","real data","real data","real data",2000-03-01,1338
"1702","Macrorregião Centro-Sul","TO","real data","real data","real data",2000-04-01,1251
"1702","Macrorregião Centro-Sul","TO","real data","real data","real data",2000-05-01,1306
"1702","Macrorregião Centro-Sul","TO","real data","real data","real data",2000-06-01,1226
"1702","Macrorregião Centro-Sul","TO","real data","real data","real data",2000-07-01,1241
"1702","Macrorregião Centro-Sul","TO","real data","real data","real data",2000-08-01,1233
"1702","Macrorregião Centro-Sul","TO","real data","real data","real data",2000-09-01,1227
"1702","Macrorregião Centro-Sul","TO","real data","real data","real data",2000-10-01,1208
"1702","Macrorregião Centro-Sul","TO","real data","real data","real data",2000-11-01,1074
"1702","Macrorregião Centro-Sul","TO","real data","real data","real data",2000-12-01,1042
"1702","Macrorregião Centro-Sul","TO","real data","real data","real data",2001-01-01,1073
"1702","Macrorregião Centro-Sul","TO","real data","real data","real data",2001-02-01,1049
"1702","Macrorregião Centro-Sul","TO","real data","real data","real data",2001-03-01,1252
"1702","Macrorregião Centro-Sul","TO","real data","real data","real data",2001-04-01,1271
"1702","Macrorregião Centro-Sul","TO","real data","real data","real data",2001-05-01,1327
"1702","Macrorregião Centro-Sul","TO","real data","real data","real data",2001-06-01,1335
"1702","Macrorregião Centro-Sul","TO","real data","real data","real data",2001-07-01,1255
"1702","Macrorregião Centro-Sul","TO","real data","real data","real data",2001-08-01,1162
"1702","Macrorregião Centro-Sul","TO","real data","real data","real data",2001-09-01,1219
"1702","Macrorregião Centro-Sul","TO","real data","real data","real data",2001-10-01,1283
"1702","Macrorregião Centro-Sul","TO","real data","real data","real data",2001-11-01,1247
"1702","Macrorregião Centro-Sul","TO","real data","real data","real data",2001-12-01,1213
"1702","Macrorregião Centro-Sul","TO","real data","real data","real data",2002-01-01,1217
"1702","Macrorregião Centro-Sul","TO","real data","real data","real data",2002-02-01,1096
"1702","Macrorregião Centro-Sul","TO","real data","real data","real data",2002-03-01,1296
"1702","Macrorregião Centro-Sul","TO","real data","real data","real data",2002-04-01,1254
"1702","Macrorregião Centro-Sul","TO","real data","real data","real data",2002-05-01,1349
"1702","Macrorregião Centro-Sul","TO","real data","real data","real data",2002-06-01,1219
"1702","Macrorregião Centro-Sul","TO","real data","real data","real data",2002-07-01,1206
"1702","Macrorregião Centro-Sul","TO","real data","real data","real data",2002-08-01,1199
