"mc_region","region_name","state","mape","id","desc","date","qtt"
"2109","Macrorregião Sul","MA","real data","real data","real data",2000-01-01,1444
"2109","Macrorregião Sul","MA","real data","real data","real data",2000-02-01,1358
"2109","Macrorregião Sul","MA","real data","real data","real data",2000-03-01,1475
"2109","Macrorregião Sul","MA","real data","real data","real data",2000-04-01,1044
"2109","Macrorregião Sul","MA","real data","real data","real data",2000-05-01,1010
"2109","Macrorregião Sul","MA","real data","real data","real data",2000-06-01,1529
"2109","Macrorregião Sul","MA","real data","real data","real data",2000-07-01,1428
"2109","Macrorregião Sul","MA","real data","real data","real data",2000-08-01,1668
"2109","Macrorregião Sul","MA","real data","real data","real data",2000-09-01,1450
"2109","Macrorregião Sul","MA","real data","real data","real data",2000-10-01,1345
"2109","Macrorregião Sul","MA","real data","real data","real data",2000-11-01,1438
"2109","Macrorregião Sul","MA","real data","real data","real data",2000-12-01,1295
"2109","Macrorregião Sul","MA","real data","real data","real data",2001-01-01,1635
"2109","Macrorregião Sul","MA","real data","real data","real data",2001-02-01,1613
"2109","Macrorregião Sul","MA","real data","real data","real data",2001-03-01,1792
"2109","Macrorregião Sul","MA","real data","real data","real data",2001-04-01,1779
"2109","Macrorregião Sul","MA","real data","real data","real data",2001-05-01,1958
"2109","Macrorregião Sul","MA","real data","real data","real data",2001-06-01,1659
"2109","Macrorregião Sul","MA","real data","real data","real data",2001-07-01,1727
"2109","Macrorregião Sul","MA","real data","real data","real data",2001-08-01,1859
"2109","Macrorregião Sul","MA","real data","real data","real data",2001-09-01,1816
"2109","Macrorregião Sul","MA","real data","real data","real data",2001-10-01,1881
"2109","Macrorregião Sul","MA","real data","real data","real data",2001-11-01,1682
"2109","Macrorregião Sul","MA","real data","real data","real data",2001-12-01,1497
"2109","Macrorregião Sul","MA","real data","real data","real data",2002-01-01,1625
"2109","Macrorregião Sul","MA","real data","real data","real data",2002-02-01,1621
"2109","Macrorregião Sul","MA","real data","real data","real data",2002-03-01,1810
"2109","Macrorregião Sul","MA","real data","real data","real data",2002-04-01,2004
"2109","Macrorregião Sul","MA","real data","real data","real data",2002-05-01,2237
"2109","Macrorregião Sul","MA","real data","real data","real data",2002-06-01,2053
"2109","Macrorregião Sul","MA","real data","real data","real data",2002-07-01,1875
"2109","Macrorregião Sul","MA","real data","real data","real data",2002-08-01,1787
"2109","Macrorregião Sul","MA","real data","real data","real data",2002-09-01,1911
"2109","Macrorregião Sul","MA","real data","real data","real data",2002-10-01,1919
"2109","Macrorregião Sul","MA","real data","real data","real data",2002-11-01,1911
"2109","Macrorregião Sul","MA","real data","real data","real data",2002-12-01,1624
"2109","Macrorregião Sul","MA","real data","real data","real data",2003-01-01,1993
"2109","Macrorregião Sul","MA","real data","real data","real data",2003-02-01,1814
"2109","Macrorregião Sul","MA","real data","real data","real data",2003-03-01,2183
"2109","Macrorregião Sul","MA","real data","real data","real data",2003-04-01,2235
"2109","Macrorregião Sul","MA","real data","real data","real data",2003-05-01,2281
"2109","Macrorregião Sul","MA","real data","real data","real data",2003-06-01,2262
"2109","Macrorregião Sul","MA","real data","real data","real data",2003-07-01,2210
"2109","Macrorregião Sul","MA","real data","real data","real data",2003-08-01,2212
"2109","Macrorregião Sul","MA","real data","real data","real data",2003-09-01,1976
"2109","Macrorregião Sul","MA","real data","real data","real data",2003-10-01,2023
"2109","Macrorregião Sul","MA","real data","real data","real data",2003-11-01,2026
"2109","Macrorregião Sul","MA","real data","real data","real data",2003-12-01,1998
"2109","Macrorregião Sul","MA","real data","real data","real data",2004-01-01,1968
"2109","Macrorregião Sul","MA","real data","real data","real data",2004-02-01,1911
"2109","Macrorregião Sul","MA","real data","real data","real data",2004-03-01,2168
"2109","Macrorregião Sul","MA","real data","real data","real data",2004-04-01,2310
"2109","Macrorregião Sul","MA","real data","real data","real data",2004-05-01,2373
"2109","Macrorregião Sul","MA","real data","real data","real data",2004-06-01,2084
"2109","Macrorregião Sul","MA","real data","real data","real data",2004-07-01,2195
"2109","Macrorregião Sul","MA","real data","real data","real data",2004-08-01,2169
"2109","Macrorregião Sul","MA","real data","real data","real data",2004-09-01,2213
"2109","Macrorregião Sul","MA","real data","real data","real data",2004-10-01,2019
"2109","Macrorregião Sul","MA","real data","real data","real data",2004-11-01,1893
"2109","Macrorregião Sul","MA","real data","real data","real data",2004-12-01,1702
"2109","Macrorregião Sul","MA","real data","real data","real data",2005-01-01,2059
"2109","Macrorregião Sul","MA","real data","real data","real data",2005-02-01,1809
"2109","Macrorregião Sul","MA","real data","real data","real data",2005-03-01,2293
"2109","Macrorregião Sul","MA","real data","real data","real data",2005-04-01,2314
"2109","Macrorregião Sul","MA","real data","real data","real data",2005-05-01,2558
"2109","Macrorregião Sul","MA","real data","real data","real data",2005-06-01,2266
"2109","Macrorregião Sul","MA","real data","real data","real data",2005-07-01,2229
"2109","Macrorregião Sul","MA","real data","real data","real data",2005-08-01,2279
"2109","Macrorregião Sul","MA","real data","real data","real data",2005-09-01,2168
"2109","Macrorregião Sul","MA","real data","real data","real data",2005-10-01,2049
"2109","Macrorregião Sul","MA","real data","real data","real data",2005-11-01,1923
"2109","Macrorregião Sul","MA","real data","real data","real data",2005-12-01,1686
"2109","Macrorregião Sul","MA","real data","real data","real data",2006-01-01,1928
"2109","Macrorregião Sul","MA","real data","real data","real data",2006-02-01,1820
"2109","Macrorregião Sul","MA","real data","real data","real data",2006-03-01,2189
"2109","Macrorregião Sul","MA","real data","real data","real data",2006-04-01,2260
"2109","Macrorregião Sul","MA","real data","real data","real data",2006-05-01,2331
"2109","Macrorregião Sul","MA","real data","real data","real data",2006-06-01,2146
"2109","Macrorregião Sul","MA","real data","real data","real data",2006-07-01,2072
"2109","Macrorregião Sul","MA","real data","real data","real data",2006-08-01,2130
"2109","Macrorregião Sul","MA","real data","real data","real data",2006-09-01,2251
"2109","Macrorregião Sul","MA","real data","real data","real data",2006-10-01,2206
"2109","Macrorregião Sul","MA","real data","real data","real data",2006-11-01,1989
"2109","Macrorregião Sul","MA","real data","real data","real data",2006-12-01,2124
"2109","Macrorregião Sul","MA","real data","real data","real data",2007-01-01,2142
"2109","Macrorregião Sul","MA","real data","real data","real data",2007-02-01,1846
"2109","Macrorregião Sul","MA","real data","real data","real data",2007-03-01,2179
"2109","Macrorregião Sul","MA","real data","real data","real data",2007-04-01,2089
"2109","Macrorregião Sul","MA","real data","real data","real data",2007-05-01,2181
"2109","Macrorregião Sul","MA","real data","real data","real data",2007-06-01,2187
"2109","Macrorregião Sul","MA","real data","real data","real data",2007-07-01,2132
"2109","Macrorregião Sul","MA","real data","real data","real data",2007-08-01,2300
"2109","Macrorregião Sul","MA","real data","real data","real data",2007-09-01,2242
"2109","Macrorregião Sul","MA","real data","real data","real data",2007-10-01,2250
"2109","Macrorregião Sul","MA","real data","real data","real data",2007-11-01,1956
"2109","Macrorregião Sul","MA","real data","real data","real data",2007-12-01,1894
"2109","Macrorregião Sul","MA","real data","real data","real data",2008-01-01,1895
"2109","Macrorregião Sul","MA","real data","real data","real data",2008-02-01,1932
"2109","Macrorregião Sul","MA","real data","real data","real data",2008-03-01,2262
"2109","Macrorregião Sul","MA","real data","real data","real data",2008-04-01,2282
"2109","Macrorregião Sul","MA","real data","real data","real data",2008-05-01,2284
"2109","Macrorregião Sul","MA","real data","real data","real data",2008-06-01,2133
"2109","Macrorregião Sul","MA","real data","real data","real data",2008-07-01,2112
"2109","Macrorregião Sul","MA","real data","real data","real data",2008-08-01,2094
"2109","Macrorregião Sul","MA","real data","real data","real data",2008-09-01,2135
"2109","Macrorregião Sul","MA","real data","real data","real data",2008-10-01,2138
"2109","Macrorregião Sul","MA","real data","real data","real data",2008-11-01,1937
"2109","Macrorregião Sul","MA","real data","real data","real data",2008-12-01,2099
"2109","Macrorregião Sul","MA","real data","real data","real data",2009-01-01,2083
"2109","Macrorregião Sul","MA","real data","real data","real data",2009-02-01,1797
"2109","Macrorregião Sul","MA","real data","real data","real data",2009-03-01,2132
"2109","Macrorregião Sul","MA","real data","real data","real data",2009-04-01,2097
"2109","Macrorregião Sul","MA","real data","real data","real data",2009-05-01,2111
"2109","Macrorregião Sul","MA","real data","real data","real data",2009-06-01,1959
"2109","Macrorregião Sul","MA","real data","real data","real data",2009-07-01,2061
"2109","Macrorregião Sul","MA","real data","real data","real data",2009-08-01,1979
"2109","Macrorregião Sul","MA","real data","real data","real data",2009-09-01,2095
"2109","Macrorregião Sul","MA","real data","real data","real data",2009-10-01,2050
"2109","Macrorregião Sul","MA","real data","real data","real data",2009-11-01,1892
"2109","Macrorregião Sul","MA","real data","real data","real data",2009-12-01,1895
"2109","Macrorregião Sul","MA","real data","real data","real data",2010-01-01,1972
"2109","Macrorregião Sul","MA","real data","real data","real data",2010-02-01,1702
