"mc_region","region_name","state","mape","id","desc","date","qtt"
"2111","Macrorregião Leste","MA","real data","real data","real data",2000-01-01,1965
"2111","Macrorregião Leste","MA","real data","real data","real data",2000-02-01,1848
"2111","Macrorregião Leste","MA","real data","real data","real data",2000-03-01,2283
"2111","Macrorregião Leste","MA","real data","real data","real data",2000-04-01,2071
"2111","Macrorregião Leste","MA","real data","real data","real data",2000-05-01,2267
"2111","Macrorregião Leste","MA","real data","real data","real data",2000-06-01,2276
"2111","Macrorregião Leste","MA","real data","real data","real data",2000-07-01,2421
"2111","Macrorregião Leste","MA","real data","real data","real data",2000-08-01,2242
"2111","Macrorregião Leste","MA","real data","real data","real data",2000-09-01,2115
"2111","Macrorregião Leste","MA","real data","real data","real data",2000-10-01,2207
"2111","Macrorregião Leste","MA","real data","real data","real data",2000-11-01,2092
"2111","Macrorregião Leste","MA","real data","real data","real data",2000-12-01,1634
"2111","Macrorregião Leste","MA","real data","real data","real data",2001-01-01,2160
"2111","Macrorregião Leste","MA","real data","real data","real data",2001-02-01,1895
"2111","Macrorregião Leste","MA","real data","real data","real data",2001-03-01,2164
"2111","Macrorregião Leste","MA","real data","real data","real data",2001-04-01,2196
"2111","Macrorregião Leste","MA","real data","real data","real data",2001-05-01,2432
"2111","Macrorregião Leste","MA","real data","real data","real data",2001-06-01,2265
"2111","Macrorregião Leste","MA","real data","real data","real data",2001-07-01,2182
"2111","Macrorregião Leste","MA","real data","real data","real data",2001-08-01,2349
"2111","Macrorregião Leste","MA","real data","real data","real data",2001-09-01,2498
"2111","Macrorregião Leste","MA","real data","real data","real data",2001-10-01,2270
"2111","Macrorregião Leste","MA","real data","real data","real data",2001-11-01,2095
"2111","Macrorregião Leste","MA","real data","real data","real data",2001-12-01,2130
"2111","Macrorregião Leste","MA","real data","real data","real data",2002-01-01,2614
"2111","Macrorregião Leste","MA","real data","real data","real data",2002-02-01,2187
"2111","Macrorregião Leste","MA","real data","real data","real data",2002-03-01,2362
"2111","Macrorregião Leste","MA","real data","real data","real data",2002-04-01,2450
"2111","Macrorregião Leste","MA","real data","real data","real data",2002-05-01,2720
"2111","Macrorregião Leste","MA","real data","real data","real data",2002-06-01,2487
"2111","Macrorregião Leste","MA","real data","real data","real data",2002-07-01,2722
