"mc_region","region_name","state","mape","id","desc","date","qtt"
"2207","Semi-árido","PI","real data","real data","real data",2000-01-01,836
"2207","Semi-árido","PI","real data","real data","real data",2000-02-01,801
"2207","Semi-árido","PI","real data","real data","real data",2000-03-01,878
"2207","Semi-árido","PI","real data","real data","real data",2000-04-01,895
"2207","Semi-árido","PI","real data","real data","real data",2000-05-01,925
"2207","Semi-árido","PI","real data","real data","real data",2000-06-01,792
"2207","Semi-árido","PI","real data","real data","real data",2000-07-01,879
"2207","Semi-árido","PI","real data","real data","real data",2000-08-01,870
"2207","Semi-árido","PI","real data","real data","real data",2000-09-01,878
"2207","Semi-árido","PI","real data","real data","real data",2000-10-01,903
"2207","Semi-árido","PI","real data","real data","real data",2000-11-01,876
"2207","Semi-árido","PI","real data","real data","real data",2000-12-01,782
"2207","Semi-árido","PI","real data","real data","real data",2001-01-01,885
"2207","Semi-árido","PI","real data","real data","real data",2001-02-01,757
"2207","Semi-árido","PI","real data","real data","real data",2001-03-01,908
"2207","Semi-árido","PI","real data","real data","real data",2001-04-01,937
"2207","Semi-árido","PI","real data","real data","real data",2001-05-01,933
"2207","Semi-árido","PI","real data","real data","real data",2001-06-01,936
"2207","Semi-árido","PI","real data","real data","real data",2001-07-01,891
"2207","Semi-árido","PI","real data","real data","real data",2001-08-01,913
"2207","Semi-árido","PI","real data","real data","real data",2001-09-01,884
"2207","Semi-árido","PI","real data","real data","real data",2001-10-01,832
"2207","Semi-árido","PI","real data","real data","real data",2001-11-01,829
"2207","Semi-árido","PI","real data","real data","real data",2001-12-01,805
"2207","Semi-árido","PI","real data","real data","real data",2002-01-01,912
"2207","Semi-árido","PI","real data","real data","real data",2002-02-01,771
"2207","Semi-árido","PI","real data","real data","real data",2002-03-01,877
"2207","Semi-árido","PI","real data","real data","real data",2002-04-01,893
"2207","Semi-árido","PI","real data","real data","real data",2002-05-01,956
"2207","Semi-árido","PI","real data","real data","real data",2002-06-01,795
"2207","Semi-árido","PI","real data","real data","real data",2002-07-01,828
"2207","Semi-árido","PI","real data","real data","real data",2002-08-01,810
"2207","Semi-árido","PI","real data","real data","real data",2002-09-01,832
"2207","Semi-árido","PI","real data","real data","real data",2002-10-01,869
"2207","Semi-árido","PI","real data","real data","real data",2002-11-01,816
"2207","Semi-árido","PI","real data","real data","real data",2002-12-01,800
"2207","Semi-árido","PI","real data","real data","real data",2003-01-01,866
"2207","Semi-árido","PI","real data","real data","real data",2003-02-01,758
"2207","Semi-árido","PI","real data","real data","real data",2003-03-01,874
"2207","Semi-árido","PI","real data","real data","real data",2003-04-01,915
"2207","Semi-árido","PI","real data","real data","real data",2003-05-01,895
"2207","Semi-árido","PI","real data","real data","real data",2003-06-01,856
"2207","Semi-árido","PI","real data","real data","real data",2003-07-01,772
"2207","Semi-árido","PI","real data","real data","real data",2003-08-01,721
"2207","Semi-árido","PI","real data","real data","real data",2003-09-01,758
"2207","Semi-árido","PI","real data","real data","real data",2003-10-01,742
"2207","Semi-árido","PI","real data","real data","real data",2003-11-01,748
"2207","Semi-árido","PI","real data","real data","real data",2003-12-01,716
"2207","Semi-árido","PI","real data","real data","real data",2004-01-01,841
"2207","Semi-árido","PI","real data","real data","real data",2004-02-01,729
"2207","Semi-árido","PI","real data","real data","real data",2004-03-01,840
"2207","Semi-árido","PI","real data","real data","real data",2004-04-01,875
