"mc_region","region_name","state","mape","id","desc","date","qtt"
"2208","Meio Norte","PI","real data","real data","real data",2000-01-01,2046
"2208","Meio Norte","PI","real data","real data","real data",2000-02-01,2010
"2208","Meio Norte","PI","real data","real data","real data",2000-03-01,2196
"2208","Meio Norte","PI","real data","real data","real data",2000-04-01,2245
"2208","Meio Norte","PI","real data","real data","real data",2000-05-01,2324
"2208","Meio Norte","PI","real data","real data","real data",2000-06-01,2077
"2208","Meio Norte","PI","real data","real data","real data",2000-07-01,2156
"2208","Meio Norte","PI","real data","real data","real data",2000-08-01,2079
"2208","Meio Norte","PI","real data","real data","real data",2000-09-01,2296
"2208","Meio Norte","PI","real data","real data","real data",2000-10-01,2290
"2208","Meio Norte","PI","real data","real data","real data",2000-11-01,2087
"2208","Meio Norte","PI","real data","real data","real data",2000-12-01,1913
"2208","Meio Norte","PI","real data","real data","real data",2001-01-01,2130
"2208","Meio Norte","PI","real data","real data","real data",2001-02-01,1770
"2208","Meio Norte","PI","real data","real data","real data",2001-03-01,2177
"2208","Meio Norte","PI","real data","real data","real data",2001-04-01,2100
"2208","Meio Norte","PI","real data","real data","real data",2001-05-01,2200
"2208","Meio Norte","PI","real data","real data","real data",2001-06-01,2149
"2208","Meio Norte","PI","real data","real data","real data",2001-07-01,2032
"2208","Meio Norte","PI","real data","real data","real data",2001-08-01,2080
"2208","Meio Norte","PI","real data","real data","real data",2001-09-01,2009
"2208","Meio Norte","PI","real data","real data","real data",2001-10-01,2079
"2208","Meio Norte","PI","real data","real data","real data",2001-11-01,1999
"2208","Meio Norte","PI","real data","real data","real data",2001-12-01,1874
"2208","Meio Norte","PI","real data","real data","real data",2002-01-01,2040
"2208","Meio Norte","PI","real data","real data","real data",2002-02-01,1750
"2208","Meio Norte","PI","real data","real data","real data",2002-03-01,1830
"2208","Meio Norte","PI","real data","real data","real data",2002-04-01,2005
"2208","Meio Norte","PI","real data","real data","real data",2002-05-01,2119
"2208","Meio Norte","PI","real data","real data","real data",2002-06-01,1924
"2208","Meio Norte","PI","real data","real data","real data",2002-07-01,1970
"2208","Meio Norte","PI","real data","real data","real data",2002-08-01,1983
"2208","Meio Norte","PI","real data","real data","real data",2002-09-01,1964
"2208","Meio Norte","PI","real data","real data","real data",2002-10-01,1888
"2208","Meio Norte","PI","real data","real data","real data",2002-11-01,1782
"2208","Meio Norte","PI","real data","real data","real data",2002-12-01,1802
"2208","Meio Norte","PI","real data","real data","real data",2003-01-01,1959
"2208","Meio Norte","PI","real data","real data","real data",2003-02-01,1754
"2208","Meio Norte","PI","real data","real data","real data",2003-03-01,1999
"2208","Meio Norte","PI","real data","real data","real data",2003-04-01,2045
"2208","Meio Norte","PI","real data","real data","real data",2003-05-01,2043
"2208","Meio Norte","PI","real data","real data","real data",2003-06-01,1925
"2208","Meio Norte","PI","real data","real data","real data",2003-07-01,1957
"2208","Meio Norte","PI","real data","real data","real data",2003-08-01,1840
"2208","Meio Norte","PI","real data","real data","real data",2003-09-01,1906
"2208","Meio Norte","PI","real data","real data","real data",2003-10-01,1768
"2208","Meio Norte","PI","real data","real data","real data",2003-11-01,1740
"2208","Meio Norte","PI","real data","real data","real data",2003-12-01,1796
"2208","Meio Norte","PI","real data","real data","real data",2004-01-01,1861
"2208","Meio Norte","PI","real data","real data","real data",2004-02-01,1741
"2208","Meio Norte","PI","real data","real data","real data",2004-03-01,1975
"2208","Meio Norte","PI","real data","real data","real data",2004-04-01,2020
"2208","Meio Norte","PI","real data","real data","real data",2004-05-01,2032
"2208","Meio Norte","PI","real data","real data","real data",2004-06-01,1929
"2208","Meio Norte","PI","real data","real data","real data",2004-07-01,1835
"2208","Meio Norte","PI","real data","real data","real data",2004-08-01,1912
"2208","Meio Norte","PI","real data","real data","real data",2004-09-01,1934
"2208","Meio Norte","PI","real data","real data","real data",2004-10-01,1926
"2208","Meio Norte","PI","real data","real data","real data",2004-11-01,1761
"2208","Meio Norte","PI","real data","real data","real data",2004-12-01,1671
"2208","Meio Norte","PI","real data","real data","real data",2005-01-01,1808
"2208","Meio Norte","PI","real data","real data","real data",2005-02-01,1767
"2208","Meio Norte","PI","real data","real data","real data",2005-03-01,2022
"2208","Meio Norte","PI","real data","real data","real data",2005-04-01,2054
"2208","Meio Norte","PI","real data","real data","real data",2005-05-01,2158
"2208","Meio Norte","PI","real data","real data","real data",2005-06-01,1893
"2208","Meio Norte","PI","real data","real data","real data",2005-07-01,1925
"2208","Meio Norte","PI","real data","real data","real data",2005-08-01,1983
"2208","Meio Norte","PI","real data","real data","real data",2005-09-01,2064
"2208","Meio Norte","PI","real data","real data","real data",2005-10-01,1982
"2208","Meio Norte","PI","real data","real data","real data",2005-11-01,1864
"2208","Meio Norte","PI","real data","real data","real data",2005-12-01,1729
"2208","Meio Norte","PI","real data","real data","real data",2006-01-01,1846
"2208","Meio Norte","PI","real data","real data","real data",2006-02-01,1716
"2208","Meio Norte","PI","real data","real data","real data",2006-03-01,1997
"2208","Meio Norte","PI","real data","real data","real data",2006-04-01,2010
"2208","Meio Norte","PI","real data","real data","real data",2006-05-01,2131
"2208","Meio Norte","PI","real data","real data","real data",2006-06-01,1900
"2208","Meio Norte","PI","real data","real data","real data",2006-07-01,1967
"2208","Meio Norte","PI","real data","real data","real data",2006-08-01,1869
"2208","Meio Norte","PI","real data","real data","real data",2006-09-01,1935
"2208","Meio Norte","PI","real data","real data","real data",2006-10-01,1849
"2208","Meio Norte","PI","real data","real data","real data",2006-11-01,1843
"2208","Meio Norte","PI","real data","real data","real data",2006-12-01,1883
"2208","Meio Norte","PI","real data","real data","real data",2007-01-01,1913
"2208","Meio Norte","PI","real data","real data","real data",2007-02-01,1619
"2208","Meio Norte","PI","real data","real data","real data",2007-03-01,1978
"2208","Meio Norte","PI","real data","real data","real data",2007-04-01,1945
"2208","Meio Norte","PI","real data","real data","real data",2007-05-01,2005
"2208","Meio Norte","PI","real data","real data","real data",2007-06-01,1879
"2208","Meio Norte","PI","real data","real data","real data",2007-07-01,1902
"2208","Meio Norte","PI","real data","real data","real data",2007-08-01,1743
"2208","Meio Norte","PI","real data","real data","real data",2007-09-01,1749
"2208","Meio Norte","PI","real data","real data","real data",2007-10-01,1754
"2208","Meio Norte","PI","real data","real data","real data",2007-11-01,1690
"2208","Meio Norte","PI","real data","real data","real data",2007-12-01,1777
"2208","Meio Norte","PI","real data","real data","real data",2008-01-01,1808
"2208","Meio Norte","PI","real data","real data","real data",2008-02-01,1660
"2208","Meio Norte","PI","real data","real data","real data",2008-03-01,1874
"2208","Meio Norte","PI","real data","real data","real data",2008-04-01,1840
"2208","Meio Norte","PI","real data","real data","real data",2008-05-01,1951
"2208","Meio Norte","PI","real data","real data","real data",2008-06-01,1799
"2208","Meio Norte","PI","real data","real data","real data",2008-07-01,1865
"2208","Meio Norte","PI","real data","real data","real data",2008-08-01,1825
"2208","Meio Norte","PI","real data","real data","real data",2008-09-01,1937
"2208","Meio Norte","PI","real data","real data","real data",2008-10-01,1954
"2208","Meio Norte","PI","real data","real data","real data",2008-11-01,1818
"2208","Meio Norte","PI","real data","real data","real data",2008-12-01,1917
"2208","Meio Norte","PI","real data","real data","real data",2009-01-01,1854
"2208","Meio Norte","PI","real data","real data","real data",2009-02-01,1668
"2208","Meio Norte","PI","real data","real data","real data",2009-03-01,2038
"2208","Meio Norte","PI","real data","real data","real data",2009-04-01,1806
"2208","Meio Norte","PI","real data","real data","real data",2009-05-01,1932
"2208","Meio Norte","PI","real data","real data","real data",2009-06-01,1808
"2208","Meio Norte","PI","real data","real data","real data",2009-07-01,1703
"2208","Meio Norte","PI","real data","real data","real data",2009-08-01,1706
"2208","Meio Norte","PI","real data","real data","real data",2009-09-01,1909
"2208","Meio Norte","PI","real data","real data","real data",2009-10-01,1761
"2208","Meio Norte","PI","real data","real data","real data",2009-11-01,1803
"2208","Meio Norte","PI","real data","real data","real data",2009-12-01,1734
"2208","Meio Norte","PI","real data","real data","real data",2010-01-01,1843
"2208","Meio Norte","PI","real data","real data","real data",2010-02-01,1615
"2208","Meio Norte","PI","real data","real data","real data",2010-03-01,1886
"2208","Meio Norte","PI","real data","real data","real data",2010-04-01,1794
"2208","Meio Norte","PI","real data","real data","real data",2010-05-01,1932
"2208","Meio Norte","PI","real data","real data","real data",2010-06-01,1819
"2208","Meio Norte","PI","real data","real data","real data",2010-07-01,1831
"2208","Meio Norte","PI","real data","real data","real data",2010-08-01,1682
"2208","Meio Norte","PI","real data","real data","real data",2010-09-01,1941
"2208","Meio Norte","PI","real data","real data","real data",2010-10-01,1915
"2208","Meio Norte","PI","real data","real data","real data",2010-11-01,1671
"2208","Meio Norte","PI","real data","real data","real data",2010-12-01,1669
"2208","Meio Norte","PI","real data","real data","real data",2011-01-01,1692
"2208","Meio Norte","PI","real data","real data","real data",2011-02-01,1574
"2208","Meio Norte","PI","real data","real data","real data",2011-03-01,1930
"2208","Meio Norte","PI","real data","real data","real data",2011-04-01,1864
"2208","Meio Norte","PI","real data","real data","real data",2011-05-01,2028
"2208","Meio Norte","PI","real data","real data","real data",2011-06-01,1962
"2208","Meio Norte","PI","real data","real data","real data",2011-07-01,1817
"2208","Meio Norte","PI","real data","real data","real data",2011-08-01,1777
"2208","Meio Norte","PI","real data","real data","real data",2011-09-01,1903
"2208","Meio Norte","PI","real data","real data","real data",2011-10-01,1803
"2208","Meio Norte","PI","real data","real data","real data",2011-11-01,1800
"2208","Meio Norte","PI","real data","real data","real data",2011-12-01,1792
"2208","Meio Norte","PI","real data","real data","real data",2012-01-01,1820
"2208","Meio Norte","PI","real data","real data","real data",2012-02-01,1656
