"mc_region","region_name","state","mape","id","desc","date","qtt"
"2209","Litoral","PI","real data","real data","real data",2000-01-01,1114
"2209","Litoral","PI","real data","real data","real data",2000-02-01,1032
"2209","Litoral","PI","real data","real data","real data",2000-03-01,1125
"2209","Litoral","PI","real data","real data","real data",2000-04-01,1099
"2209","Litoral","PI","real data","real data","real data",2000-05-01,995
"2209","Litoral","PI","real data","real data","real data",2000-06-01,1062
"2209","Litoral","PI","real data","real data","real data",2000-07-01,1129
"2209","Litoral","PI","real data","real data","real data",2000-08-01,1186
"2209","Litoral","PI","real data","real data","real data",2000-09-01,1161
"2209","Litoral","PI","real data","real data","real data",2000-10-01,1084
"2209","Litoral","PI","real data","real data","real data",2000-11-01,990
"2209","Litoral","PI","real data","real data","real data",2000-12-01,1087
"2209","Litoral","PI","real data","real data","real data",2001-01-01,1020
"2209","Litoral","PI","real data","real data","real data",2001-02-01,951
"2209","Litoral","PI","real data","real data","real data",2001-03-01,1048
"2209","Litoral","PI","real data","real data","real data",2001-04-01,1010
"2209","Litoral","PI","real data","real data","real data",2001-05-01,1069
"2209","Litoral","PI","real data","real data","real data",2001-06-01,1123
"2209","Litoral","PI","real data","real data","real data",2001-07-01,1138
"2209","Litoral","PI","real data","real data","real data",2001-08-01,1116
"2209","Litoral","PI","real data","real data","real data",2001-09-01,1189
"2209","Litoral","PI","real data","real data","real data",2001-10-01,1044
"2209","Litoral","PI","real data","real data","real data",2001-11-01,1035
"2209","Litoral","PI","real data","real data","real data",2001-12-01,1029
"2209","Litoral","PI","real data","real data","real data",2002-01-01,1111
"2209","Litoral","PI","real data","real data","real data",2002-02-01,942
"2209","Litoral","PI","real data","real data","real data",2002-03-01,963
"2209","Litoral","PI","real data","real data","real data",2002-04-01,1051
"2209","Litoral","PI","real data","real data","real data",2002-05-01,1162
"2209","Litoral","PI","real data","real data","real data",2002-06-01,1004
"2209","Litoral","PI","real data","real data","real data",2002-07-01,1064
"2209","Litoral","PI","real data","real data","real data",2002-08-01,1090
"2209","Litoral","PI","real data","real data","real data",2002-09-01,1163
"2209","Litoral","PI","real data","real data","real data",2002-10-01,1076
"2209","Litoral","PI","real data","real data","real data",2002-11-01,1000
"2209","Litoral","PI","real data","real data","real data",2002-12-01,912
"2209","Litoral","PI","real data","real data","real data",2003-01-01,1127
"2209","Litoral","PI","real data","real data","real data",2003-02-01,888
"2209","Litoral","PI","real data","real data","real data",2003-03-01,1052
"2209","Litoral","PI","real data","real data","real data",2003-04-01,979
"2209","Litoral","PI","real data","real data","real data",2003-05-01,1049
"2209","Litoral","PI","real data","real data","real data",2003-06-01,1061
"2209","Litoral","PI","real data","real data","real data",2003-07-01,1134
"2209","Litoral","PI","real data","real data","real data",2003-08-01,995
"2209","Litoral","PI","real data","real data","real data",2003-09-01,1023
"2209","Litoral","PI","real data","real data","real data",2003-10-01,978
"2209","Litoral","PI","real data","real data","real data",2003-11-01,953
"2209","Litoral","PI","real data","real data","real data",2003-12-01,922
"2209","Litoral","PI","real data","real data","real data",2004-01-01,954
"2209","Litoral","PI","real data","real data","real data",2004-02-01,873
"2209","Litoral","PI","real data","real data","real data",2004-03-01,997
"2209","Litoral","PI","real data","real data","real data",2004-04-01,963
"2209","Litoral","PI","real data","real data","real data",2004-05-01,1033
"2209","Litoral","PI","real data","real data","real data",2004-06-01,1027
"2209","Litoral","PI","real data","real data","real data",2004-07-01,1062
"2209","Litoral","PI","real data","real data","real data",2004-08-01,1138
"2209","Litoral","PI","real data","real data","real data",2004-09-01,1091
"2209","Litoral","PI","real data","real data","real data",2004-10-01,999
"2209","Litoral","PI","real data","real data","real data",2004-11-01,888
"2209","Litoral","PI","real data","real data","real data",2004-12-01,902
"2209","Litoral","PI","real data","real data","real data",2005-01-01,965
"2209","Litoral","PI","real data","real data","real data",2005-02-01,897
"2209","Litoral","PI","real data","real data","real data",2005-03-01,1037
"2209","Litoral","PI","real data","real data","real data",2005-04-01,1055
"2209","Litoral","PI","real data","real data","real data",2005-05-01,1085
"2209","Litoral","PI","real data","real data","real data",2005-06-01,1139
"2209","Litoral","PI","real data","real data","real data",2005-07-01,1157
"2209","Litoral","PI","real data","real data","real data",2005-08-01,1111
"2209","Litoral","PI","real data","real data","real data",2005-09-01,1090
"2209","Litoral","PI","real data","real data","real data",2005-10-01,1096
