"mc_region","region_name","state","mape","id","desc","date","qtt"
"2210","Cerrados","PI","real data","real data","real data",2000-01-01,784
"2210","Cerrados","PI","real data","real data","real data",2000-02-01,768
"2210","Cerrados","PI","real data","real data","real data",2000-03-01,786
"2210","Cerrados","PI","real data","real data","real data",2000-04-01,887
"2210","Cerrados","PI","real data","real data","real data",2000-05-01,914
"2210","Cerrados","PI","real data","real data","real data",2000-06-01,823
"2210","Cerrados","PI","real data","real data","real data",2000-07-01,761
"2210","Cerrados","PI","real data","real data","real data",2000-08-01,821
"2210","Cerrados","PI","real data","real data","real data",2000-09-01,770
"2210","Cerrados","PI","real data","real data","real data",2000-10-01,787
"2210","Cerrados","PI","real data","real data","real data",2000-11-01,705
"2210","Cerrados","PI","real data","real data","real data",2000-12-01,709
"2210","Cerrados","PI","real data","real data","real data",2001-01-01,789
"2210","Cerrados","PI","real data","real data","real data",2001-02-01,768
"2210","Cerrados","PI","real data","real data","real data",2001-03-01,955
"2210","Cerrados","PI","real data","real data","real data",2001-04-01,918
"2210","Cerrados","PI","real data","real data","real data",2001-05-01,997
"2210","Cerrados","PI","real data","real data","real data",2001-06-01,948
"2210","Cerrados","PI","real data","real data","real data",2001-07-01,896
"2210","Cerrados","PI","real data","real data","real data",2001-08-01,908
"2210","Cerrados","PI","real data","real data","real data",2001-09-01,966
"2210","Cerrados","PI","real data","real data","real data",2001-10-01,898
"2210","Cerrados","PI","real data","real data","real data",2001-11-01,887
"2210","Cerrados","PI","real data","real data","real data",2001-12-01,774
"2210","Cerrados","PI","real data","real data","real data",2002-01-01,914
"2210","Cerrados","PI","real data","real data","real data",2002-02-01,848
"2210","Cerrados","PI","real data","real data","real data",2002-03-01,824
"2210","Cerrados","PI","real data","real data","real data",2002-04-01,920
"2210","Cerrados","PI","real data","real data","real data",2002-05-01,992
"2210","Cerrados","PI","real data","real data","real data",2002-06-01,902
"2210","Cerrados","PI","real data","real data","real data",2002-07-01,895
"2210","Cerrados","PI","real data","real data","real data",2002-08-01,918
"2210","Cerrados","PI","real data","real data","real data",2002-09-01,857
"2210","Cerrados","PI","real data","real data","real data",2002-10-01,889
"2210","Cerrados","PI","real data","real data","real data",2002-11-01,845
"2210","Cerrados","PI","real data","real data","real data",2002-12-01,772
"2210","Cerrados","PI","real data","real data","real data",2003-01-01,841
"2210","Cerrados","PI","real data","real data","real data",2003-02-01,837
"2210","Cerrados","PI","real data","real data","real data",2003-03-01,923
"2210","Cerrados","PI","real data","real data","real data",2003-04-01,980
"2210","Cerrados","PI","real data","real data","real data",2003-05-01,959
"2210","Cerrados","PI","real data","real data","real data",2003-06-01,930
"2210","Cerrados","PI","real data","real data","real data",2003-07-01,911
"2210","Cerrados","PI","real data","real data","real data",2003-08-01,917
"2210","Cerrados","PI","real data","real data","real data",2003-09-01,795
"2210","Cerrados","PI","real data","real data","real data",2003-10-01,899
"2210","Cerrados","PI","real data","real data","real data",2003-11-01,812
"2210","Cerrados","PI","real data","real data","real data",2003-12-01,786
"2210","Cerrados","PI","real data","real data","real data",2004-01-01,818
"2210","Cerrados","PI","real data","real data","real data",2004-02-01,902
"2210","Cerrados","PI","real data","real data","real data",2004-03-01,959
"2210","Cerrados","PI","real data","real data","real data",2004-04-01,1019
"2210","Cerrados","PI","real data","real data","real data",2004-05-01,1004
"2210","Cerrados","PI","real data","real data","real data",2004-06-01,926
"2210","Cerrados","PI","real data","real data","real data",2004-07-01,905
"2210","Cerrados","PI","real data","real data","real data",2004-08-01,880
"2210","Cerrados","PI","real data","real data","real data",2004-09-01,860
"2210","Cerrados","PI","real data","real data","real data",2004-10-01,887
"2210","Cerrados","PI","real data","real data","real data",2004-11-01,775
"2210","Cerrados","PI","real data","real data","real data",2004-12-01,797
"2210","Cerrados","PI","real data","real data","real data",2005-01-01,827
"2210","Cerrados","PI","real data","real data","real data",2005-02-01,781
