"mc_region","region_name","state","mape","id","desc","date","qtt"
"2401","macrorregião II","RN","real data","real data","real data",2000-01-01,1195
"2401","macrorregião II","RN","real data","real data","real data",2000-02-01,1074
"2401","macrorregião II","RN","real data","real data","real data",2000-03-01,1184
"2401","macrorregião II","RN","real data","real data","real data",2000-04-01,1205
"2401","macrorregião II","RN","real data","real data","real data",2000-05-01,1117
"2401","macrorregião II","RN","real data","real data","real data",2000-06-01,932
"2401","macrorregião II","RN","real data","real data","real data",2000-07-01,1188
"2401","macrorregião II","RN","real data","real data","real data",2000-08-01,1173
"2401","macrorregião II","RN","real data","real data","real data",2000-09-01,1194
"2401","macrorregião II","RN","real data","real data","real data",2000-10-01,1167
"2401","macrorregião II","RN","real data","real data","real data",2000-11-01,1107
"2401","macrorregião II","RN","real data","real data","real data",2000-12-01,786
"2401","macrorregião II","RN","real data","real data","real data",2001-01-01,1102
"2401","macrorregião II","RN","real data","real data","real data",2001-02-01,1036
"2401","macrorregião II","RN","real data","real data","real data",2001-03-01,1170
"2401","macrorregião II","RN","real data","real data","real data",2001-04-01,1151
"2401","macrorregião II","RN","real data","real data","real data",2001-05-01,1191
"2401","macrorregião II","RN","real data","real data","real data",2001-06-01,1127
"2401","macrorregião II","RN","real data","real data","real data",2001-07-01,1078
"2401","macrorregião II","RN","real data","real data","real data",2001-08-01,1192
"2401","macrorregião II","RN","real data","real data","real data",2001-09-01,1107
"2401","macrorregião II","RN","real data","real data","real data",2001-10-01,1130
"2401","macrorregião II","RN","real data","real data","real data",2001-11-01,1068
"2401","macrorregião II","RN","real data","real data","real data",2001-12-01,1084
"2401","macrorregião II","RN","real data","real data","real data",2002-01-01,1267
"2401","macrorregião II","RN","real data","real data","real data",2002-02-01,1135
"2401","macrorregião II","RN","real data","real data","real data",2002-03-01,1294
"2401","macrorregião II","RN","real data","real data","real data",2002-04-01,1228
"2401","macrorregião II","RN","real data","real data","real data",2002-05-01,1287
"2401","macrorregião II","RN","real data","real data","real data",2002-06-01,1146
"2401","macrorregião II","RN","real data","real data","real data",2002-07-01,1175
"2401","macrorregião II","RN","real data","real data","real data",2002-08-01,1164
"2401","macrorregião II","RN","real data","real data","real data",2002-09-01,1103
"2401","macrorregião II","RN","real data","real data","real data",2002-10-01,1149
"2401","macrorregião II","RN","real data","real data","real data",2002-11-01,1016
"2401","macrorregião II","RN","real data","real data","real data",2002-12-01,1015
"2401","macrorregião II","RN","real data","real data","real data",2003-01-01,1051
"2401","macrorregião II","RN","real data","real data","real data",2003-02-01,1021
"2401","macrorregião II","RN","real data","real data","real data",2003-03-01,1207
"2401","macrorregião II","RN","real data","real data","real data",2003-04-01,1265
"2401","macrorregião II","RN","real data","real data","real data",2003-05-01,1311
"2401","macrorregião II","RN","real data","real data","real data",2003-06-01,1142
"2401","macrorregião II","RN","real data","real data","real data",2003-07-01,1186
"2401","macrorregião II","RN","real data","real data","real data",2003-08-01,1038
"2401","macrorregião II","RN","real data","real data","real data",2003-09-01,1040
"2401","macrorregião II","RN","real data","real data","real data",2003-10-01,1074
"2401","macrorregião II","RN","real data","real data","real data",2003-11-01,1007
"2401","macrorregião II","RN","real data","real data","real data",2003-12-01,939
"2401","macrorregião II","RN","real data","real data","real data",2004-01-01,1116
"2401","macrorregião II","RN","real data","real data","real data",2004-02-01,1034
"2401","macrorregião II","RN","real data","real data","real data",2004-03-01,1266
"2401","macrorregião II","RN","real data","real data","real data",2004-04-01,1224
"2401","macrorregião II","RN","real data","real data","real data",2004-05-01,1201
"2401","macrorregião II","RN","real data","real data","real data",2004-06-01,1135
"2401","macrorregião II","RN","real data","real data","real data",2004-07-01,1099
"2401","macrorregião II","RN","real data","real data","real data",2004-08-01,1073
"2401","macrorregião II","RN","real data","real data","real data",2004-09-01,1117
"2401","macrorregião II","RN","real data","real data","real data",2004-10-01,1020
"2401","macrorregião II","RN","real data","real data","real data",2004-11-01,1053
"2401","macrorregião II","RN","real data","real data","real data",2004-12-01,989
"2401","macrorregião II","RN","real data","real data","real data",2005-01-01,1086
"2401","macrorregião II","RN","real data","real data","real data",2005-02-01,1077
"2401","macrorregião II","RN","real data","real data","real data",2005-03-01,1243
"2401","macrorregião II","RN","real data","real data","real data",2005-04-01,1211
"2401","macrorregião II","RN","real data","real data","real data",2005-05-01,1207
"2401","macrorregião II","RN","real data","real data","real data",2005-06-01,1208
"2401","macrorregião II","RN","real data","real data","real data",2005-07-01,1172
"2401","macrorregião II","RN","real data","real data","real data",2005-08-01,1162
"2401","macrorregião II","RN","real data","real data","real data",2005-09-01,1175
"2401","macrorregião II","RN","real data","real data","real data",2005-10-01,1072
"2401","macrorregião II","RN","real data","real data","real data",2005-11-01,997
"2401","macrorregião II","RN","real data","real data","real data",2005-12-01,903
"2401","macrorregião II","RN","real data","real data","real data",2006-01-01,918
"2401","macrorregião II","RN","real data","real data","real data",2006-02-01,982
"2401","macrorregião II","RN","real data","real data","real data",2006-03-01,1162
"2401","macrorregião II","RN","real data","real data","real data",2006-04-01,1130
"2401","macrorregião II","RN","real data","real data","real data",2006-05-01,1123
"2401","macrorregião II","RN","real data","real data","real data",2006-06-01,994
"2401","macrorregião II","RN","real data","real data","real data",2006-07-01,1037
"2401","macrorregião II","RN","real data","real data","real data",2006-08-01,990
"2401","macrorregião II","RN","real data","real data","real data",2006-09-01,989
"2401","macrorregião II","RN","real data","real data","real data",2006-10-01,1016
"2401","macrorregião II","RN","real data","real data","real data",2006-11-01,852
"2401","macrorregião II","RN","real data","real data","real data",2006-12-01,952
"2401","macrorregião II","RN","real data","real data","real data",2007-01-01,1020
"2401","macrorregião II","RN","real data","real data","real data",2007-02-01,968
"2401","macrorregião II","RN","real data","real data","real data",2007-03-01,1233
"2401","macrorregião II","RN","real data","real data","real data",2007-04-01,1135
"2401","macrorregião II","RN","real data","real data","real data",2007-05-01,1216
"2401","macrorregião II","RN","real data","real data","real data",2007-06-01,1131
"2401","macrorregião II","RN","real data","real data","real data",2007-07-01,1153
"2401","macrorregião II","RN","real data","real data","real data",2007-08-01,1094
"2401","macrorregião II","RN","real data","real data","real data",2007-09-01,1067
"2401","macrorregião II","RN","real data","real data","real data",2007-10-01,975
"2401","macrorregião II","RN","real data","real data","real data",2007-11-01,980
"2401","macrorregião II","RN","real data","real data","real data",2007-12-01,980
"2401","macrorregião II","RN","real data","real data","real data",2008-01-01,992
"2401","macrorregião II","RN","real data","real data","real data",2008-02-01,876
"2401","macrorregião II","RN","real data","real data","real data",2008-03-01,1116
"2401","macrorregião II","RN","real data","real data","real data",2008-04-01,1075
"2401","macrorregião II","RN","real data","real data","real data",2008-05-01,1142
"2401","macrorregião II","RN","real data","real data","real data",2008-06-01,1081
"2401","macrorregião II","RN","real data","real data","real data",2008-07-01,1161
"2401","macrorregião II","RN","real data","real data","real data",2008-08-01,1107
"2401","macrorregião II","RN","real data","real data","real data",2008-09-01,1103
"2401","macrorregião II","RN","real data","real data","real data",2008-10-01,1136
"2401","macrorregião II","RN","real data","real data","real data",2008-11-01,977
"2401","macrorregião II","RN","real data","real data","real data",2008-12-01,977
"2401","macrorregião II","RN","real data","real data","real data",2009-01-01,1104
"2401","macrorregião II","RN","real data","real data","real data",2009-02-01,1029
"2401","macrorregião II","RN","real data","real data","real data",2009-03-01,1189
"2401","macrorregião II","RN","real data","real data","real data",2009-04-01,1200
"2401","macrorregião II","RN","real data","real data","real data",2009-05-01,1083
"2401","macrorregião II","RN","real data","real data","real data",2009-06-01,1041
"2401","macrorregião II","RN","real data","real data","real data",2009-07-01,963
"2401","macrorregião II","RN","real data","real data","real data",2009-08-01,917
"2401","macrorregião II","RN","real data","real data","real data",2009-09-01,1009
"2401","macrorregião II","RN","real data","real data","real data",2009-10-01,1005
"2401","macrorregião II","RN","real data","real data","real data",2009-11-01,982
"2401","macrorregião II","RN","real data","real data","real data",2009-12-01,1024
"2401","macrorregião II","RN","real data","real data","real data",2010-01-01,946
"2401","macrorregião II","RN","real data","real data","real data",2010-02-01,920
"2401","macrorregião II","RN","real data","real data","real data",2010-03-01,1133
"2401","macrorregião II","RN","real data","real data","real data",2010-04-01,1043
"2401","macrorregião II","RN","real data","real data","real data",2010-05-01,1053
"2401","macrorregião II","RN","real data","real data","real data",2010-06-01,1055
"2401","macrorregião II","RN","real data","real data","real data",2010-07-01,1082
"2401","macrorregião II","RN","real data","real data","real data",2010-08-01,1042
"2401","macrorregião II","RN","real data","real data","real data",2010-09-01,1081
"2401","macrorregião II","RN","real data","real data","real data",2010-10-01,944
"2401","macrorregião II","RN","real data","real data","real data",2010-11-01,937
"2401","macrorregião II","RN","real data","real data","real data",2010-12-01,998
"2401","macrorregião II","RN","real data","real data","real data",2011-01-01,978
"2401","macrorregião II","RN","real data","real data","real data",2011-02-01,932
"2401","macrorregião II","RN","real data","real data","real data",2011-03-01,1116
"2401","macrorregião II","RN","real data","real data","real data",2011-04-01,1074
"2401","macrorregião II","RN","real data","real data","real data",2011-05-01,1137
"2401","macrorregião II","RN","real data","real data","real data",2011-06-01,1062
"2401","macrorregião II","RN","real data","real data","real data",2011-07-01,1033
"2401","macrorregião II","RN","real data","real data","real data",2011-08-01,1002
"2401","macrorregião II","RN","real data","real data","real data",2011-09-01,969
"2401","macrorregião II","RN","real data","real data","real data",2011-10-01,932
"2401","macrorregião II","RN","real data","real data","real data",2011-11-01,901
"2401","macrorregião II","RN","real data","real data","real data",2011-12-01,957
"2401","macrorregião II","RN","real data","real data","real data",2012-01-01,970
"2401","macrorregião II","RN","real data","real data","real data",2012-02-01,951
"2401","macrorregião II","RN","real data","real data","real data",2012-03-01,1126
"2401","macrorregião II","RN","real data","real data","real data",2012-04-01,932
"2401","macrorregião II","RN","real data","real data","real data",2012-05-01,1065
"2401","macrorregião II","RN","real data","real data","real data",2012-06-01,932
"2401","macrorregião II","RN","real data","real data","real data",2012-07-01,960
"2401","macrorregião II","RN","real data","real data","real data",2012-08-01,981
"2401","macrorregião II","RN","real data","real data","real data",2012-09-01,896
"2401","macrorregião II","RN","real data","real data","real data",2012-10-01,964
"2401","macrorregião II","RN","real data","real data","real data",2012-11-01,925
"2401","macrorregião II","RN","real data","real data","real data",2012-12-01,926
"2401","macrorregião II","RN","real data","real data","real data",2013-01-01,919
"2401","macrorregião II","RN","real data","real data","real data",2013-02-01,842
"2401","macrorregião II","RN","real data","real data","real data",2013-03-01,1026
"2401","macrorregião II","RN","real data","real data","real data",2013-04-01,1035
"2401","macrorregião II","RN","real data","real data","real data",2013-05-01,1063
"2401","macrorregião II","RN","real data","real data","real data",2013-06-01,977
"2401","macrorregião II","RN","real data","real data","real data",2013-07-01,972
"2401","macrorregião II","RN","real data","real data","real data",2013-08-01,973
"2401","macrorregião II","RN","real data","real data","real data",2013-09-01,920
"2401","macrorregião II","RN","real data","real data","real data",2013-10-01,924
"2401","macrorregião II","RN","real data","real data","real data",2013-11-01,875
"2401","macrorregião II","RN","real data","real data","real data",2013-12-01,914
"2401","macrorregião II","RN","real data","real data","real data",2014-01-01,926
"2401","macrorregião II","RN","real data","real data","real data",2014-02-01,927
"2401","macrorregião II","RN","real data","real data","real data",2014-03-01,1052
"2401","macrorregião II","RN","real data","real data","real data",2014-04-01,1046
"2401","macrorregião II","RN","real data","real data","real data",2014-05-01,1054
"2401","macrorregião II","RN","real data","real data","real data",2014-06-01,983
"2401","macrorregião II","RN","real data","real data","real data",2014-07-01,1020
"2401","macrorregião II","RN","real data","real data","real data",2014-08-01,929
"2401","macrorregião II","RN","real data","real data","real data",2014-09-01,1063
"2401","macrorregião II","RN","real data","real data","real data",2014-10-01,1084
"2401","macrorregião II","RN","real data","real data","real data",2014-11-01,953
"2401","macrorregião II","RN","real data","real data","real data",2014-12-01,1012
"2401","macrorregião II","RN","real data","real data","real data",2015-01-01,1035
"2401","macrorregião II","RN","real data","real data","real data",2015-02-01,893
"2401","macrorregião II","RN","real data","real data","real data",2015-03-01,1131
"2401","macrorregião II","RN","real data","real data","real data",2015-04-01,1060
"2401","macrorregião II","RN","real data","real data","real data",2015-05-01,1124
"2401","macrorregião II","RN","real data","real data","real data",2015-06-01,1009
"2401","macrorregião II","RN","real data","real data","real data",2015-07-01,1091
"2401","macrorregião II","RN","real data","real data","real data",2015-08-01,971
"2401","macrorregião II","RN","real data","real data","real data",2015-09-01,1061
"2401","macrorregião II","RN","real data","real data","real data",2015-10-01,1000
"2401","macrorregião II","RN","real data","real data","real data",2015-11-01,939
"2401","macrorregião II","RN","real data","real data","real data",2015-12-01,863
"2401","macrorregião II","RN","real data","real data","real data",2016-01-01,925
"2401","macrorregião II","RN","real data","real data","real data",2016-02-01,816
"2401","macrorregião II","RN","real data","real data","real data",2016-03-01,1066
"2401","macrorregião II","RN","real data","real data","real data",2016-04-01,1039
"2401","macrorregião II","RN","real data","real data","real data",2016-05-01,1054
"2401","macrorregião II","RN","real data","real data","real data",2016-06-01,1013
"2401","macrorregião II","RN","real data","real data","real data",2016-07-01,1007
"2401","macrorregião II","RN","real data","real data","real data",2016-08-01,924
"2401","macrorregião II","RN","real data","real data","real data",2016-09-01,908
"2401","macrorregião II","RN","real data","real data","real data",2016-10-01,822
"2401","macrorregião II","RN","real data","real data","real data",2016-11-01,766
"2401","macrorregião II","RN","real data","real data","real data",2016-12-01,753
"2401","macrorregião II","RN","real data","real data","real data",2017-01-01,759
"2401","macrorregião II","RN","real data","real data","real data",2017-02-01,755
"2401","macrorregião II","RN","real data","real data","real data",2017-03-01,1060
"2401","macrorregião II","RN","real data","real data","real data",2017-04-01,1026
"2401","macrorregião II","RN","real data","real data","real data",2017-05-01,1137
"2401","macrorregião II","RN","real data","real data","real data",2017-06-01,1041
"2401","macrorregião II","RN","real data","real data","real data",2017-07-01,904
"2401","macrorregião II","RN","real data","real data","real data",2017-08-01,1020
"2401","macrorregião II","RN","real data","real data","real data",2017-09-01,956
"2401","macrorregião II","RN","real data","real data","real data",2017-10-01,916
"2401","macrorregião II","RN","real data","real data","real data",2017-11-01,960
"2401","macrorregião II","RN","real data","real data","real data",2017-12-01,906
"2401","macrorregião II","RN","real data","real data","real data",2018-01-01,955
"2401","macrorregião II","RN","real data","real data","real data",2018-02-01,936
"2401","macrorregião II","RN","real data","real data","real data",2018-03-01,1055
"2401","macrorregião II","RN","real data","real data","real data",2018-04-01,1036
"2401","macrorregião II","RN","real data","real data","real data",2018-05-01,1063
"2401","macrorregião II","RN","real data","real data","real data",2018-06-01,986
"2401","macrorregião II","RN","real data","real data","real data",2018-07-01,1003
"2401","macrorregião II","RN","real data","real data","real data",2018-08-01,942
"2401","macrorregião II","RN","real data","real data","real data",2018-09-01,952
"2401","macrorregião II","RN","real data","real data","real data",2018-10-01,1011
"2401","macrorregião II","RN","real data","real data","real data",2018-11-01,950
"2401","macrorregião II","RN","real data","real data","real data",2018-12-01,938
"2401","macrorregião II","RN","real data","real data","real data",2019-01-01,963
"2401","macrorregião II","RN","real data","real data","real data",2019-02-01,891
"2401","macrorregião II","RN","real data","real data","real data",2019-03-01,1055
"2401","macrorregião II","RN","real data","real data","real data",2019-04-01,978
"2401","macrorregião II","RN","real data","real data","real data",2019-05-01,999
"2401","macrorregião II","RN","real data","real data","real data",2019-06-01,949
"2401","macrorregião II","RN","real data","real data","real data",2019-07-01,896
