"mc_region","region_name","state","mape","id","desc","date","qtt"
"2402","Macrorregião I","RN","real data","real data","real data",2000-01-01,3601
"2402","Macrorregião I","RN","real data","real data","real data",2000-02-01,3453
"2402","Macrorregião I","RN","real data","real data","real data",2000-03-01,3996
"2402","Macrorregião I","RN","real data","real data","real data",2000-04-01,3784
"2402","Macrorregião I","RN","real data","real data","real data",2000-05-01,3975
"2402","Macrorregião I","RN","real data","real data","real data",2000-06-01,3719
"2402","Macrorregião I","RN","real data","real data","real data",2000-07-01,3766
"2402","Macrorregião I","RN","real data","real data","real data",2000-08-01,3697
"2402","Macrorregião I","RN","real data","real data","real data",2000-09-01,3626
"2402","Macrorregião I","RN","real data","real data","real data",2000-10-01,3574
"2402","Macrorregião I","RN","real data","real data","real data",2000-11-01,3113
"2402","Macrorregião I","RN","real data","real data","real data",2000-12-01,2803
"2402","Macrorregião I","RN","real data","real data","real data",2001-01-01,3220
"2402","Macrorregião I","RN","real data","real data","real data",2001-02-01,3016
"2402","Macrorregião I","RN","real data","real data","real data",2001-03-01,3596
"2402","Macrorregião I","RN","real data","real data","real data",2001-04-01,3551
"2402","Macrorregião I","RN","real data","real data","real data",2001-05-01,3784
"2402","Macrorregião I","RN","real data","real data","real data",2001-06-01,3369
"2402","Macrorregião I","RN","real data","real data","real data",2001-07-01,3361
"2402","Macrorregião I","RN","real data","real data","real data",2001-08-01,3212
"2402","Macrorregião I","RN","real data","real data","real data",2001-09-01,3385
"2402","Macrorregião I","RN","real data","real data","real data",2001-10-01,3412
"2402","Macrorregião I","RN","real data","real data","real data",2001-11-01,3098
"2402","Macrorregião I","RN","real data","real data","real data",2001-12-01,3084
"2402","Macrorregião I","RN","real data","real data","real data",2002-01-01,3383
"2402","Macrorregião I","RN","real data","real data","real data",2002-02-01,3136
"2402","Macrorregião I","RN","real data","real data","real data",2002-03-01,3568
"2402","Macrorregião I","RN","real data","real data","real data",2002-04-01,3622
"2402","Macrorregião I","RN","real data","real data","real data",2002-05-01,3648
"2402","Macrorregião I","RN","real data","real data","real data",2002-06-01,3310
"2402","Macrorregião I","RN","real data","real data","real data",2002-07-01,3358
"2402","Macrorregião I","RN","real data","real data","real data",2002-08-01,3249
"2402","Macrorregião I","RN","real data","real data","real data",2002-09-01,3253
"2402","Macrorregião I","RN","real data","real data","real data",2002-10-01,3054
"2402","Macrorregião I","RN","real data","real data","real data",2002-11-01,2848
"2402","Macrorregião I","RN","real data","real data","real data",2002-12-01,2839
"2402","Macrorregião I","RN","real data","real data","real data",2003-01-01,3287
"2402","Macrorregião I","RN","real data","real data","real data",2003-02-01,3068
"2402","Macrorregião I","RN","real data","real data","real data",2003-03-01,3596
"2402","Macrorregião I","RN","real data","real data","real data",2003-04-01,3628
"2402","Macrorregião I","RN","real data","real data","real data",2003-05-01,3759
"2402","Macrorregião I","RN","real data","real data","real data",2003-06-01,3499
"2402","Macrorregião I","RN","real data","real data","real data",2003-07-01,3228
"2402","Macrorregião I","RN","real data","real data","real data",2003-08-01,3204
"2402","Macrorregião I","RN","real data","real data","real data",2003-09-01,3092
"2402","Macrorregião I","RN","real data","real data","real data",2003-10-01,3057
"2402","Macrorregião I","RN","real data","real data","real data",2003-11-01,2954
"2402","Macrorregião I","RN","real data","real data","real data",2003-12-01,2657
"2402","Macrorregião I","RN","real data","real data","real data",2004-01-01,2962
"2402","Macrorregião I","RN","real data","real data","real data",2004-02-01,2843
"2402","Macrorregião I","RN","real data","real data","real data",2004-03-01,3518
"2402","Macrorregião I","RN","real data","real data","real data",2004-04-01,3578
"2402","Macrorregião I","RN","real data","real data","real data",2004-05-01,3587
"2402","Macrorregião I","RN","real data","real data","real data",2004-06-01,3275
"2402","Macrorregião I","RN","real data","real data","real data",2004-07-01,3299
"2402","Macrorregião I","RN","real data","real data","real data",2004-08-01,3074
"2402","Macrorregião I","RN","real data","real data","real data",2004-09-01,3039
"2402","Macrorregião I","RN","real data","real data","real data",2004-10-01,2920
"2402","Macrorregião I","RN","real data","real data","real data",2004-11-01,2731
"2402","Macrorregião I","RN","real data","real data","real data",2004-12-01,2648
"2402","Macrorregião I","RN","real data","real data","real data",2005-01-01,3034
"2402","Macrorregião I","RN","real data","real data","real data",2005-02-01,2960
"2402","Macrorregião I","RN","real data","real data","real data",2005-03-01,3635
"2402","Macrorregião I","RN","real data","real data","real data",2005-04-01,3594
"2402","Macrorregião I","RN","real data","real data","real data",2005-05-01,3779
"2402","Macrorregião I","RN","real data","real data","real data",2005-06-01,3453
"2402","Macrorregião I","RN","real data","real data","real data",2005-07-01,3470
"2402","Macrorregião I","RN","real data","real data","real data",2005-08-01,3428
"2402","Macrorregião I","RN","real data","real data","real data",2005-09-01,3215
