"mc_region","region_name","state","mape","id","desc","date","qtt"
"2607","Metropolitana","PE","real data","real data","real data",2000-01-01,7622
"2607","Metropolitana","PE","real data","real data","real data",2000-02-01,7522
"2607","Metropolitana","PE","real data","real data","real data",2000-03-01,8560
"2607","Metropolitana","PE","real data","real data","real data",2000-04-01,8715
"2607","Metropolitana","PE","real data","real data","real data",2000-05-01,8927
"2607","Metropolitana","PE","real data","real data","real data",2000-06-01,8387
"2607","Metropolitana","PE","real data","real data","real data",2000-07-01,8028
"2607","Metropolitana","PE","real data","real data","real data",2000-08-01,7880
"2607","Metropolitana","PE","real data","real data","real data",2000-09-01,7874
"2607","Metropolitana","PE","real data","real data","real data",2000-10-01,7659
"2607","Metropolitana","PE","real data","real data","real data",2000-11-01,7091
"2607","Metropolitana","PE","real data","real data","real data",2000-12-01,7028
"2607","Metropolitana","PE","real data","real data","real data",2001-01-01,7396
"2607","Metropolitana","PE","real data","real data","real data",2001-02-01,6858
"2607","Metropolitana","PE","real data","real data","real data",2001-03-01,8461
"2607","Metropolitana","PE","real data","real data","real data",2001-04-01,8357
"2607","Metropolitana","PE","real data","real data","real data",2001-05-01,8726
"2607","Metropolitana","PE","real data","real data","real data",2001-06-01,7842
"2607","Metropolitana","PE","real data","real data","real data",2001-07-01,8060
"2607","Metropolitana","PE","real data","real data","real data",2001-08-01,7685
"2607","Metropolitana","PE","real data","real data","real data",2001-09-01,7744
"2607","Metropolitana","PE","real data","real data","real data",2001-10-01,8122
"2607","Metropolitana","PE","real data","real data","real data",2001-11-01,7563
"2607","Metropolitana","PE","real data","real data","real data",2001-12-01,7487
"2607","Metropolitana","PE","real data","real data","real data",2002-01-01,7924
"2607","Metropolitana","PE","real data","real data","real data",2002-02-01,7337
"2607","Metropolitana","PE","real data","real data","real data",2002-03-01,8108
"2607","Metropolitana","PE","real data","real data","real data",2002-04-01,8003
"2607","Metropolitana","PE","real data","real data","real data",2002-05-01,8315
"2607","Metropolitana","PE","real data","real data","real data",2002-06-01,7738
"2607","Metropolitana","PE","real data","real data","real data",2002-07-01,7493
"2607","Metropolitana","PE","real data","real data","real data",2002-08-01,6954
"2607","Metropolitana","PE","real data","real data","real data",2002-09-01,6828
"2607","Metropolitana","PE","real data","real data","real data",2002-10-01,6590
"2607","Metropolitana","PE","real data","real data","real data",2002-11-01,6394
"2607","Metropolitana","PE","real data","real data","real data",2002-12-01,6830
"2607","Metropolitana","PE","real data","real data","real data",2003-01-01,7138
"2607","Metropolitana","PE","real data","real data","real data",2003-02-01,7120
"2607","Metropolitana","PE","real data","real data","real data",2003-03-01,8490
"2607","Metropolitana","PE","real data","real data","real data",2003-04-01,8023
"2607","Metropolitana","PE","real data","real data","real data",2003-05-01,8324
"2607","Metropolitana","PE","real data","real data","real data",2003-06-01,7815
"2607","Metropolitana","PE","real data","real data","real data",2003-07-01,7434
"2607","Metropolitana","PE","real data","real data","real data",2003-08-01,7106
"2607","Metropolitana","PE","real data","real data","real data",2003-09-01,6725
"2607","Metropolitana","PE","real data","real data","real data",2003-10-01,6214
"2607","Metropolitana","PE","real data","real data","real data",2003-11-01,6536
