"mc_region","region_name","state","mape","id","desc","date","qtt"
"2608","Agreste","PE","real data","real data","real data",2000-01-01,2750
"2608","Agreste","PE","real data","real data","real data",2000-02-01,2599
"2608","Agreste","PE","real data","real data","real data",2000-03-01,2863
"2608","Agreste","PE","real data","real data","real data",2000-04-01,2817
"2608","Agreste","PE","real data","real data","real data",2000-05-01,3174
"2608","Agreste","PE","real data","real data","real data",2000-06-01,2876
"2608","Agreste","PE","real data","real data","real data",2000-07-01,2798
"2608","Agreste","PE","real data","real data","real data",2000-08-01,2767
"2608","Agreste","PE","real data","real data","real data",2000-09-01,2614
"2608","Agreste","PE","real data","real data","real data",2000-10-01,2707
"2608","Agreste","PE","real data","real data","real data",2000-11-01,2404
"2608","Agreste","PE","real data","real data","real data",2000-12-01,2599
"2608","Agreste","PE","real data","real data","real data",2001-01-01,2768
"2608","Agreste","PE","real data","real data","real data",2001-02-01,2476
"2608","Agreste","PE","real data","real data","real data",2001-03-01,2867
"2608","Agreste","PE","real data","real data","real data",2001-04-01,2918
"2608","Agreste","PE","real data","real data","real data",2001-05-01,3128
"2608","Agreste","PE","real data","real data","real data",2001-06-01,2973
"2608","Agreste","PE","real data","real data","real data",2001-07-01,2852
"2608","Agreste","PE","real data","real data","real data",2001-08-01,2787
"2608","Agreste","PE","real data","real data","real data",2001-09-01,2774
"2608","Agreste","PE","real data","real data","real data",2001-10-01,2845
"2608","Agreste","PE","real data","real data","real data",2001-11-01,2661
"2608","Agreste","PE","real data","real data","real data",2001-12-01,2692
"2608","Agreste","PE","real data","real data","real data",2002-01-01,2959
"2608","Agreste","PE","real data","real data","real data",2002-02-01,2664
"2608","Agreste","PE","real data","real data","real data",2002-03-01,2851
"2608","Agreste","PE","real data","real data","real data",2002-04-01,2783
"2608","Agreste","PE","real data","real data","real data",2002-05-01,2869
"2608","Agreste","PE","real data","real data","real data",2002-06-01,2814
"2608","Agreste","PE","real data","real data","real data",2002-07-01,2721
"2608","Agreste","PE","real data","real data","real data",2002-08-01,2527
"2608","Agreste","PE","real data","real data","real data",2002-09-01,2624
"2608","Agreste","PE","real data","real data","real data",2002-10-01,2763
"2608","Agreste","PE","real data","real data","real data",2002-11-01,2614
"2608","Agreste","PE","real data","real data","real data",2002-12-01,2624
"2608","Agreste","PE","real data","real data","real data",2003-01-01,2741
"2608","Agreste","PE","real data","real data","real data",2003-02-01,2603
"2608","Agreste","PE","real data","real data","real data",2003-03-01,3060
"2608","Agreste","PE","real data","real data","real data",2003-04-01,2864
"2608","Agreste","PE","real data","real data","real data",2003-05-01,2903
"2608","Agreste","PE","real data","real data","real data",2003-06-01,2662
"2608","Agreste","PE","real data","real data","real data",2003-07-01,2678
"2608","Agreste","PE","real data","real data","real data",2003-08-01,2328
"2608","Agreste","PE","real data","real data","real data",2003-09-01,2115
"2608","Agreste","PE","real data","real data","real data",2003-10-01,2418
"2608","Agreste","PE","real data","real data","real data",2003-11-01,2430
"2608","Agreste","PE","real data","real data","real data",2003-12-01,2444
"2608","Agreste","PE","real data","real data","real data",2004-01-01,2466
"2608","Agreste","PE","real data","real data","real data",2004-02-01,2357
"2608","Agreste","PE","real data","real data","real data",2004-03-01,2899
"2608","Agreste","PE","real data","real data","real data",2004-04-01,2755
"2608","Agreste","PE","real data","real data","real data",2004-05-01,2828
"2608","Agreste","PE","real data","real data","real data",2004-06-01,2732
"2608","Agreste","PE","real data","real data","real data",2004-07-01,2657
"2608","Agreste","PE","real data","real data","real data",2004-08-01,2491
"2608","Agreste","PE","real data","real data","real data",2004-09-01,2459
"2608","Agreste","PE","real data","real data","real data",2004-10-01,2439
"2608","Agreste","PE","real data","real data","real data",2004-11-01,2169
"2608","Agreste","PE","real data","real data","real data",2004-12-01,2203
"2608","Agreste","PE","real data","real data","real data",2005-01-01,2448
"2608","Agreste","PE","real data","real data","real data",2005-02-01,2308
"2608","Agreste","PE","real data","real data","real data",2005-03-01,2768
"2608","Agreste","PE","real data","real data","real data",2005-04-01,2797
"2608","Agreste","PE","real data","real data","real data",2005-05-01,2722
"2608","Agreste","PE","real data","real data","real data",2005-06-01,2798
"2608","Agreste","PE","real data","real data","real data",2005-07-01,2751
"2608","Agreste","PE","real data","real data","real data",2005-08-01,2692
"2608","Agreste","PE","real data","real data","real data",2005-09-01,2633
"2608","Agreste","PE","real data","real data","real data",2005-10-01,2519
"2608","Agreste","PE","real data","real data","real data",2005-11-01,2525
"2608","Agreste","PE","real data","real data","real data",2005-12-01,2472
"2608","Agreste","PE","real data","real data","real data",2006-01-01,2372
"2608","Agreste","PE","real data","real data","real data",2006-02-01,2249
"2608","Agreste","PE","real data","real data","real data",2006-03-01,2810
"2608","Agreste","PE","real data","real data","real data",2006-04-01,2615
"2608","Agreste","PE","real data","real data","real data",2006-05-01,2819
"2608","Agreste","PE","real data","real data","real data",2006-06-01,2639
"2608","Agreste","PE","real data","real data","real data",2006-07-01,2643
"2608","Agreste","PE","real data","real data","real data",2006-08-01,2572
"2608","Agreste","PE","real data","real data","real data",2006-09-01,2450
"2608","Agreste","PE","real data","real data","real data",2006-10-01,2490
"2608","Agreste","PE","real data","real data","real data",2006-11-01,2324
"2608","Agreste","PE","real data","real data","real data",2006-12-01,2306
"2608","Agreste","PE","real data","real data","real data",2007-01-01,2190
"2608","Agreste","PE","real data","real data","real data",2007-02-01,2134
"2608","Agreste","PE","real data","real data","real data",2007-03-01,2830
"2608","Agreste","PE","real data","real data","real data",2007-04-01,2559
"2608","Agreste","PE","real data","real data","real data",2007-05-01,2736
"2608","Agreste","PE","real data","real data","real data",2007-06-01,2659
"2608","Agreste","PE","real data","real data","real data",2007-07-01,2552
"2608","Agreste","PE","real data","real data","real data",2007-08-01,2450
"2608","Agreste","PE","real data","real data","real data",2007-09-01,2508
"2608","Agreste","PE","real data","real data","real data",2007-10-01,2401
"2608","Agreste","PE","real data","real data","real data",2007-11-01,2264
"2608","Agreste","PE","real data","real data","real data",2007-12-01,2332
"2608","Agreste","PE","real data","real data","real data",2008-01-01,2319
"2608","Agreste","PE","real data","real data","real data",2008-02-01,2262
"2608","Agreste","PE","real data","real data","real data",2008-03-01,2588
"2608","Agreste","PE","real data","real data","real data",2008-04-01,2652
"2608","Agreste","PE","real data","real data","real data",2008-05-01,2691
"2608","Agreste","PE","real data","real data","real data",2008-06-01,2498
"2608","Agreste","PE","real data","real data","real data",2008-07-01,2708
"2608","Agreste","PE","real data","real data","real data",2008-08-01,2563
"2608","Agreste","PE","real data","real data","real data",2008-09-01,2623
"2608","Agreste","PE","real data","real data","real data",2008-10-01,2573
"2608","Agreste","PE","real data","real data","real data",2008-11-01,2345
"2608","Agreste","PE","real data","real data","real data",2008-12-01,2462
"2608","Agreste","PE","real data","real data","real data",2009-01-01,2489
"2608","Agreste","PE","real data","real data","real data",2009-02-01,2266
"2608","Agreste","PE","real data","real data","real data",2009-03-01,2839
"2608","Agreste","PE","real data","real data","real data",2009-04-01,2645
"2608","Agreste","PE","real data","real data","real data",2009-05-01,2538
"2608","Agreste","PE","real data","real data","real data",2009-06-01,2476
"2608","Agreste","PE","real data","real data","real data",2009-07-01,2498
"2608","Agreste","PE","real data","real data","real data",2009-08-01,2324
"2608","Agreste","PE","real data","real data","real data",2009-09-01,2493
"2608","Agreste","PE","real data","real data","real data",2009-10-01,2276
"2608","Agreste","PE","real data","real data","real data",2009-11-01,2191
"2608","Agreste","PE","real data","real data","real data",2009-12-01,2160
"2608","Agreste","PE","real data","real data","real data",2010-01-01,2176
"2608","Agreste","PE","real data","real data","real data",2010-02-01,2146
"2608","Agreste","PE","real data","real data","real data",2010-03-01,2538
"2608","Agreste","PE","real data","real data","real data",2010-04-01,2439
"2608","Agreste","PE","real data","real data","real data",2010-05-01,2576
"2608","Agreste","PE","real data","real data","real data",2010-06-01,2402
"2608","Agreste","PE","real data","real data","real data",2010-07-01,2415
"2608","Agreste","PE","real data","real data","real data",2010-08-01,2332
"2608","Agreste","PE","real data","real data","real data",2010-09-01,2326
"2608","Agreste","PE","real data","real data","real data",2010-10-01,2412
"2608","Agreste","PE","real data","real data","real data",2010-11-01,2210
"2608","Agreste","PE","real data","real data","real data",2010-12-01,2216
"2608","Agreste","PE","real data","real data","real data",2011-01-01,2116
"2608","Agreste","PE","real data","real data","real data",2011-02-01,2136
"2608","Agreste","PE","real data","real data","real data",2011-03-01,2567
"2608","Agreste","PE","real data","real data","real data",2011-04-01,2552
"2608","Agreste","PE","real data","real data","real data",2011-05-01,2712
"2608","Agreste","PE","real data","real data","real data",2011-06-01,2514
"2608","Agreste","PE","real data","real data","real data",2011-07-01,2392
"2608","Agreste","PE","real data","real data","real data",2011-08-01,2361
"2608","Agreste","PE","real data","real data","real data",2011-09-01,2324
"2608","Agreste","PE","real data","real data","real data",2011-10-01,2385
"2608","Agreste","PE","real data","real data","real data",2011-11-01,2255
"2608","Agreste","PE","real data","real data","real data",2011-12-01,2242
"2608","Agreste","PE","real data","real data","real data",2012-01-01,2355
"2608","Agreste","PE","real data","real data","real data",2012-02-01,2313
"2608","Agreste","PE","real data","real data","real data",2012-03-01,2673
"2608","Agreste","PE","real data","real data","real data",2012-04-01,2268
"2608","Agreste","PE","real data","real data","real data",2012-05-01,2639
"2608","Agreste","PE","real data","real data","real data",2012-06-01,2345
"2608","Agreste","PE","real data","real data","real data",2012-07-01,2386
"2608","Agreste","PE","real data","real data","real data",2012-08-01,2288
"2608","Agreste","PE","real data","real data","real data",2012-09-01,2270
"2608","Agreste","PE","real data","real data","real data",2012-10-01,2323
"2608","Agreste","PE","real data","real data","real data",2012-11-01,2372
"2608","Agreste","PE","real data","real data","real data",2012-12-01,2219
"2608","Agreste","PE","real data","real data","real data",2013-01-01,2317
"2608","Agreste","PE","real data","real data","real data",2013-02-01,2150
"2608","Agreste","PE","real data","real data","real data",2013-03-01,2569
"2608","Agreste","PE","real data","real data","real data",2013-04-01,2522
"2608","Agreste","PE","real data","real data","real data",2013-05-01,2562
"2608","Agreste","PE","real data","real data","real data",2013-06-01,2502
"2608","Agreste","PE","real data","real data","real data",2013-07-01,2485
