"mc_region","region_name","state","mape","id","desc","date","qtt"
"2704","1ª Macrorregião de Saúde","AL","real data","real data","real data",2000-01-01,3543
"2704","1ª Macrorregião de Saúde","AL","real data","real data","real data",2000-02-01,3218
"2704","1ª Macrorregião de Saúde","AL","real data","real data","real data",2000-03-01,3589
"2704","1ª Macrorregião de Saúde","AL","real data","real data","real data",2000-04-01,3577
"2704","1ª Macrorregião de Saúde","AL","real data","real data","real data",2000-05-01,4015
"2704","1ª Macrorregião de Saúde","AL","real data","real data","real data",2000-06-01,3536
"2704","1ª Macrorregião de Saúde","AL","real data","real data","real data",2000-07-01,3748
"2704","1ª Macrorregião de Saúde","AL","real data","real data","real data",2000-08-01,3566
"2704","1ª Macrorregião de Saúde","AL","real data","real data","real data",2000-09-01,3294
"2704","1ª Macrorregião de Saúde","AL","real data","real data","real data",2000-10-01,3476
"2704","1ª Macrorregião de Saúde","AL","real data","real data","real data",2000-11-01,3288
"2704","1ª Macrorregião de Saúde","AL","real data","real data","real data",2000-12-01,3392
"2704","1ª Macrorregião de Saúde","AL","real data","real data","real data",2001-01-01,3507
"2704","1ª Macrorregião de Saúde","AL","real data","real data","real data",2001-02-01,3157
"2704","1ª Macrorregião de Saúde","AL","real data","real data","real data",2001-03-01,3935
"2704","1ª Macrorregião de Saúde","AL","real data","real data","real data",2001-04-01,3826
"2704","1ª Macrorregião de Saúde","AL","real data","real data","real data",2001-05-01,4098
"2704","1ª Macrorregião de Saúde","AL","real data","real data","real data",2001-06-01,3744
"2704","1ª Macrorregião de Saúde","AL","real data","real data","real data",2001-07-01,3809
"2704","1ª Macrorregião de Saúde","AL","real data","real data","real data",2001-08-01,3702
"2704","1ª Macrorregião de Saúde","AL","real data","real data","real data",2001-09-01,3581
"2704","1ª Macrorregião de Saúde","AL","real data","real data","real data",2001-10-01,3761
"2704","1ª Macrorregião de Saúde","AL","real data","real data","real data",2001-11-01,3551
"2704","1ª Macrorregião de Saúde","AL","real data","real data","real data",2001-12-01,3369
"2704","1ª Macrorregião de Saúde","AL","real data","real data","real data",2002-01-01,3592
"2704","1ª Macrorregião de Saúde","AL","real data","real data","real data",2002-02-01,3394
"2704","1ª Macrorregião de Saúde","AL","real data","real data","real data",2002-03-01,3994
"2704","1ª Macrorregião de Saúde","AL","real data","real data","real data",2002-04-01,3727
"2704","1ª Macrorregião de Saúde","AL","real data","real data","real data",2002-05-01,3921
"2704","1ª Macrorregião de Saúde","AL","real data","real data","real data",2002-06-01,3554
"2704","1ª Macrorregião de Saúde","AL","real data","real data","real data",2002-07-01,3592
"2704","1ª Macrorregião de Saúde","AL","real data","real data","real data",2002-08-01,3434
"2704","1ª Macrorregião de Saúde","AL","real data","real data","real data",2002-09-01,3242
"2704","1ª Macrorregião de Saúde","AL","real data","real data","real data",2002-10-01,3325
"2704","1ª Macrorregião de Saúde","AL","real data","real data","real data",2002-11-01,3229
"2704","1ª Macrorregião de Saúde","AL","real data","real data","real data",2002-12-01,3330
"2704","1ª Macrorregião de Saúde","AL","real data","real data","real data",2003-01-01,3563
"2704","1ª Macrorregião de Saúde","AL","real data","real data","real data",2003-02-01,3287
"2704","1ª Macrorregião de Saúde","AL","real data","real data","real data",2003-03-01,3855
"2704","1ª Macrorregião de Saúde","AL","real data","real data","real data",2003-04-01,3678
"2704","1ª Macrorregião de Saúde","AL","real data","real data","real data",2003-05-01,3899
"2704","1ª Macrorregião de Saúde","AL","real data","real data","real data",2003-06-01,3635
"2704","1ª Macrorregião de Saúde","AL","real data","real data","real data",2003-07-01,3628
"2704","1ª Macrorregião de Saúde","AL","real data","real data","real data",2003-08-01,3513
"2704","1ª Macrorregião de Saúde","AL","real data","real data","real data",2003-09-01,3349
"2704","1ª Macrorregião de Saúde","AL","real data","real data","real data",2003-10-01,3204
"2704","1ª Macrorregião de Saúde","AL","real data","real data","real data",2003-11-01,3100
"2704","1ª Macrorregião de Saúde","AL","real data","real data","real data",2003-12-01,2998
"2704","1ª Macrorregião de Saúde","AL","real data","real data","real data",2004-01-01,3190
"2704","1ª Macrorregião de Saúde","AL","real data","real data","real data",2004-02-01,2924
"2704","1ª Macrorregião de Saúde","AL","real data","real data","real data",2004-03-01,3468
"2704","1ª Macrorregião de Saúde","AL","real data","real data","real data",2004-04-01,3547
"2704","1ª Macrorregião de Saúde","AL","real data","real data","real data",2004-05-01,3781
"2704","1ª Macrorregião de Saúde","AL","real data","real data","real data",2004-06-01,3344
"2704","1ª Macrorregião de Saúde","AL","real data","real data","real data",2004-07-01,3475
"2704","1ª Macrorregião de Saúde","AL","real data","real data","real data",2004-08-01,3284
"2704","1ª Macrorregião de Saúde","AL","real data","real data","real data",2004-09-01,3280
"2704","1ª Macrorregião de Saúde","AL","real data","real data","real data",2004-10-01,3135
"2704","1ª Macrorregião de Saúde","AL","real data","real data","real data",2004-11-01,3011
"2704","1ª Macrorregião de Saúde","AL","real data","real data","real data",2004-12-01,2801
"2704","1ª Macrorregião de Saúde","AL","real data","real data","real data",2005-01-01,3018
"2704","1ª Macrorregião de Saúde","AL","real data","real data","real data",2005-02-01,2932
"2704","1ª Macrorregião de Saúde","AL","real data","real data","real data",2005-03-01,3815
"2704","1ª Macrorregião de Saúde","AL","real data","real data","real data",2005-04-01,3563
"2704","1ª Macrorregião de Saúde","AL","real data","real data","real data",2005-05-01,3778
"2704","1ª Macrorregião de Saúde","AL","real data","real data","real data",2005-06-01,3496
"2704","1ª Macrorregião de Saúde","AL","real data","real data","real data",2005-07-01,3598
"2704","1ª Macrorregião de Saúde","AL","real data","real data","real data",2005-08-01,3385
"2704","1ª Macrorregião de Saúde","AL","real data","real data","real data",2005-09-01,3422
"2704","1ª Macrorregião de Saúde","AL","real data","real data","real data",2005-10-01,3229
"2704","1ª Macrorregião de Saúde","AL","real data","real data","real data",2005-11-01,2976
"2704","1ª Macrorregião de Saúde","AL","real data","real data","real data",2005-12-01,2873
"2704","1ª Macrorregião de Saúde","AL","real data","real data","real data",2006-01-01,3075
"2704","1ª Macrorregião de Saúde","AL","real data","real data","real data",2006-02-01,2798
"2704","1ª Macrorregião de Saúde","AL","real data","real data","real data",2006-03-01,3260
"2704","1ª Macrorregião de Saúde","AL","real data","real data","real data",2006-04-01,3106
"2704","1ª Macrorregião de Saúde","AL","real data","real data","real data",2006-05-01,3647
"2704","1ª Macrorregião de Saúde","AL","real data","real data","real data",2006-06-01,3300
"2704","1ª Macrorregião de Saúde","AL","real data","real data","real data",2006-07-01,3243
"2704","1ª Macrorregião de Saúde","AL","real data","real data","real data",2006-08-01,3357
"2704","1ª Macrorregião de Saúde","AL","real data","real data","real data",2006-09-01,3102
"2704","1ª Macrorregião de Saúde","AL","real data","real data","real data",2006-10-01,3136
"2704","1ª Macrorregião de Saúde","AL","real data","real data","real data",2006-11-01,2934
"2704","1ª Macrorregião de Saúde","AL","real data","real data","real data",2006-12-01,2765
"2704","1ª Macrorregião de Saúde","AL","real data","real data","real data",2007-01-01,2835
"2704","1ª Macrorregião de Saúde","AL","real data","real data","real data",2007-02-01,2726
"2704","1ª Macrorregião de Saúde","AL","real data","real data","real data",2007-03-01,3536
"2704","1ª Macrorregião de Saúde","AL","real data","real data","real data",2007-04-01,3334
"2704","1ª Macrorregião de Saúde","AL","real data","real data","real data",2007-05-01,3423
"2704","1ª Macrorregião de Saúde","AL","real data","real data","real data",2007-06-01,3287
"2704","1ª Macrorregião de Saúde","AL","real data","real data","real data",2007-07-01,3347
"2704","1ª Macrorregião de Saúde","AL","real data","real data","real data",2007-08-01,3193
"2704","1ª Macrorregião de Saúde","AL","real data","real data","real data",2007-09-01,2993
"2704","1ª Macrorregião de Saúde","AL","real data","real data","real data",2007-10-01,3179
"2704","1ª Macrorregião de Saúde","AL","real data","real data","real data",2007-11-01,2848
