"mc_region","region_name","state","mape","id","desc","date","qtt"
"2801","Macro Única","SE","real data","real data","real data",2000-01-01,3045
"2801","Macro Única","SE","real data","real data","real data",2000-02-01,3189
"2801","Macro Única","SE","real data","real data","real data",2000-03-01,3648
"2801","Macro Única","SE","real data","real data","real data",2000-04-01,3643
"2801","Macro Única","SE","real data","real data","real data",2000-05-01,4006
"2801","Macro Única","SE","real data","real data","real data",2000-06-01,3732
"2801","Macro Única","SE","real data","real data","real data",2000-07-01,3641
"2801","Macro Única","SE","real data","real data","real data",2000-08-01,3441
"2801","Macro Única","SE","real data","real data","real data",2000-09-01,3296
"2801","Macro Única","SE","real data","real data","real data",2000-10-01,3077
"2801","Macro Única","SE","real data","real data","real data",2000-11-01,2917
"2801","Macro Única","SE","real data","real data","real data",2000-12-01,3077
"2801","Macro Única","SE","real data","real data","real data",2001-01-01,3295
"2801","Macro Única","SE","real data","real data","real data",2001-02-01,3011
"2801","Macro Única","SE","real data","real data","real data",2001-03-01,3532
"2801","Macro Única","SE","real data","real data","real data",2001-04-01,3405
"2801","Macro Única","SE","real data","real data","real data",2001-05-01,3732
"2801","Macro Única","SE","real data","real data","real data",2001-06-01,3564
"2801","Macro Única","SE","real data","real data","real data",2001-07-01,3477
"2801","Macro Única","SE","real data","real data","real data",2001-08-01,3378
"2801","Macro Única","SE","real data","real data","real data",2001-09-01,3304
"2801","Macro Única","SE","real data","real data","real data",2001-10-01,3158
"2801","Macro Única","SE","real data","real data","real data",2001-11-01,2939
"2801","Macro Única","SE","real data","real data","real data",2001-12-01,3038
"2801","Macro Única","SE","real data","real data","real data",2002-01-01,3214
"2801","Macro Única","SE","real data","real data","real data",2002-02-01,2942
"2801","Macro Única","SE","real data","real data","real data",2002-03-01,3466
"2801","Macro Única","SE","real data","real data","real data",2002-04-01,3380
"2801","Macro Única","SE","real data","real data","real data",2002-05-01,3532
"2801","Macro Única","SE","real data","real data","real data",2002-06-01,3231
"2801","Macro Única","SE","real data","real data","real data",2002-07-01,3102
"2801","Macro Única","SE","real data","real data","real data",2002-08-01,2865
"2801","Macro Única","SE","real data","real data","real data",2002-09-01,2896
"2801","Macro Única","SE","real data","real data","real data",2002-10-01,2853
"2801","Macro Única","SE","real data","real data","real data",2002-11-01,2762
"2801","Macro Única","SE","real data","real data","real data",2002-12-01,2837
"2801","Macro Única","SE","real data","real data","real data",2003-01-01,3039
"2801","Macro Única","SE","real data","real data","real data",2003-02-01,2972
"2801","Macro Única","SE","real data","real data","real data",2003-03-01,3431
"2801","Macro Única","SE","real data","real data","real data",2003-04-01,3300
"2801","Macro Única","SE","real data","real data","real data",2003-05-01,3488
"2801","Macro Única","SE","real data","real data","real data",2003-06-01,3245
"2801","Macro Única","SE","real data","real data","real data",2003-07-01,3210
"2801","Macro Única","SE","real data","real data","real data",2003-08-01,3080
"2801","Macro Única","SE","real data","real data","real data",2003-09-01,3016
"2801","Macro Única","SE","real data","real data","real data",2003-10-01,2772
"2801","Macro Única","SE","real data","real data","real data",2003-11-01,2625
"2801","Macro Única","SE","real data","real data","real data",2003-12-01,2706
"2801","Macro Única","SE","real data","real data","real data",2004-01-01,2705
"2801","Macro Única","SE","real data","real data","real data",2004-02-01,2898
"2801","Macro Única","SE","real data","real data","real data",2004-03-01,3388
"2801","Macro Única","SE","real data","real data","real data",2004-04-01,3323
"2801","Macro Única","SE","real data","real data","real data",2004-05-01,3450
"2801","Macro Única","SE","real data","real data","real data",2004-06-01,3167
"2801","Macro Única","SE","real data","real data","real data",2004-07-01,3103
"2801","Macro Única","SE","real data","real data","real data",2004-08-01,2981
"2801","Macro Única","SE","real data","real data","real data",2004-09-01,2884
"2801","Macro Única","SE","real data","real data","real data",2004-10-01,2880
"2801","Macro Única","SE","real data","real data","real data",2004-11-01,2603
"2801","Macro Única","SE","real data","real data","real data",2004-12-01,2444
"2801","Macro Única","SE","real data","real data","real data",2005-01-01,2846
"2801","Macro Única","SE","real data","real data","real data",2005-02-01,2867
"2801","Macro Única","SE","real data","real data","real data",2005-03-01,3433
"2801","Macro Única","SE","real data","real data","real data",2005-04-01,3348
"2801","Macro Única","SE","real data","real data","real data",2005-05-01,3676
"2801","Macro Única","SE","real data","real data","real data",2005-06-01,3356
"2801","Macro Única","SE","real data","real data","real data",2005-07-01,3253
"2801","Macro Única","SE","real data","real data","real data",2005-08-01,3052
"2801","Macro Única","SE","real data","real data","real data",2005-09-01,3095
"2801","Macro Única","SE","real data","real data","real data",2005-10-01,2993
"2801","Macro Única","SE","real data","real data","real data",2005-11-01,2720
"2801","Macro Única","SE","real data","real data","real data",2005-12-01,2731
"2801","Macro Única","SE","real data","real data","real data",2006-01-01,2768
"2801","Macro Única","SE","real data","real data","real data",2006-02-01,2726
"2801","Macro Única","SE","real data","real data","real data",2006-03-01,3442
"2801","Macro Única","SE","real data","real data","real data",2006-04-01,3401
"2801","Macro Única","SE","real data","real data","real data",2006-05-01,3600
"2801","Macro Única","SE","real data","real data","real data",2006-06-01,3239
"2801","Macro Única","SE","real data","real data","real data",2006-07-01,3109
"2801","Macro Única","SE","real data","real data","real data",2006-08-01,3159
"2801","Macro Única","SE","real data","real data","real data",2006-09-01,3023
"2801","Macro Única","SE","real data","real data","real data",2006-10-01,3041
"2801","Macro Única","SE","real data","real data","real data",2006-11-01,2843
"2801","Macro Única","SE","real data","real data","real data",2006-12-01,2710
"2801","Macro Única","SE","real data","real data","real data",2007-01-01,2799
"2801","Macro Única","SE","real data","real data","real data",2007-02-01,2808
"2801","Macro Única","SE","real data","real data","real data",2007-03-01,3584
"2801","Macro Única","SE","real data","real data","real data",2007-04-01,3317
"2801","Macro Única","SE","real data","real data","real data",2007-05-01,3329
"2801","Macro Única","SE","real data","real data","real data",2007-06-01,3236
"2801","Macro Única","SE","real data","real data","real data",2007-07-01,3074
"2801","Macro Única","SE","real data","real data","real data",2007-08-01,2964
"2801","Macro Única","SE","real data","real data","real data",2007-09-01,2719
"2801","Macro Única","SE","real data","real data","real data",2007-10-01,2644
"2801","Macro Única","SE","real data","real data","real data",2007-11-01,2565
"2801","Macro Única","SE","real data","real data","real data",2007-12-01,2762
"2801","Macro Única","SE","real data","real data","real data",2008-01-01,2770
"2801","Macro Única","SE","real data","real data","real data",2008-02-01,2730
"2801","Macro Única","SE","real data","real data","real data",2008-03-01,3305
"2801","Macro Única","SE","real data","real data","real data",2008-04-01,3218
"2801","Macro Única","SE","real data","real data","real data",2008-05-01,3459
"2801","Macro Única","SE","real data","real data","real data",2008-06-01,3225
"2801","Macro Única","SE","real data","real data","real data",2008-07-01,3318
"2801","Macro Única","SE","real data","real data","real data",2008-08-01,3058
"2801","Macro Única","SE","real data","real data","real data",2008-09-01,3017
"2801","Macro Única","SE","real data","real data","real data",2008-10-01,3010
"2801","Macro Única","SE","real data","real data","real data",2008-11-01,2809
"2801","Macro Única","SE","real data","real data","real data",2008-12-01,2714
"2801","Macro Única","SE","real data","real data","real data",2009-01-01,2748
"2801","Macro Única","SE","real data","real data","real data",2009-02-01,2649
"2801","Macro Única","SE","real data","real data","real data",2009-03-01,3531
"2801","Macro Única","SE","real data","real data","real data",2009-04-01,3340
"2801","Macro Única","SE","real data","real data","real data",2009-05-01,3355
"2801","Macro Única","SE","real data","real data","real data",2009-06-01,3024
"2801","Macro Única","SE","real data","real data","real data",2009-07-01,2945
"2801","Macro Única","SE","real data","real data","real data",2009-08-01,2857
"2801","Macro Única","SE","real data","real data","real data",2009-09-01,2775
"2801","Macro Única","SE","real data","real data","real data",2009-10-01,2752
"2801","Macro Única","SE","real data","real data","real data",2009-11-01,2566
"2801","Macro Única","SE","real data","real data","real data",2009-12-01,2567
"2801","Macro Única","SE","real data","real data","real data",2010-01-01,2559
"2801","Macro Única","SE","real data","real data","real data",2010-02-01,2622
"2801","Macro Única","SE","real data","real data","real data",2010-03-01,3269
"2801","Macro Única","SE","real data","real data","real data",2010-04-01,3097
"2801","Macro Única","SE","real data","real data","real data",2010-05-01,3159
"2801","Macro Única","SE","real data","real data","real data",2010-06-01,2970
"2801","Macro Única","SE","real data","real data","real data",2010-07-01,2893
"2801","Macro Única","SE","real data","real data","real data",2010-08-01,2816
"2801","Macro Única","SE","real data","real data","real data",2010-09-01,2819
"2801","Macro Única","SE","real data","real data","real data",2010-10-01,2697
"2801","Macro Única","SE","real data","real data","real data",2010-11-01,2572
"2801","Macro Única","SE","real data","real data","real data",2010-12-01,2543
"2801","Macro Única","SE","real data","real data","real data",2011-01-01,2615
"2801","Macro Única","SE","real data","real data","real data",2011-02-01,2544
"2801","Macro Única","SE","real data","real data","real data",2011-03-01,3171
"2801","Macro Única","SE","real data","real data","real data",2011-04-01,3084
"2801","Macro Única","SE","real data","real data","real data",2011-05-01,3440
"2801","Macro Única","SE","real data","real data","real data",2011-06-01,3267
"2801","Macro Única","SE","real data","real data","real data",2011-07-01,3017
"2801","Macro Única","SE","real data","real data","real data",2011-08-01,2871
"2801","Macro Única","SE","real data","real data","real data",2011-09-01,2788
"2801","Macro Única","SE","real data","real data","real data",2011-10-01,2762
"2801","Macro Única","SE","real data","real data","real data",2011-11-01,2738
"2801","Macro Única","SE","real data","real data","real data",2011-12-01,2628
"2801","Macro Única","SE","real data","real data","real data",2012-01-01,2611
"2801","Macro Única","SE","real data","real data","real data",2012-02-01,2830
"2801","Macro Única","SE","real data","real data","real data",2012-03-01,3177
"2801","Macro Única","SE","real data","real data","real data",2012-04-01,3046
"2801","Macro Única","SE","real data","real data","real data",2012-05-01,3197
"2801","Macro Única","SE","real data","real data","real data",2012-06-01,2888
"2801","Macro Única","SE","real data","real data","real data",2012-07-01,2894
"2801","Macro Única","SE","real data","real data","real data",2012-08-01,2719
"2801","Macro Única","SE","real data","real data","real data",2012-09-01,2604
"2801","Macro Única","SE","real data","real data","real data",2012-10-01,2749
"2801","Macro Única","SE","real data","real data","real data",2012-11-01,2717
"2801","Macro Única","SE","real data","real data","real data",2012-12-01,2676
"2801","Macro Única","SE","real data","real data","real data",2013-01-01,2878
"2801","Macro Única","SE","real data","real data","real data",2013-02-01,2619
"2801","Macro Única","SE","real data","real data","real data",2013-03-01,2938
"2801","Macro Única","SE","real data","real data","real data",2013-04-01,3091
"2801","Macro Única","SE","real data","real data","real data",2013-05-01,3193
"2801","Macro Única","SE","real data","real data","real data",2013-06-01,2962
"2801","Macro Única","SE","real data","real data","real data",2013-07-01,2990
"2801","Macro Única","SE","real data","real data","real data",2013-08-01,2842
"2801","Macro Única","SE","real data","real data","real data",2013-09-01,2803
"2801","Macro Única","SE","real data","real data","real data",2013-10-01,2648
"2801","Macro Única","SE","real data","real data","real data",2013-11-01,2556
"2801","Macro Única","SE","real data","real data","real data",2013-12-01,2706
"2801","Macro Única","SE","real data","real data","real data",2014-01-01,2733
"2801","Macro Única","SE","real data","real data","real data",2014-02-01,2655
"2801","Macro Única","SE","real data","real data","real data",2014-03-01,2990
"2801","Macro Única","SE","real data","real data","real data",2014-04-01,2999
"2801","Macro Única","SE","real data","real data","real data",2014-05-01,3223
"2801","Macro Única","SE","real data","real data","real data",2014-06-01,2993
"2801","Macro Única","SE","real data","real data","real data",2014-07-01,3013
"2801","Macro Única","SE","real data","real data","real data",2014-08-01,2956
"2801","Macro Única","SE","real data","real data","real data",2014-09-01,2807
"2801","Macro Única","SE","real data","real data","real data",2014-10-01,2649
"2801","Macro Única","SE","real data","real data","real data",2014-11-01,2752
