"mc_region","region_name","state","mape","id","desc","date","qtt"
"2910","Sul (NBS - Ilhéus)","BA","real data","real data","real data",2000-01-01,2357
"2910","Sul (NBS - Ilhéus)","BA","real data","real data","real data",2000-02-01,2516
"2910","Sul (NBS - Ilhéus)","BA","real data","real data","real data",2000-03-01,2850
"2910","Sul (NBS - Ilhéus)","BA","real data","real data","real data",2000-04-01,2460
"2910","Sul (NBS - Ilhéus)","BA","real data","real data","real data",2000-05-01,2739
"2910","Sul (NBS - Ilhéus)","BA","real data","real data","real data",2000-06-01,2788
"2910","Sul (NBS - Ilhéus)","BA","real data","real data","real data",2000-07-01,2636
"2910","Sul (NBS - Ilhéus)","BA","real data","real data","real data",2000-08-01,2637
"2910","Sul (NBS - Ilhéus)","BA","real data","real data","real data",2000-09-01,2511
"2910","Sul (NBS - Ilhéus)","BA","real data","real data","real data",2000-10-01,2435
"2910","Sul (NBS - Ilhéus)","BA","real data","real data","real data",2000-11-01,2149
"2910","Sul (NBS - Ilhéus)","BA","real data","real data","real data",2000-12-01,2184
"2910","Sul (NBS - Ilhéus)","BA","real data","real data","real data",2001-01-01,2588
"2910","Sul (NBS - Ilhéus)","BA","real data","real data","real data",2001-02-01,2357
"2910","Sul (NBS - Ilhéus)","BA","real data","real data","real data",2001-03-01,2938
"2910","Sul (NBS - Ilhéus)","BA","real data","real data","real data",2001-04-01,2661
"2910","Sul (NBS - Ilhéus)","BA","real data","real data","real data",2001-05-01,2701
"2910","Sul (NBS - Ilhéus)","BA","real data","real data","real data",2001-06-01,2643
"2910","Sul (NBS - Ilhéus)","BA","real data","real data","real data",2001-07-01,2605
"2910","Sul (NBS - Ilhéus)","BA","real data","real data","real data",2001-08-01,2463
"2910","Sul (NBS - Ilhéus)","BA","real data","real data","real data",2001-09-01,2444
"2910","Sul (NBS - Ilhéus)","BA","real data","real data","real data",2001-10-01,2439
"2910","Sul (NBS - Ilhéus)","BA","real data","real data","real data",2001-11-01,2350
"2910","Sul (NBS - Ilhéus)","BA","real data","real data","real data",2001-12-01,2283
"2910","Sul (NBS - Ilhéus)","BA","real data","real data","real data",2002-01-01,2445
"2910","Sul (NBS - Ilhéus)","BA","real data","real data","real data",2002-02-01,2372
"2910","Sul (NBS - Ilhéus)","BA","real data","real data","real data",2002-03-01,2788
"2910","Sul (NBS - Ilhéus)","BA","real data","real data","real data",2002-04-01,2652
"2910","Sul (NBS - Ilhéus)","BA","real data","real data","real data",2002-05-01,2751
"2910","Sul (NBS - Ilhéus)","BA","real data","real data","real data",2002-06-01,2580
"2910","Sul (NBS - Ilhéus)","BA","real data","real data","real data",2002-07-01,2642
"2910","Sul (NBS - Ilhéus)","BA","real data","real data","real data",2002-08-01,2512
"2910","Sul (NBS - Ilhéus)","BA","real data","real data","real data",2002-09-01,2500
"2910","Sul (NBS - Ilhéus)","BA","real data","real data","real data",2002-10-01,2376
"2910","Sul (NBS - Ilhéus)","BA","real data","real data","real data",2002-11-01,2296
"2910","Sul (NBS - Ilhéus)","BA","real data","real data","real data",2002-12-01,2332
"2910","Sul (NBS - Ilhéus)","BA","real data","real data","real data",2003-01-01,2510
"2910","Sul (NBS - Ilhéus)","BA","real data","real data","real data",2003-02-01,2357
"2910","Sul (NBS - Ilhéus)","BA","real data","real data","real data",2003-03-01,2934
"2910","Sul (NBS - Ilhéus)","BA","real data","real data","real data",2003-04-01,2643
"2910","Sul (NBS - Ilhéus)","BA","real data","real data","real data",2003-05-01,2741
"2910","Sul (NBS - Ilhéus)","BA","real data","real data","real data",2003-06-01,2638
"2910","Sul (NBS - Ilhéus)","BA","real data","real data","real data",2003-07-01,2626
"2910","Sul (NBS - Ilhéus)","BA","real data","real data","real data",2003-08-01,2437
"2910","Sul (NBS - Ilhéus)","BA","real data","real data","real data",2003-09-01,2462
"2910","Sul (NBS - Ilhéus)","BA","real data","real data","real data",2003-10-01,2380
"2910","Sul (NBS - Ilhéus)","BA","real data","real data","real data",2003-11-01,2277
"2910","Sul (NBS - Ilhéus)","BA","real data","real data","real data",2003-12-01,2241
"2910","Sul (NBS - Ilhéus)","BA","real data","real data","real data",2004-01-01,2305
"2910","Sul (NBS - Ilhéus)","BA","real data","real data","real data",2004-02-01,2429
"2910","Sul (NBS - Ilhéus)","BA","real data","real data","real data",2004-03-01,2983
"2910","Sul (NBS - Ilhéus)","BA","real data","real data","real data",2004-04-01,2815
"2910","Sul (NBS - Ilhéus)","BA","real data","real data","real data",2004-05-01,2771
"2910","Sul (NBS - Ilhéus)","BA","real data","real data","real data",2004-06-01,2595
"2910","Sul (NBS - Ilhéus)","BA","real data","real data","real data",2004-07-01,2694
"2910","Sul (NBS - Ilhéus)","BA","real data","real data","real data",2004-08-01,2560
"2910","Sul (NBS - Ilhéus)","BA","real data","real data","real data",2004-09-01,2505
"2910","Sul (NBS - Ilhéus)","BA","real data","real data","real data",2004-10-01,2400
"2910","Sul (NBS - Ilhéus)","BA","real data","real data","real data",2004-11-01,2293
"2910","Sul (NBS - Ilhéus)","BA","real data","real data","real data",2004-12-01,2210
"2910","Sul (NBS - Ilhéus)","BA","real data","real data","real data",2005-01-01,2274
"2910","Sul (NBS - Ilhéus)","BA","real data","real data","real data",2005-02-01,2153
"2910","Sul (NBS - Ilhéus)","BA","real data","real data","real data",2005-03-01,2845
"2910","Sul (NBS - Ilhéus)","BA","real data","real data","real data",2005-04-01,2656
"2910","Sul (NBS - Ilhéus)","BA","real data","real data","real data",2005-05-01,2837
"2910","Sul (NBS - Ilhéus)","BA","real data","real data","real data",2005-06-01,2691
