"mc_region","region_name","state","mape","id","desc","date","qtt"
"2912","Oeste (NBS - Barreiras)","BA","real data","real data","real data",2000-01-01,1116
"2912","Oeste (NBS - Barreiras)","BA","real data","real data","real data",2000-02-01,1226
"2912","Oeste (NBS - Barreiras)","BA","real data","real data","real data",2000-03-01,1293
"2912","Oeste (NBS - Barreiras)","BA","real data","real data","real data",2000-04-01,1209
"2912","Oeste (NBS - Barreiras)","BA","real data","real data","real data",2000-05-01,1340
"2912","Oeste (NBS - Barreiras)","BA","real data","real data","real data",2000-06-01,1207
"2912","Oeste (NBS - Barreiras)","BA","real data","real data","real data",2000-07-01,1134
"2912","Oeste (NBS - Barreiras)","BA","real data","real data","real data",2000-08-01,1259
"2912","Oeste (NBS - Barreiras)","BA","real data","real data","real data",2000-09-01,1329
"2912","Oeste (NBS - Barreiras)","BA","real data","real data","real data",2000-10-01,1199
"2912","Oeste (NBS - Barreiras)","BA","real data","real data","real data",2000-11-01,955
"2912","Oeste (NBS - Barreiras)","BA","real data","real data","real data",2000-12-01,916
"2912","Oeste (NBS - Barreiras)","BA","real data","real data","real data",2001-01-01,1049
"2912","Oeste (NBS - Barreiras)","BA","real data","real data","real data",2001-02-01,917
"2912","Oeste (NBS - Barreiras)","BA","real data","real data","real data",2001-03-01,1239
"2912","Oeste (NBS - Barreiras)","BA","real data","real data","real data",2001-04-01,1200
"2912","Oeste (NBS - Barreiras)","BA","real data","real data","real data",2001-05-01,1201
"2912","Oeste (NBS - Barreiras)","BA","real data","real data","real data",2001-06-01,1134
"2912","Oeste (NBS - Barreiras)","BA","real data","real data","real data",2001-07-01,1134
"2912","Oeste (NBS - Barreiras)","BA","real data","real data","real data",2001-08-01,1184
"2912","Oeste (NBS - Barreiras)","BA","real data","real data","real data",2001-09-01,1249
"2912","Oeste (NBS - Barreiras)","BA","real data","real data","real data",2001-10-01,1155
"2912","Oeste (NBS - Barreiras)","BA","real data","real data","real data",2001-11-01,1073
"2912","Oeste (NBS - Barreiras)","BA","real data","real data","real data",2001-12-01,1036
"2912","Oeste (NBS - Barreiras)","BA","real data","real data","real data",2002-01-01,1232
"2912","Oeste (NBS - Barreiras)","BA","real data","real data","real data",2002-02-01,1073
