"mc_region","region_name","state","mape","id","desc","date","qtt"
"2917","Centro-Leste (NRS - Feira Santana)","BA","real data","real data","real data",2000-01-01,3042
"2917","Centro-Leste (NRS - Feira Santana)","BA","real data","real data","real data",2000-02-01,2840
"2917","Centro-Leste (NRS - Feira Santana)","BA","real data","real data","real data",2000-03-01,3392
"2917","Centro-Leste (NRS - Feira Santana)","BA","real data","real data","real data",2000-04-01,3111
"2917","Centro-Leste (NRS - Feira Santana)","BA","real data","real data","real data",2000-05-01,3563
"2917","Centro-Leste (NRS - Feira Santana)","BA","real data","real data","real data",2000-06-01,3179
"2917","Centro-Leste (NRS - Feira Santana)","BA","real data","real data","real data",2000-07-01,3066
"2917","Centro-Leste (NRS - Feira Santana)","BA","real data","real data","real data",2000-08-01,2888
"2917","Centro-Leste (NRS - Feira Santana)","BA","real data","real data","real data",2000-09-01,2853
"2917","Centro-Leste (NRS - Feira Santana)","BA","real data","real data","real data",2000-10-01,2953
"2917","Centro-Leste (NRS - Feira Santana)","BA","real data","real data","real data",2000-11-01,2471
"2917","Centro-Leste (NRS - Feira Santana)","BA","real data","real data","real data",2000-12-01,2524
"2917","Centro-Leste (NRS - Feira Santana)","BA","real data","real data","real data",2001-01-01,3123
"2917","Centro-Leste (NRS - Feira Santana)","BA","real data","real data","real data",2001-02-01,2690
"2917","Centro-Leste (NRS - Feira Santana)","BA","real data","real data","real data",2001-03-01,3189
"2917","Centro-Leste (NRS - Feira Santana)","BA","real data","real data","real data",2001-04-01,3051
"2917","Centro-Leste (NRS - Feira Santana)","BA","real data","real data","real data",2001-05-01,3387
"2917","Centro-Leste (NRS - Feira Santana)","BA","real data","real data","real data",2001-06-01,3268
"2917","Centro-Leste (NRS - Feira Santana)","BA","real data","real data","real data",2001-07-01,3127
"2917","Centro-Leste (NRS - Feira Santana)","BA","real data","real data","real data",2001-08-01,3133
"2917","Centro-Leste (NRS - Feira Santana)","BA","real data","real data","real data",2001-09-01,2823
"2917","Centro-Leste (NRS - Feira Santana)","BA","real data","real data","real data",2001-10-01,2954
"2917","Centro-Leste (NRS - Feira Santana)","BA","real data","real data","real data",2001-11-01,2863
"2917","Centro-Leste (NRS - Feira Santana)","BA","real data","real data","real data",2001-12-01,2874
"2917","Centro-Leste (NRS - Feira Santana)","BA","real data","real data","real data",2002-01-01,3026
"2917","Centro-Leste (NRS - Feira Santana)","BA","real data","real data","real data",2002-02-01,2939
"2917","Centro-Leste (NRS - Feira Santana)","BA","real data","real data","real data",2002-03-01,3497
"2917","Centro-Leste (NRS - Feira Santana)","BA","real data","real data","real data",2002-04-01,3409
"2917","Centro-Leste (NRS - Feira Santana)","BA","real data","real data","real data",2002-05-01,3137
"2917","Centro-Leste (NRS - Feira Santana)","BA","real data","real data","real data",2002-06-01,3108
"2917","Centro-Leste (NRS - Feira Santana)","BA","real data","real data","real data",2002-07-01,3237
"2917","Centro-Leste (NRS - Feira Santana)","BA","real data","real data","real data",2002-08-01,2904
"2917","Centro-Leste (NRS - Feira Santana)","BA","real data","real data","real data",2002-09-01,2542
"2917","Centro-Leste (NRS - Feira Santana)","BA","real data","real data","real data",2002-10-01,2514
"2917","Centro-Leste (NRS - Feira Santana)","BA","real data","real data","real data",2002-11-01,2343
"2917","Centro-Leste (NRS - Feira Santana)","BA","real data","real data","real data",2002-12-01,2716
"2917","Centro-Leste (NRS - Feira Santana)","BA","real data","real data","real data",2003-01-01,2999
"2917","Centro-Leste (NRS - Feira Santana)","BA","real data","real data","real data",2003-02-01,2810
"2917","Centro-Leste (NRS - Feira Santana)","BA","real data","real data","real data",2003-03-01,3592
"2917","Centro-Leste (NRS - Feira Santana)","BA","real data","real data","real data",2003-04-01,3221
"2917","Centro-Leste (NRS - Feira Santana)","BA","real data","real data","real data",2003-05-01,3280
"2917","Centro-Leste (NRS - Feira Santana)","BA","real data","real data","real data",2003-06-01,3111
"2917","Centro-Leste (NRS - Feira Santana)","BA","real data","real data","real data",2003-07-01,2988
"2917","Centro-Leste (NRS - Feira Santana)","BA","real data","real data","real data",2003-08-01,2904
"2917","Centro-Leste (NRS - Feira Santana)","BA","real data","real data","real data",2003-09-01,2977
"2917","Centro-Leste (NRS - Feira Santana)","BA","real data","real data","real data",2003-10-01,2778
"2917","Centro-Leste (NRS - Feira Santana)","BA","real data","real data","real data",2003-11-01,2503
"2917","Centro-Leste (NRS - Feira Santana)","BA","real data","real data","real data",2003-12-01,2520
"2917","Centro-Leste (NRS - Feira Santana)","BA","real data","real data","real data",2004-01-01,2787
"2917","Centro-Leste (NRS - Feira Santana)","BA","real data","real data","real data",2004-02-01,2990
"2917","Centro-Leste (NRS - Feira Santana)","BA","real data","real data","real data",2004-03-01,3355
"2917","Centro-Leste (NRS - Feira Santana)","BA","real data","real data","real data",2004-04-01,3352
"2917","Centro-Leste (NRS - Feira Santana)","BA","real data","real data","real data",2004-05-01,3247
"2917","Centro-Leste (NRS - Feira Santana)","BA","real data","real data","real data",2004-06-01,3059
"2917","Centro-Leste (NRS - Feira Santana)","BA","real data","real data","real data",2004-07-01,2942
"2917","Centro-Leste (NRS - Feira Santana)","BA","real data","real data","real data",2004-08-01,2824
"2917","Centro-Leste (NRS - Feira Santana)","BA","real data","real data","real data",2004-09-01,2825
"2917","Centro-Leste (NRS - Feira Santana)","BA","real data","real data","real data",2004-10-01,2732
"2917","Centro-Leste (NRS - Feira Santana)","BA","real data","real data","real data",2004-11-01,2357
"2917","Centro-Leste (NRS - Feira Santana)","BA","real data","real data","real data",2004-12-01,2481
"2917","Centro-Leste (NRS - Feira Santana)","BA","real data","real data","real data",2005-01-01,2844
"2917","Centro-Leste (NRS - Feira Santana)","BA","real data","real data","real data",2005-02-01,2734
"2917","Centro-Leste (NRS - Feira Santana)","BA","real data","real data","real data",2005-03-01,3418
"2917","Centro-Leste (NRS - Feira Santana)","BA","real data","real data","real data",2005-04-01,3041
"2917","Centro-Leste (NRS - Feira Santana)","BA","real data","real data","real data",2005-05-01,3291
"2917","Centro-Leste (NRS - Feira Santana)","BA","real data","real data","real data",2005-06-01,3033
"2917","Centro-Leste (NRS - Feira Santana)","BA","real data","real data","real data",2005-07-01,2782
"2917","Centro-Leste (NRS - Feira Santana)","BA","real data","real data","real data",2005-08-01,2636
"2917","Centro-Leste (NRS - Feira Santana)","BA","real data","real data","real data",2005-09-01,2615
"2917","Centro-Leste (NRS - Feira Santana)","BA","real data","real data","real data",2005-10-01,2446
"2917","Centro-Leste (NRS - Feira Santana)","BA","real data","real data","real data",2005-11-01,2123
"2917","Centro-Leste (NRS - Feira Santana)","BA","real data","real data","real data",2005-12-01,1928
"2917","Centro-Leste (NRS - Feira Santana)","BA","real data","real data","real data",2006-01-01,2290
"2917","Centro-Leste (NRS - Feira Santana)","BA","real data","real data","real data",2006-02-01,2383
"2917","Centro-Leste (NRS - Feira Santana)","BA","real data","real data","real data",2006-03-01,3028
"2917","Centro-Leste (NRS - Feira Santana)","BA","real data","real data","real data",2006-04-01,2733
"2917","Centro-Leste (NRS - Feira Santana)","BA","real data","real data","real data",2006-05-01,3083
"2917","Centro-Leste (NRS - Feira Santana)","BA","real data","real data","real data",2006-06-01,2773
"2917","Centro-Leste (NRS - Feira Santana)","BA","real data","real data","real data",2006-07-01,2605
"2917","Centro-Leste (NRS - Feira Santana)","BA","real data","real data","real data",2006-08-01,2558
"2917","Centro-Leste (NRS - Feira Santana)","BA","real data","real data","real data",2006-09-01,2531
"2917","Centro-Leste (NRS - Feira Santana)","BA","real data","real data","real data",2006-10-01,2493
"2917","Centro-Leste (NRS - Feira Santana)","BA","real data","real data","real data",2006-11-01,2321
"2917","Centro-Leste (NRS - Feira Santana)","BA","real data","real data","real data",2006-12-01,2212
"2917","Centro-Leste (NRS - Feira Santana)","BA","real data","real data","real data",2007-01-01,2496
"2917","Centro-Leste (NRS - Feira Santana)","BA","real data","real data","real data",2007-02-01,2403
"2917","Centro-Leste (NRS - Feira Santana)","BA","real data","real data","real data",2007-03-01,3193
