"mc_region","region_name","state","mape","id","desc","date","qtt"
"2918","Centro - Norte (NRS - Jacobina)","BA","real data","real data","real data",2000-01-01,1249
"2918","Centro - Norte (NRS - Jacobina)","BA","real data","real data","real data",2000-02-01,1264
"2918","Centro - Norte (NRS - Jacobina)","BA","real data","real data","real data",2000-03-01,1367
"2918","Centro - Norte (NRS - Jacobina)","BA","real data","real data","real data",2000-04-01,1218
"2918","Centro - Norte (NRS - Jacobina)","BA","real data","real data","real data",2000-05-01,1308
"2918","Centro - Norte (NRS - Jacobina)","BA","real data","real data","real data",2000-06-01,1320
"2918","Centro - Norte (NRS - Jacobina)","BA","real data","real data","real data",2000-07-01,1309
"2918","Centro - Norte (NRS - Jacobina)","BA","real data","real data","real data",2000-08-01,1283
"2918","Centro - Norte (NRS - Jacobina)","BA","real data","real data","real data",2000-09-01,1250
"2918","Centro - Norte (NRS - Jacobina)","BA","real data","real data","real data",2000-10-01,1305
"2918","Centro - Norte (NRS - Jacobina)","BA","real data","real data","real data",2000-11-01,1213
"2918","Centro - Norte (NRS - Jacobina)","BA","real data","real data","real data",2000-12-01,1176
"2918","Centro - Norte (NRS - Jacobina)","BA","real data","real data","real data",2001-01-01,1249
"2918","Centro - Norte (NRS - Jacobina)","BA","real data","real data","real data",2001-02-01,1104
"2918","Centro - Norte (NRS - Jacobina)","BA","real data","real data","real data",2001-03-01,1304
"2918","Centro - Norte (NRS - Jacobina)","BA","real data","real data","real data",2001-04-01,1220
"2918","Centro - Norte (NRS - Jacobina)","BA","real data","real data","real data",2001-05-01,1352
"2918","Centro - Norte (NRS - Jacobina)","BA","real data","real data","real data",2001-06-01,1365
"2918","Centro - Norte (NRS - Jacobina)","BA","real data","real data","real data",2001-07-01,1244
"2918","Centro - Norte (NRS - Jacobina)","BA","real data","real data","real data",2001-08-01,1149
"2918","Centro - Norte (NRS - Jacobina)","BA","real data","real data","real data",2001-09-01,1190
"2918","Centro - Norte (NRS - Jacobina)","BA","real data","real data","real data",2001-10-01,1160
"2918","Centro - Norte (NRS - Jacobina)","BA","real data","real data","real data",2001-11-01,1192
"2918","Centro - Norte (NRS - Jacobina)","BA","real data","real data","real data",2001-12-01,1157
"2918","Centro - Norte (NRS - Jacobina)","BA","real data","real data","real data",2002-01-01,1259
"2918","Centro - Norte (NRS - Jacobina)","BA","real data","real data","real data",2002-02-01,1102
"2918","Centro - Norte (NRS - Jacobina)","BA","real data","real data","real data",2002-03-01,1319
"2918","Centro - Norte (NRS - Jacobina)","BA","real data","real data","real data",2002-04-01,1229
"2918","Centro - Norte (NRS - Jacobina)","BA","real data","real data","real data",2002-05-01,1336
"2918","Centro - Norte (NRS - Jacobina)","BA","real data","real data","real data",2002-06-01,1220
"2918","Centro - Norte (NRS - Jacobina)","BA","real data","real data","real data",2002-07-01,1241
"2918","Centro - Norte (NRS - Jacobina)","BA","real data","real data","real data",2002-08-01,1292
"2918","Centro - Norte (NRS - Jacobina)","BA","real data","real data","real data",2002-09-01,1267
"2918","Centro - Norte (NRS - Jacobina)","BA","real data","real data","real data",2002-10-01,1306
"2918","Centro - Norte (NRS - Jacobina)","BA","real data","real data","real data",2002-11-01,1252
"2918","Centro - Norte (NRS - Jacobina)","BA","real data","real data","real data",2002-12-01,1311
"2918","Centro - Norte (NRS - Jacobina)","BA","real data","real data","real data",2003-01-01,1298
"2918","Centro - Norte (NRS - Jacobina)","BA","real data","real data","real data",2003-02-01,1130
"2918","Centro - Norte (NRS - Jacobina)","BA","real data","real data","real data",2003-03-01,1385
"2918","Centro - Norte (NRS - Jacobina)","BA","real data","real data","real data",2003-04-01,1293
"2918","Centro - Norte (NRS - Jacobina)","BA","real data","real data","real data",2003-05-01,1283
"2918","Centro - Norte (NRS - Jacobina)","BA","real data","real data","real data",2003-06-01,1334
"2918","Centro - Norte (NRS - Jacobina)","BA","real data","real data","real data",2003-07-01,1297
"2918","Centro - Norte (NRS - Jacobina)","BA","real data","real data","real data",2003-08-01,1359
"2918","Centro - Norte (NRS - Jacobina)","BA","real data","real data","real data",2003-09-01,1277
"2918","Centro - Norte (NRS - Jacobina)","BA","real data","real data","real data",2003-10-01,1193
"2918","Centro - Norte (NRS - Jacobina)","BA","real data","real data","real data",2003-11-01,1233
"2918","Centro - Norte (NRS - Jacobina)","BA","real data","real data","real data",2003-12-01,1172
"2918","Centro - Norte (NRS - Jacobina)","BA","real data","real data","real data",2004-01-01,1242
"2918","Centro - Norte (NRS - Jacobina)","BA","real data","real data","real data",2004-02-01,1113
"2918","Centro - Norte (NRS - Jacobina)","BA","real data","real data","real data",2004-03-01,1381
"2918","Centro - Norte (NRS - Jacobina)","BA","real data","real data","real data",2004-04-01,1329
"2918","Centro - Norte (NRS - Jacobina)","BA","real data","real data","real data",2004-05-01,1324
"2918","Centro - Norte (NRS - Jacobina)","BA","real data","real data","real data",2004-06-01,1263
"2918","Centro - Norte (NRS - Jacobina)","BA","real data","real data","real data",2004-07-01,1263
"2918","Centro - Norte (NRS - Jacobina)","BA","real data","real data","real data",2004-08-01,1295
"2918","Centro - Norte (NRS - Jacobina)","BA","real data","real data","real data",2004-09-01,1207
"2918","Centro - Norte (NRS - Jacobina)","BA","real data","real data","real data",2004-10-01,1178
"2918","Centro - Norte (NRS - Jacobina)","BA","real data","real data","real data",2004-11-01,1187
"2918","Centro - Norte (NRS - Jacobina)","BA","real data","real data","real data",2004-12-01,1125
"2918","Centro - Norte (NRS - Jacobina)","BA","real data","real data","real data",2005-01-01,1135
"2918","Centro - Norte (NRS - Jacobina)","BA","real data","real data","real data",2005-02-01,1176
"2918","Centro - Norte (NRS - Jacobina)","BA","real data","real data","real data",2005-03-01,1419
"2918","Centro - Norte (NRS - Jacobina)","BA","real data","real data","real data",2005-04-01,1319
"2918","Centro - Norte (NRS - Jacobina)","BA","real data","real data","real data",2005-05-01,1396
"2918","Centro - Norte (NRS - Jacobina)","BA","real data","real data","real data",2005-06-01,1296
"2918","Centro - Norte (NRS - Jacobina)","BA","real data","real data","real data",2005-07-01,1169
"2918","Centro - Norte (NRS - Jacobina)","BA","real data","real data","real data",2005-08-01,1243
"2918","Centro - Norte (NRS - Jacobina)","BA","real data","real data","real data",2005-09-01,1275
"2918","Centro - Norte (NRS - Jacobina)","BA","real data","real data","real data",2005-10-01,1129
"2918","Centro - Norte (NRS - Jacobina)","BA","real data","real data","real data",2005-11-01,1098
"2918","Centro - Norte (NRS - Jacobina)","BA","real data","real data","real data",2005-12-01,1027
"2918","Centro - Norte (NRS - Jacobina)","BA","real data","real data","real data",2006-01-01,1054
"2918","Centro - Norte (NRS - Jacobina)","BA","real data","real data","real data",2006-02-01,1016
"2918","Centro - Norte (NRS - Jacobina)","BA","real data","real data","real data",2006-03-01,1252
"2918","Centro - Norte (NRS - Jacobina)","BA","real data","real data","real data",2006-04-01,1144
"2918","Centro - Norte (NRS - Jacobina)","BA","real data","real data","real data",2006-05-01,1266
"2918","Centro - Norte (NRS - Jacobina)","BA","real data","real data","real data",2006-06-01,1164
"2918","Centro - Norte (NRS - Jacobina)","BA","real data","real data","real data",2006-07-01,952
"2918","Centro - Norte (NRS - Jacobina)","BA","real data","real data","real data",2006-08-01,1012
"2918","Centro - Norte (NRS - Jacobina)","BA","real data","real data","real data",2006-09-01,1122
"2918","Centro - Norte (NRS - Jacobina)","BA","real data","real data","real data",2006-10-01,1066
"2918","Centro - Norte (NRS - Jacobina)","BA","real data","real data","real data",2006-11-01,956
"2918","Centro - Norte (NRS - Jacobina)","BA","real data","real data","real data",2006-12-01,941
"2918","Centro - Norte (NRS - Jacobina)","BA","real data","real data","real data",2007-01-01,1112
"2918","Centro - Norte (NRS - Jacobina)","BA","real data","real data","real data",2007-02-01,1003
"2918","Centro - Norte (NRS - Jacobina)","BA","real data","real data","real data",2007-03-01,1252
"2918","Centro - Norte (NRS - Jacobina)","BA","real data","real data","real data",2007-04-01,1223
"2918","Centro - Norte (NRS - Jacobina)","BA","real data","real data","real data",2007-05-01,1288
"2918","Centro - Norte (NRS - Jacobina)","BA","real data","real data","real data",2007-06-01,1201
"2918","Centro - Norte (NRS - Jacobina)","BA","real data","real data","real data",2007-07-01,1192
"2918","Centro - Norte (NRS - Jacobina)","BA","real data","real data","real data",2007-08-01,1096
"2918","Centro - Norte (NRS - Jacobina)","BA","real data","real data","real data",2007-09-01,1035
