"mc_region","region_name","state","mape","id","desc","date","qtt"
"3101","Sul","MG","real data","real data","real data",2000-01-01,1139
"3101","Sul","MG","real data","real data","real data",2000-02-01,1208
"3101","Sul","MG","real data","real data","real data",2000-03-01,1259
"3101","Sul","MG","real data","real data","real data",2000-04-01,1194
"3101","Sul","MG","real data","real data","real data",2000-05-01,1288
"3101","Sul","MG","real data","real data","real data",2000-06-01,1244
"3101","Sul","MG","real data","real data","real data",2000-07-01,1160
"3101","Sul","MG","real data","real data","real data",2000-08-01,1116
"3101","Sul","MG","real data","real data","real data",2000-09-01,1198
"3101","Sul","MG","real data","real data","real data",2000-10-01,1155
"3101","Sul","MG","real data","real data","real data",2000-11-01,1116
"3101","Sul","MG","real data","real data","real data",2000-12-01,1110
"3101","Sul","MG","real data","real data","real data",2001-01-01,1166
"3101","Sul","MG","real data","real data","real data",2001-02-01,1101
"3101","Sul","MG","real data","real data","real data",2001-03-01,1283
"3101","Sul","MG","real data","real data","real data",2001-04-01,1166
"3101","Sul","MG","real data","real data","real data",2001-05-01,1179
"3101","Sul","MG","real data","real data","real data",2001-06-01,1098
"3101","Sul","MG","real data","real data","real data",2001-07-01,1109
"3101","Sul","MG","real data","real data","real data",2001-08-01,1025
"3101","Sul","MG","real data","real data","real data",2001-09-01,991
"3101","Sul","MG","real data","real data","real data",2001-10-01,1032
"3101","Sul","MG","real data","real data","real data",2001-11-01,941
"3101","Sul","MG","real data","real data","real data",2001-12-01,1015
"3101","Sul","MG","real data","real data","real data",2002-01-01,1122
"3101","Sul","MG","real data","real data","real data",2002-02-01,1069
"3101","Sul","MG","real data","real data","real data",2002-03-01,1178
"3101","Sul","MG","real data","real data","real data",2002-04-01,1186
"3101","Sul","MG","real data","real data","real data",2002-05-01,1182
"3101","Sul","MG","real data","real data","real data",2002-06-01,979
"3101","Sul","MG","real data","real data","real data",2002-07-01,1090
"3101","Sul","MG","real data","real data","real data",2002-08-01,961
"3101","Sul","MG","real data","real data","real data",2002-09-01,1059
"3101","Sul","MG","real data","real data","real data",2002-10-01,981
"3101","Sul","MG","real data","real data","real data",2002-11-01,944
"3101","Sul","MG","real data","real data","real data",2002-12-01,1040
"3101","Sul","MG","real data","real data","real data",2003-01-01,1083
"3101","Sul","MG","real data","real data","real data",2003-02-01,1014
"3101","Sul","MG","real data","real data","real data",2003-03-01,1123
"3101","Sul","MG","real data","real data","real data",2003-04-01,1067
"3101","Sul","MG","real data","real data","real data",2003-05-01,1068
"3101","Sul","MG","real data","real data","real data",2003-06-01,1060
"3101","Sul","MG","real data","real data","real data",2003-07-01,1079
