"mc_region","region_name","state","mape","id","desc","date","qtt"
"3104","Jequitinhonha","MG","real data","real data","real data",2000-01-01,493
"3104","Jequitinhonha","MG","real data","real data","real data",2000-02-01,495
"3104","Jequitinhonha","MG","real data","real data","real data",2000-03-01,547
"3104","Jequitinhonha","MG","real data","real data","real data",2000-04-01,516
"3104","Jequitinhonha","MG","real data","real data","real data",2000-05-01,509
"3104","Jequitinhonha","MG","real data","real data","real data",2000-06-01,489
"3104","Jequitinhonha","MG","real data","real data","real data",2000-07-01,515
"3104","Jequitinhonha","MG","real data","real data","real data",2000-08-01,470
"3104","Jequitinhonha","MG","real data","real data","real data",2000-09-01,417
"3104","Jequitinhonha","MG","real data","real data","real data",2000-10-01,530
"3104","Jequitinhonha","MG","real data","real data","real data",2000-11-01,450
"3104","Jequitinhonha","MG","real data","real data","real data",2000-12-01,322
"3104","Jequitinhonha","MG","real data","real data","real data",2001-01-01,600
"3104","Jequitinhonha","MG","real data","real data","real data",2001-02-01,421
"3104","Jequitinhonha","MG","real data","real data","real data",2001-03-01,591
"3104","Jequitinhonha","MG","real data","real data","real data",2001-04-01,418
"3104","Jequitinhonha","MG","real data","real data","real data",2001-05-01,561
"3104","Jequitinhonha","MG","real data","real data","real data",2001-06-01,530
"3104","Jequitinhonha","MG","real data","real data","real data",2001-07-01,488
"3104","Jequitinhonha","MG","real data","real data","real data",2001-08-01,506
"3104","Jequitinhonha","MG","real data","real data","real data",2001-09-01,511
"3104","Jequitinhonha","MG","real data","real data","real data",2001-10-01,561
"3104","Jequitinhonha","MG","real data","real data","real data",2001-11-01,397
"3104","Jequitinhonha","MG","real data","real data","real data",2001-12-01,184
"3104","Jequitinhonha","MG","real data","real data","real data",2002-01-01,557
"3104","Jequitinhonha","MG","real data","real data","real data",2002-02-01,495
"3104","Jequitinhonha","MG","real data","real data","real data",2002-03-01,554
"3104","Jequitinhonha","MG","real data","real data","real data",2002-04-01,488
"3104","Jequitinhonha","MG","real data","real data","real data",2002-05-01,503
"3104","Jequitinhonha","MG","real data","real data","real data",2002-06-01,534
"3104","Jequitinhonha","MG","real data","real data","real data",2002-07-01,540
"3104","Jequitinhonha","MG","real data","real data","real data",2002-08-01,489
"3104","Jequitinhonha","MG","real data","real data","real data",2002-09-01,490
"3104","Jequitinhonha","MG","real data","real data","real data",2002-10-01,613
"3104","Jequitinhonha","MG","real data","real data","real data",2002-11-01,511
"3104","Jequitinhonha","MG","real data","real data","real data",2002-12-01,391
"3104","Jequitinhonha","MG","real data","real data","real data",2003-01-01,545
"3104","Jequitinhonha","MG","real data","real data","real data",2003-02-01,536
"3104","Jequitinhonha","MG","real data","real data","real data",2003-03-01,598
"3104","Jequitinhonha","MG","real data","real data","real data",2003-04-01,621
"3104","Jequitinhonha","MG","real data","real data","real data",2003-05-01,545
"3104","Jequitinhonha","MG","real data","real data","real data",2003-06-01,574
"3104","Jequitinhonha","MG","real data","real data","real data",2003-07-01,584
"3104","Jequitinhonha","MG","real data","real data","real data",2003-08-01,552
"3104","Jequitinhonha","MG","real data","real data","real data",2003-09-01,595
"3104","Jequitinhonha","MG","real data","real data","real data",2003-10-01,582
"3104","Jequitinhonha","MG","real data","real data","real data",2003-11-01,545
"3104","Jequitinhonha","MG","real data","real data","real data",2003-12-01,556
"3104","Jequitinhonha","MG","real data","real data","real data",2004-01-01,532
"3104","Jequitinhonha","MG","real data","real data","real data",2004-02-01,504
"3104","Jequitinhonha","MG","real data","real data","real data",2004-03-01,588
"3104","Jequitinhonha","MG","real data","real data","real data",2004-04-01,557
"3104","Jequitinhonha","MG","real data","real data","real data",2004-05-01,495
"3104","Jequitinhonha","MG","real data","real data","real data",2004-06-01,528
"3104","Jequitinhonha","MG","real data","real data","real data",2004-07-01,518
"3104","Jequitinhonha","MG","real data","real data","real data",2004-08-01,593
"3104","Jequitinhonha","MG","real data","real data","real data",2004-09-01,560
"3104","Jequitinhonha","MG","real data","real data","real data",2004-10-01,576
"3104","Jequitinhonha","MG","real data","real data","real data",2004-11-01,579
"3104","Jequitinhonha","MG","real data","real data","real data",2004-12-01,535
"3104","Jequitinhonha","MG","real data","real data","real data",2005-01-01,534
"3104","Jequitinhonha","MG","real data","real data","real data",2005-02-01,493
"3104","Jequitinhonha","MG","real data","real data","real data",2005-03-01,541
"3104","Jequitinhonha","MG","real data","real data","real data",2005-04-01,586
"3104","Jequitinhonha","MG","real data","real data","real data",2005-05-01,635
"3104","Jequitinhonha","MG","real data","real data","real data",2005-06-01,535
"3104","Jequitinhonha","MG","real data","real data","real data",2005-07-01,591
"3104","Jequitinhonha","MG","real data","real data","real data",2005-08-01,548
"3104","Jequitinhonha","MG","real data","real data","real data",2005-09-01,572
"3104","Jequitinhonha","MG","real data","real data","real data",2005-10-01,560
"3104","Jequitinhonha","MG","real data","real data","real data",2005-11-01,510
"3104","Jequitinhonha","MG","real data","real data","real data",2005-12-01,431
"3104","Jequitinhonha","MG","real data","real data","real data",2006-01-01,445
"3104","Jequitinhonha","MG","real data","real data","real data",2006-02-01,442
"3104","Jequitinhonha","MG","real data","real data","real data",2006-03-01,517
"3104","Jequitinhonha","MG","real data","real data","real data",2006-04-01,548
"3104","Jequitinhonha","MG","real data","real data","real data",2006-05-01,551
"3104","Jequitinhonha","MG","real data","real data","real data",2006-06-01,500
"3104","Jequitinhonha","MG","real data","real data","real data",2006-07-01,476
"3104","Jequitinhonha","MG","real data","real data","real data",2006-08-01,445
"3104","Jequitinhonha","MG","real data","real data","real data",2006-09-01,525
"3104","Jequitinhonha","MG","real data","real data","real data",2006-10-01,493
"3104","Jequitinhonha","MG","real data","real data","real data",2006-11-01,441
"3104","Jequitinhonha","MG","real data","real data","real data",2006-12-01,508
"3104","Jequitinhonha","MG","real data","real data","real data",2007-01-01,481
"3104","Jequitinhonha","MG","real data","real data","real data",2007-02-01,405
"3104","Jequitinhonha","MG","real data","real data","real data",2007-03-01,488
"3104","Jequitinhonha","MG","real data","real data","real data",2007-04-01,465
"3104","Jequitinhonha","MG","real data","real data","real data",2007-05-01,510
"3104","Jequitinhonha","MG","real data","real data","real data",2007-06-01,482
"3104","Jequitinhonha","MG","real data","real data","real data",2007-07-01,466
