"mc_region","region_name","state","mape","id","desc","date","qtt"
"3105","Oeste","MG","real data","real data","real data",2000-01-01,1459
"3105","Oeste","MG","real data","real data","real data",2000-02-01,1434
"3105","Oeste","MG","real data","real data","real data",2000-03-01,1534
"3105","Oeste","MG","real data","real data","real data",2000-04-01,1421
"3105","Oeste","MG","real data","real data","real data",2000-05-01,1547
"3105","Oeste","MG","real data","real data","real data",2000-06-01,1420
"3105","Oeste","MG","real data","real data","real data",2000-07-01,1385
"3105","Oeste","MG","real data","real data","real data",2000-08-01,1413
"3105","Oeste","MG","real data","real data","real data",2000-09-01,1431
"3105","Oeste","MG","real data","real data","real data",2000-10-01,1391
"3105","Oeste","MG","real data","real data","real data",2000-11-01,1313
"3105","Oeste","MG","real data","real data","real data",2000-12-01,1347
"3105","Oeste","MG","real data","real data","real data",2001-01-01,1431
"3105","Oeste","MG","real data","real data","real data",2001-02-01,1369
"3105","Oeste","MG","real data","real data","real data",2001-03-01,1600
"3105","Oeste","MG","real data","real data","real data",2001-04-01,1373
"3105","Oeste","MG","real data","real data","real data",2001-05-01,1539
"3105","Oeste","MG","real data","real data","real data",2001-06-01,1337
"3105","Oeste","MG","real data","real data","real data",2001-07-01,1297
"3105","Oeste","MG","real data","real data","real data",2001-08-01,1260
"3105","Oeste","MG","real data","real data","real data",2001-09-01,1365
"3105","Oeste","MG","real data","real data","real data",2001-10-01,1271
"3105","Oeste","MG","real data","real data","real data",2001-11-01,1258
"3105","Oeste","MG","real data","real data","real data",2001-12-01,1327
"3105","Oeste","MG","real data","real data","real data",2002-01-01,1407
"3105","Oeste","MG","real data","real data","real data",2002-02-01,1289
"3105","Oeste","MG","real data","real data","real data",2002-03-01,1518
"3105","Oeste","MG","real data","real data","real data",2002-04-01,1519
"3105","Oeste","MG","real data","real data","real data",2002-05-01,1467
"3105","Oeste","MG","real data","real data","real data",2002-06-01,1334
"3105","Oeste","MG","real data","real data","real data",2002-07-01,1327
"3105","Oeste","MG","real data","real data","real data",2002-08-01,1085
"3105","Oeste","MG","real data","real data","real data",2002-09-01,1231
"3105","Oeste","MG","real data","real data","real data",2002-10-01,1253
"3105","Oeste","MG","real data","real data","real data",2002-11-01,1226
"3105","Oeste","MG","real data","real data","real data",2002-12-01,1223
"3105","Oeste","MG","real data","real data","real data",2003-01-01,1219
"3105","Oeste","MG","real data","real data","real data",2003-02-01,1217
"3105","Oeste","MG","real data","real data","real data",2003-03-01,1466
"3105","Oeste","MG","real data","real data","real data",2003-04-01,1390
"3105","Oeste","MG","real data","real data","real data",2003-05-01,1430
"3105","Oeste","MG","real data","real data","real data",2003-06-01,1219
"3105","Oeste","MG","real data","real data","real data",2003-07-01,1283
"3105","Oeste","MG","real data","real data","real data",2003-08-01,1212
"3105","Oeste","MG","real data","real data","real data",2003-09-01,1242
"3105","Oeste","MG","real data","real data","real data",2003-10-01,1205
"3105","Oeste","MG","real data","real data","real data",2003-11-01,1173
"3105","Oeste","MG","real data","real data","real data",2003-12-01,1204
"3105","Oeste","MG","real data","real data","real data",2004-01-01,1291
"3105","Oeste","MG","real data","real data","real data",2004-02-01,1270
"3105","Oeste","MG","real data","real data","real data",2004-03-01,1398
