"mc_region","region_name","state","mape","id","desc","date","qtt"
"3106","Leste","MG","real data","real data","real data",2000-01-01,785
"3106","Leste","MG","real data","real data","real data",2000-02-01,937
"3106","Leste","MG","real data","real data","real data",2000-03-01,907
"3106","Leste","MG","real data","real data","real data",2000-04-01,1003
"3106","Leste","MG","real data","real data","real data",2000-05-01,1006
"3106","Leste","MG","real data","real data","real data",2000-06-01,922
"3106","Leste","MG","real data","real data","real data",2000-07-01,994
"3106","Leste","MG","real data","real data","real data",2000-08-01,1057
"3106","Leste","MG","real data","real data","real data",2000-09-01,905
"3106","Leste","MG","real data","real data","real data",2000-10-01,882
"3106","Leste","MG","real data","real data","real data",2000-11-01,648
"3106","Leste","MG","real data","real data","real data",2000-12-01,848
"3106","Leste","MG","real data","real data","real data",2001-01-01,954
"3106","Leste","MG","real data","real data","real data",2001-02-01,928
"3106","Leste","MG","real data","real data","real data",2001-03-01,1109
"3106","Leste","MG","real data","real data","real data",2001-04-01,1067
"3106","Leste","MG","real data","real data","real data",2001-05-01,1053
"3106","Leste","MG","real data","real data","real data",2001-06-01,959
"3106","Leste","MG","real data","real data","real data",2001-07-01,863
"3106","Leste","MG","real data","real data","real data",2001-08-01,965
"3106","Leste","MG","real data","real data","real data",2001-09-01,912
"3106","Leste","MG","real data","real data","real data",2001-10-01,860
"3106","Leste","MG","real data","real data","real data",2001-11-01,739
"3106","Leste","MG","real data","real data","real data",2001-12-01,744
"3106","Leste","MG","real data","real data","real data",2002-01-01,936
"3106","Leste","MG","real data","real data","real data",2002-02-01,868
"3106","Leste","MG","real data","real data","real data",2002-03-01,1033
"3106","Leste","MG","real data","real data","real data",2002-04-01,990
"3106","Leste","MG","real data","real data","real data",2002-05-01,1002
"3106","Leste","MG","real data","real data","real data",2002-06-01,811
"3106","Leste","MG","real data","real data","real data",2002-07-01,948
"3106","Leste","MG","real data","real data","real data",2002-08-01,908
"3106","Leste","MG","real data","real data","real data",2002-09-01,832
"3106","Leste","MG","real data","real data","real data",2002-10-01,841
"3106","Leste","MG","real data","real data","real data",2002-11-01,770
"3106","Leste","MG","real data","real data","real data",2002-12-01,841
"3106","Leste","MG","real data","real data","real data",2003-01-01,937
"3106","Leste","MG","real data","real data","real data",2003-02-01,931
"3106","Leste","MG","real data","real data","real data",2003-03-01,1063
"3106","Leste","MG","real data","real data","real data",2003-04-01,1030
"3106","Leste","MG","real data","real data","real data",2003-05-01,1014
"3106","Leste","MG","real data","real data","real data",2003-06-01,915
"3106","Leste","MG","real data","real data","real data",2003-07-01,876
"3106","Leste","MG","real data","real data","real data",2003-08-01,956
"3106","Leste","MG","real data","real data","real data",2003-09-01,893
"3106","Leste","MG","real data","real data","real data",2003-10-01,790
"3106","Leste","MG","real data","real data","real data",2003-11-01,745
"3106","Leste","MG","real data","real data","real data",2003-12-01,797
"3106","Leste","MG","real data","real data","real data",2004-01-01,876
"3106","Leste","MG","real data","real data","real data",2004-02-01,890
"3106","Leste","MG","real data","real data","real data",2004-03-01,1016
"3106","Leste","MG","real data","real data","real data",2004-04-01,934
"3106","Leste","MG","real data","real data","real data",2004-05-01,1010
"3106","Leste","MG","real data","real data","real data",2004-06-01,872
"3106","Leste","MG","real data","real data","real data",2004-07-01,885
"3106","Leste","MG","real data","real data","real data",2004-08-01,888
"3106","Leste","MG","real data","real data","real data",2004-09-01,868
"3106","Leste","MG","real data","real data","real data",2004-10-01,820
"3106","Leste","MG","real data","real data","real data",2004-11-01,763
"3106","Leste","MG","real data","real data","real data",2004-12-01,763
"3106","Leste","MG","real data","real data","real data",2005-01-01,803
"3106","Leste","MG","real data","real data","real data",2005-02-01,753
"3106","Leste","MG","real data","real data","real data",2005-03-01,976
"3106","Leste","MG","real data","real data","real data",2005-04-01,948
"3106","Leste","MG","real data","real data","real data",2005-05-01,1057
"3106","Leste","MG","real data","real data","real data",2005-06-01,906
"3106","Leste","MG","real data","real data","real data",2005-07-01,918
"3106","Leste","MG","real data","real data","real data",2005-08-01,835
"3106","Leste","MG","real data","real data","real data",2005-09-01,836
"3106","Leste","MG","real data","real data","real data",2005-10-01,788
"3106","Leste","MG","real data","real data","real data",2005-11-01,745
"3106","Leste","MG","real data","real data","real data",2005-12-01,744
"3106","Leste","MG","real data","real data","real data",2006-01-01,680
