"mc_region","region_name","state","mape","id","desc","date","qtt"
"3107","Sudeste","MG","real data","real data","real data",2000-01-01,1727
"3107","Sudeste","MG","real data","real data","real data",2000-02-01,1866
"3107","Sudeste","MG","real data","real data","real data",2000-03-01,1967
"3107","Sudeste","MG","real data","real data","real data",2000-04-01,1977
"3107","Sudeste","MG","real data","real data","real data",2000-05-01,1939
"3107","Sudeste","MG","real data","real data","real data",2000-06-01,1945
"3107","Sudeste","MG","real data","real data","real data",2000-07-01,1865
"3107","Sudeste","MG","real data","real data","real data",2000-08-01,1858
"3107","Sudeste","MG","real data","real data","real data",2000-09-01,1542
"3107","Sudeste","MG","real data","real data","real data",2000-10-01,1490
"3107","Sudeste","MG","real data","real data","real data",2000-11-01,1563
"3107","Sudeste","MG","real data","real data","real data",2000-12-01,1746
"3107","Sudeste","MG","real data","real data","real data",2001-01-01,1920
"3107","Sudeste","MG","real data","real data","real data",2001-02-01,1862
"3107","Sudeste","MG","real data","real data","real data",2001-03-01,2022
"3107","Sudeste","MG","real data","real data","real data",2001-04-01,2006
"3107","Sudeste","MG","real data","real data","real data",2001-05-01,1983
"3107","Sudeste","MG","real data","real data","real data",2001-06-01,1892
"3107","Sudeste","MG","real data","real data","real data",2001-07-01,1822
"3107","Sudeste","MG","real data","real data","real data",2001-08-01,1766
"3107","Sudeste","MG","real data","real data","real data",2001-09-01,1816
"3107","Sudeste","MG","real data","real data","real data",2001-10-01,1857
"3107","Sudeste","MG","real data","real data","real data",2001-11-01,1727
"3107","Sudeste","MG","real data","real data","real data",2001-12-01,1696
"3107","Sudeste","MG","real data","real data","real data",2002-01-01,1846
"3107","Sudeste","MG","real data","real data","real data",2002-02-01,1770
"3107","Sudeste","MG","real data","real data","real data",2002-03-01,1909
"3107","Sudeste","MG","real data","real data","real data",2002-04-01,1908
"3107","Sudeste","MG","real data","real data","real data",2002-05-01,1692
"3107","Sudeste","MG","real data","real data","real data",2002-06-01,1811
"3107","Sudeste","MG","real data","real data","real data",2002-07-01,1830
"3107","Sudeste","MG","real data","real data","real data",2002-08-01,1468
"3107","Sudeste","MG","real data","real data","real data",2002-09-01,1652
"3107","Sudeste","MG","real data","real data","real data",2002-10-01,1638
"3107","Sudeste","MG","real data","real data","real data",2002-11-01,1575
"3107","Sudeste","MG","real data","real data","real data",2002-12-01,1339
"3107","Sudeste","MG","real data","real data","real data",2003-01-01,1764
"3107","Sudeste","MG","real data","real data","real data",2003-02-01,1774
"3107","Sudeste","MG","real data","real data","real data",2003-03-01,1868
"3107","Sudeste","MG","real data","real data","real data",2003-04-01,1904
"3107","Sudeste","MG","real data","real data","real data",2003-05-01,1805
"3107","Sudeste","MG","real data","real data","real data",2003-06-01,1804
"3107","Sudeste","MG","real data","real data","real data",2003-07-01,1775
"3107","Sudeste","MG","real data","real data","real data",2003-08-01,1605
"3107","Sudeste","MG","real data","real data","real data",2003-09-01,1635
"3107","Sudeste","MG","real data","real data","real data",2003-10-01,1560
"3107","Sudeste","MG","real data","real data","real data",2003-11-01,1555
"3107","Sudeste","MG","real data","real data","real data",2003-12-01,1644
"3107","Sudeste","MG","real data","real data","real data",2004-01-01,1778
"3107","Sudeste","MG","real data","real data","real data",2004-02-01,1807
"3107","Sudeste","MG","real data","real data","real data",2004-03-01,1849
"3107","Sudeste","MG","real data","real data","real data",2004-04-01,1857
"3107","Sudeste","MG","real data","real data","real data",2004-05-01,1767
"3107","Sudeste","MG","real data","real data","real data",2004-06-01,1812
"3107","Sudeste","MG","real data","real data","real data",2004-07-01,1710
"3107","Sudeste","MG","real data","real data","real data",2004-08-01,1497
"3107","Sudeste","MG","real data","real data","real data",2004-09-01,1663
"3107","Sudeste","MG","real data","real data","real data",2004-10-01,1605
"3107","Sudeste","MG","real data","real data","real data",2004-11-01,1460
"3107","Sudeste","MG","real data","real data","real data",2004-12-01,1599
"3107","Sudeste","MG","real data","real data","real data",2005-01-01,1600
"3107","Sudeste","MG","real data","real data","real data",2005-02-01,1578
"3107","Sudeste","MG","real data","real data","real data",2005-03-01,1926
"3107","Sudeste","MG","real data","real data","real data",2005-04-01,1725
"3107","Sudeste","MG","real data","real data","real data",2005-05-01,1829
"3107","Sudeste","MG","real data","real data","real data",2005-06-01,1816
"3107","Sudeste","MG","real data","real data","real data",2005-07-01,1740
"3107","Sudeste","MG","real data","real data","real data",2005-08-01,1685
"3107","Sudeste","MG","real data","real data","real data",2005-09-01,1692
"3107","Sudeste","MG","real data","real data","real data",2005-10-01,1635
"3107","Sudeste","MG","real data","real data","real data",2005-11-01,1617
"3107","Sudeste","MG","real data","real data","real data",2005-12-01,1510
"3107","Sudeste","MG","real data","real data","real data",2006-01-01,1529
"3107","Sudeste","MG","real data","real data","real data",2006-02-01,1466
