"mc_region","region_name","state","mape","id","desc","date","qtt"
"3108","Norte","MG","real data","real data","real data",2000-01-01,2109
"3108","Norte","MG","real data","real data","real data",2000-02-01,2086
"3108","Norte","MG","real data","real data","real data",2000-03-01,2025
"3108","Norte","MG","real data","real data","real data",2000-04-01,1842
"3108","Norte","MG","real data","real data","real data",2000-05-01,1905
"3108","Norte","MG","real data","real data","real data",2000-06-01,2025
"3108","Norte","MG","real data","real data","real data",2000-07-01,2029
"3108","Norte","MG","real data","real data","real data",2000-08-01,2196
"3108","Norte","MG","real data","real data","real data",2000-09-01,2230
"3108","Norte","MG","real data","real data","real data",2000-10-01,2037
"3108","Norte","MG","real data","real data","real data",2000-11-01,1632
"3108","Norte","MG","real data","real data","real data",2000-12-01,1906
"3108","Norte","MG","real data","real data","real data",2001-01-01,2328
"3108","Norte","MG","real data","real data","real data",2001-02-01,2312
"3108","Norte","MG","real data","real data","real data",2001-03-01,2562
"3108","Norte","MG","real data","real data","real data",2001-04-01,2425
"3108","Norte","MG","real data","real data","real data",2001-05-01,2437
"3108","Norte","MG","real data","real data","real data",2001-06-01,2237
"3108","Norte","MG","real data","real data","real data",2001-07-01,2325
"3108","Norte","MG","real data","real data","real data",2001-08-01,2503
"3108","Norte","MG","real data","real data","real data",2001-09-01,2460
"3108","Norte","MG","real data","real data","real data",2001-10-01,2431
"3108","Norte","MG","real data","real data","real data",2001-11-01,2110
"3108","Norte","MG","real data","real data","real data",2001-12-01,2200
"3108","Norte","MG","real data","real data","real data",2002-01-01,2250
"3108","Norte","MG","real data","real data","real data",2002-02-01,2094
"3108","Norte","MG","real data","real data","real data",2002-03-01,2468
"3108","Norte","MG","real data","real data","real data",2002-04-01,2423
"3108","Norte","MG","real data","real data","real data",2002-05-01,2437
"3108","Norte","MG","real data","real data","real data",2002-06-01,2157
"3108","Norte","MG","real data","real data","real data",2002-07-01,2153
"3108","Norte","MG","real data","real data","real data",2002-08-01,2171
"3108","Norte","MG","real data","real data","real data",2002-09-01,2130
"3108","Norte","MG","real data","real data","real data",2002-10-01,2076
"3108","Norte","MG","real data","real data","real data",2002-11-01,1884
"3108","Norte","MG","real data","real data","real data",2002-12-01,2056
"3108","Norte","MG","real data","real data","real data",2003-01-01,2226
"3108","Norte","MG","real data","real data","real data",2003-02-01,2130
"3108","Norte","MG","real data","real data","real data",2003-03-01,2318
"3108","Norte","MG","real data","real data","real data",2003-04-01,2393
"3108","Norte","MG","real data","real data","real data",2003-05-01,2374
"3108","Norte","MG","real data","real data","real data",2003-06-01,2148
"3108","Norte","MG","real data","real data","real data",2003-07-01,2326
"3108","Norte","MG","real data","real data","real data",2003-08-01,2263
"3108","Norte","MG","real data","real data","real data",2003-09-01,2354
"3108","Norte","MG","real data","real data","real data",2003-10-01,2243
"3108","Norte","MG","real data","real data","real data",2003-11-01,1890
"3108","Norte","MG","real data","real data","real data",2003-12-01,1978
"3108","Norte","MG","real data","real data","real data",2004-01-01,2156
"3108","Norte","MG","real data","real data","real data",2004-02-01,2110
"3108","Norte","MG","real data","real data","real data",2004-03-01,2407
"3108","Norte","MG","real data","real data","real data",2004-04-01,2280
"3108","Norte","MG","real data","real data","real data",2004-05-01,2311
"3108","Norte","MG","real data","real data","real data",2004-06-01,2158
"3108","Norte","MG","real data","real data","real data",2004-07-01,2160
"3108","Norte","MG","real data","real data","real data",2004-08-01,2211
"3108","Norte","MG","real data","real data","real data",2004-09-01,2207
"3108","Norte","MG","real data","real data","real data",2004-10-01,2185
"3108","Norte","MG","real data","real data","real data",2004-11-01,2034
"3108","Norte","MG","real data","real data","real data",2004-12-01,1953
"3108","Norte","MG","real data","real data","real data",2005-01-01,2037
"3108","Norte","MG","real data","real data","real data",2005-02-01,2108
"3108","Norte","MG","real data","real data","real data",2005-03-01,2366
"3108","Norte","MG","real data","real data","real data",2005-04-01,2350
"3108","Norte","MG","real data","real data","real data",2005-05-01,2217
"3108","Norte","MG","real data","real data","real data",2005-06-01,2173
"3108","Norte","MG","real data","real data","real data",2005-07-01,2100
"3108","Norte","MG","real data","real data","real data",2005-08-01,2084
"3108","Norte","MG","real data","real data","real data",2005-09-01,2319
"3108","Norte","MG","real data","real data","real data",2005-10-01,2233
"3108","Norte","MG","real data","real data","real data",2005-11-01,2022
"3108","Norte","MG","real data","real data","real data",2005-12-01,2067
"3108","Norte","MG","real data","real data","real data",2006-01-01,1999
"3108","Norte","MG","real data","real data","real data",2006-02-01,1866
"3108","Norte","MG","real data","real data","real data",2006-03-01,2278
"3108","Norte","MG","real data","real data","real data",2006-04-01,2226
"3108","Norte","MG","real data","real data","real data",2006-05-01,2251
"3108","Norte","MG","real data","real data","real data",2006-06-01,2101
"3108","Norte","MG","real data","real data","real data",2006-07-01,2122
"3108","Norte","MG","real data","real data","real data",2006-08-01,2013
"3108","Norte","MG","real data","real data","real data",2006-09-01,2247
"3108","Norte","MG","real data","real data","real data",2006-10-01,2089
"3108","Norte","MG","real data","real data","real data",2006-11-01,1939
"3108","Norte","MG","real data","real data","real data",2006-12-01,1827
"3108","Norte","MG","real data","real data","real data",2007-01-01,2121
"3108","Norte","MG","real data","real data","real data",2007-02-01,1920
"3108","Norte","MG","real data","real data","real data",2007-03-01,2407
"3108","Norte","MG","real data","real data","real data",2007-04-01,2172
"3108","Norte","MG","real data","real data","real data",2007-05-01,2234
"3108","Norte","MG","real data","real data","real data",2007-06-01,1955
"3108","Norte","MG","real data","real data","real data",2007-07-01,1995
"3108","Norte","MG","real data","real data","real data",2007-08-01,1887
"3108","Norte","MG","real data","real data","real data",2007-09-01,1889
"3108","Norte","MG","real data","real data","real data",2007-10-01,1883
"3108","Norte","MG","real data","real data","real data",2007-11-01,1760
"3108","Norte","MG","real data","real data","real data",2007-12-01,1733
"3108","Norte","MG","real data","real data","real data",2008-01-01,1916
"3108","Norte","MG","real data","real data","real data",2008-02-01,1927
"3108","Norte","MG","real data","real data","real data",2008-03-01,2147
"3108","Norte","MG","real data","real data","real data",2008-04-01,2092
"3108","Norte","MG","real data","real data","real data",2008-05-01,2128
"3108","Norte","MG","real data","real data","real data",2008-06-01,2002
"3108","Norte","MG","real data","real data","real data",2008-07-01,1995
"3108","Norte","MG","real data","real data","real data",2008-08-01,2010
"3108","Norte","MG","real data","real data","real data",2008-09-01,2145
"3108","Norte","MG","real data","real data","real data",2008-10-01,1615
"3108","Norte","MG","real data","real data","real data",2008-11-01,1773
"3108","Norte","MG","real data","real data","real data",2008-12-01,1847
"3108","Norte","MG","real data","real data","real data",2009-01-01,2038
"3108","Norte","MG","real data","real data","real data",2009-02-01,1824
"3108","Norte","MG","real data","real data","real data",2009-03-01,2200
"3108","Norte","MG","real data","real data","real data",2009-04-01,2007
"3108","Norte","MG","real data","real data","real data",2009-05-01,2104
"3108","Norte","MG","real data","real data","real data",2009-06-01,1886
"3108","Norte","MG","real data","real data","real data",2009-07-01,1846
"3108","Norte","MG","real data","real data","real data",2009-08-01,1852
"3108","Norte","MG","real data","real data","real data",2009-09-01,2134
"3108","Norte","MG","real data","real data","real data",2009-10-01,1935
"3108","Norte","MG","real data","real data","real data",2009-11-01,1785
"3108","Norte","MG","real data","real data","real data",2009-12-01,1817
"3108","Norte","MG","real data","real data","real data",2010-01-01,1895
"3108","Norte","MG","real data","real data","real data",2010-02-01,1853
"3108","Norte","MG","real data","real data","real data",2010-03-01,2122
"3108","Norte","MG","real data","real data","real data",2010-04-01,2000
"3108","Norte","MG","real data","real data","real data",2010-05-01,1922
"3108","Norte","MG","real data","real data","real data",2010-06-01,1984
"3108","Norte","MG","real data","real data","real data",2010-07-01,1901
"3108","Norte","MG","real data","real data","real data",2010-08-01,1863
"3108","Norte","MG","real data","real data","real data",2010-09-01,1951
