"mc_region","region_name","state","mape","id","desc","date","qtt"
"3110","Leste do Sul","MG","real data","real data","real data",2000-01-01,941
"3110","Leste do Sul","MG","real data","real data","real data",2000-02-01,992
"3110","Leste do Sul","MG","real data","real data","real data",2000-03-01,988
"3110","Leste do Sul","MG","real data","real data","real data",2000-04-01,1028
"3110","Leste do Sul","MG","real data","real data","real data",2000-05-01,1017
"3110","Leste do Sul","MG","real data","real data","real data",2000-06-01,972
"3110","Leste do Sul","MG","real data","real data","real data",2000-07-01,1009
"3110","Leste do Sul","MG","real data","real data","real data",2000-08-01,847
"3110","Leste do Sul","MG","real data","real data","real data",2000-09-01,769
"3110","Leste do Sul","MG","real data","real data","real data",2000-10-01,757
"3110","Leste do Sul","MG","real data","real data","real data",2000-11-01,753
"3110","Leste do Sul","MG","real data","real data","real data",2000-12-01,745
"3110","Leste do Sul","MG","real data","real data","real data",2001-01-01,958
"3110","Leste do Sul","MG","real data","real data","real data",2001-02-01,942
"3110","Leste do Sul","MG","real data","real data","real data",2001-03-01,1002
"3110","Leste do Sul","MG","real data","real data","real data",2001-04-01,1031
"3110","Leste do Sul","MG","real data","real data","real data",2001-05-01,975
"3110","Leste do Sul","MG","real data","real data","real data",2001-06-01,995
"3110","Leste do Sul","MG","real data","real data","real data",2001-07-01,909
"3110","Leste do Sul","MG","real data","real data","real data",2001-08-01,949
"3110","Leste do Sul","MG","real data","real data","real data",2001-09-01,896
"3110","Leste do Sul","MG","real data","real data","real data",2001-10-01,912
"3110","Leste do Sul","MG","real data","real data","real data",2001-11-01,791
"3110","Leste do Sul","MG","real data","real data","real data",2001-12-01,857
"3110","Leste do Sul","MG","real data","real data","real data",2002-01-01,936
"3110","Leste do Sul","MG","real data","real data","real data",2002-02-01,962
"3110","Leste do Sul","MG","real data","real data","real data",2002-03-01,1015
"3110","Leste do Sul","MG","real data","real data","real data",2002-04-01,1002
"3110","Leste do Sul","MG","real data","real data","real data",2002-05-01,958
"3110","Leste do Sul","MG","real data","real data","real data",2002-06-01,955
"3110","Leste do Sul","MG","real data","real data","real data",2002-07-01,883
"3110","Leste do Sul","MG","real data","real data","real data",2002-08-01,858
"3110","Leste do Sul","MG","real data","real data","real data",2002-09-01,861
"3110","Leste do Sul","MG","real data","real data","real data",2002-10-01,872
