"mc_region","region_name","state","mape","id","desc","date","qtt"
"3111","Nordeste","MG","real data","real data","real data",2000-01-01,909
"3111","Nordeste","MG","real data","real data","real data",2000-02-01,829
"3111","Nordeste","MG","real data","real data","real data",2000-03-01,1013
"3111","Nordeste","MG","real data","real data","real data",2000-04-01,1008
"3111","Nordeste","MG","real data","real data","real data",2000-05-01,1162
"3111","Nordeste","MG","real data","real data","real data",2000-06-01,1047
"3111","Nordeste","MG","real data","real data","real data",2000-07-01,1150
"3111","Nordeste","MG","real data","real data","real data",2000-08-01,1132
"3111","Nordeste","MG","real data","real data","real data",2000-09-01,1221
"3111","Nordeste","MG","real data","real data","real data",2000-10-01,1057
"3111","Nordeste","MG","real data","real data","real data",2000-11-01,1046
"3111","Nordeste","MG","real data","real data","real data",2000-12-01,950
"3111","Nordeste","MG","real data","real data","real data",2001-01-01,1253
"3111","Nordeste","MG","real data","real data","real data",2001-02-01,1138
"3111","Nordeste","MG","real data","real data","real data",2001-03-01,1376
"3111","Nordeste","MG","real data","real data","real data",2001-04-01,1221
"3111","Nordeste","MG","real data","real data","real data",2001-05-01,1369
"3111","Nordeste","MG","real data","real data","real data",2001-06-01,1330
"3111","Nordeste","MG","real data","real data","real data",2001-07-01,1306
"3111","Nordeste","MG","real data","real data","real data",2001-08-01,1239
"3111","Nordeste","MG","real data","real data","real data",2001-09-01,1186
"3111","Nordeste","MG","real data","real data","real data",2001-10-01,1124
"3111","Nordeste","MG","real data","real data","real data",2001-11-01,1108
"3111","Nordeste","MG","real data","real data","real data",2001-12-01,1222
"3111","Nordeste","MG","real data","real data","real data",2002-01-01,1147
"3111","Nordeste","MG","real data","real data","real data",2002-02-01,1101
"3111","Nordeste","MG","real data","real data","real data",2002-03-01,1023
"3111","Nordeste","MG","real data","real data","real data",2002-04-01,1203
"3111","Nordeste","MG","real data","real data","real data",2002-05-01,1362
"3111","Nordeste","MG","real data","real data","real data",2002-06-01,1217
"3111","Nordeste","MG","real data","real data","real data",2002-07-01,1208
"3111","Nordeste","MG","real data","real data","real data",2002-08-01,1026
"3111","Nordeste","MG","real data","real data","real data",2002-09-01,1011
"3111","Nordeste","MG","real data","real data","real data",2002-10-01,778
"3111","Nordeste","MG","real data","real data","real data",2002-11-01,1054
"3111","Nordeste","MG","real data","real data","real data",2002-12-01,1082
"3111","Nordeste","MG","real data","real data","real data",2003-01-01,1295
"3111","Nordeste","MG","real data","real data","real data",2003-02-01,1251
"3111","Nordeste","MG","real data","real data","real data",2003-03-01,1285
"3111","Nordeste","MG","real data","real data","real data",2003-04-01,1273
"3111","Nordeste","MG","real data","real data","real data",2003-05-01,1353
"3111","Nordeste","MG","real data","real data","real data",2003-06-01,1218
"3111","Nordeste","MG","real data","real data","real data",2003-07-01,1246
"3111","Nordeste","MG","real data","real data","real data",2003-08-01,1157
"3111","Nordeste","MG","real data","real data","real data",2003-09-01,1251
"3111","Nordeste","MG","real data","real data","real data",2003-10-01,1140
"3111","Nordeste","MG","real data","real data","real data",2003-11-01,1095
"3111","Nordeste","MG","real data","real data","real data",2003-12-01,1036
"3111","Nordeste","MG","real data","real data","real data",2004-01-01,1086
"3111","Nordeste","MG","real data","real data","real data",2004-02-01,1213
"3111","Nordeste","MG","real data","real data","real data",2004-03-01,1331
"3111","Nordeste","MG","real data","real data","real data",2004-04-01,1273
"3111","Nordeste","MG","real data","real data","real data",2004-05-01,1268
"3111","Nordeste","MG","real data","real data","real data",2004-06-01,1181
"3111","Nordeste","MG","real data","real data","real data",2004-07-01,1234
"3111","Nordeste","MG","real data","real data","real data",2004-08-01,1211
"3111","Nordeste","MG","real data","real data","real data",2004-09-01,1156
"3111","Nordeste","MG","real data","real data","real data",2004-10-01,1056
"3111","Nordeste","MG","real data","real data","real data",2004-11-01,1099
"3111","Nordeste","MG","real data","real data","real data",2004-12-01,1039
"3111","Nordeste","MG","real data","real data","real data",2005-01-01,1018
"3111","Nordeste","MG","real data","real data","real data",2005-02-01,1070
"3111","Nordeste","MG","real data","real data","real data",2005-03-01,1369
"3111","Nordeste","MG","real data","real data","real data",2005-04-01,1333
"3111","Nordeste","MG","real data","real data","real data",2005-05-01,1288
"3111","Nordeste","MG","real data","real data","real data",2005-06-01,1302
"3111","Nordeste","MG","real data","real data","real data",2005-07-01,1240
"3111","Nordeste","MG","real data","real data","real data",2005-08-01,1185
"3111","Nordeste","MG","real data","real data","real data",2005-09-01,1261
"3111","Nordeste","MG","real data","real data","real data",2005-10-01,1168
"3111","Nordeste","MG","real data","real data","real data",2005-11-01,1126
"3111","Nordeste","MG","real data","real data","real data",2005-12-01,1094
"3111","Nordeste","MG","real data","real data","real data",2006-01-01,1145
"3111","Nordeste","MG","real data","real data","real data",2006-02-01,1101
"3111","Nordeste","MG","real data","real data","real data",2006-03-01,1346
"3111","Nordeste","MG","real data","real data","real data",2006-04-01,1282
"3111","Nordeste","MG","real data","real data","real data",2006-05-01,1213
"3111","Nordeste","MG","real data","real data","real data",2006-06-01,1155
"3111","Nordeste","MG","real data","real data","real data",2006-07-01,1143
"3111","Nordeste","MG","real data","real data","real data",2006-08-01,1087
"3111","Nordeste","MG","real data","real data","real data",2006-09-01,1149
"3111","Nordeste","MG","real data","real data","real data",2006-10-01,1025
"3111","Nordeste","MG","real data","real data","real data",2006-11-01,991
"3111","Nordeste","MG","real data","real data","real data",2006-12-01,1002
"3111","Nordeste","MG","real data","real data","real data",2007-01-01,1069
"3111","Nordeste","MG","real data","real data","real data",2007-02-01,986
"3111","Nordeste","MG","real data","real data","real data",2007-03-01,1113
"3111","Nordeste","MG","real data","real data","real data",2007-04-01,1081
"3111","Nordeste","MG","real data","real data","real data",2007-05-01,1187
"3111","Nordeste","MG","real data","real data","real data",2007-06-01,1153
"3111","Nordeste","MG","real data","real data","real data",2007-07-01,1061
"3111","Nordeste","MG","real data","real data","real data",2007-08-01,1001
"3111","Nordeste","MG","real data","real data","real data",2007-09-01,1021
"3111","Nordeste","MG","real data","real data","real data",2007-10-01,902
"3111","Nordeste","MG","real data","real data","real data",2007-11-01,952
"3111","Nordeste","MG","real data","real data","real data",2007-12-01,1027
"3111","Nordeste","MG","real data","real data","real data",2008-01-01,957
"3111","Nordeste","MG","real data","real data","real data",2008-02-01,1050
"3111","Nordeste","MG","real data","real data","real data",2008-03-01,1141
"3111","Nordeste","MG","real data","real data","real data",2008-04-01,1092
"3111","Nordeste","MG","real data","real data","real data",2008-05-01,1137
"3111","Nordeste","MG","real data","real data","real data",2008-06-01,1109
"3111","Nordeste","MG","real data","real data","real data",2008-07-01,1035
"3111","Nordeste","MG","real data","real data","real data",2008-08-01,999
"3111","Nordeste","MG","real data","real data","real data",2008-09-01,1079
"3111","Nordeste","MG","real data","real data","real data",2008-10-01,1069
"3111","Nordeste","MG","real data","real data","real data",2008-11-01,950
"3111","Nordeste","MG","real data","real data","real data",2008-12-01,980
"3111","Nordeste","MG","real data","real data","real data",2009-01-01,1122
"3111","Nordeste","MG","real data","real data","real data",2009-02-01,1008
