"mc_region","region_name","state","mape","id","desc","date","qtt"
"3113","Triângulo do Norte","MG","real data","real data","real data",2000-01-01,1403
"3113","Triângulo do Norte","MG","real data","real data","real data",2000-02-01,1476
"3113","Triângulo do Norte","MG","real data","real data","real data",2000-03-01,1563
"3113","Triângulo do Norte","MG","real data","real data","real data",2000-04-01,1508
"3113","Triângulo do Norte","MG","real data","real data","real data",2000-05-01,1571
"3113","Triângulo do Norte","MG","real data","real data","real data",2000-06-01,1373
"3113","Triângulo do Norte","MG","real data","real data","real data",2000-07-01,1417
"3113","Triângulo do Norte","MG","real data","real data","real data",2000-08-01,1432
"3113","Triângulo do Norte","MG","real data","real data","real data",2000-09-01,1430
"3113","Triângulo do Norte","MG","real data","real data","real data",2000-10-01,1413
"3113","Triângulo do Norte","MG","real data","real data","real data",2000-11-01,1354
"3113","Triângulo do Norte","MG","real data","real data","real data",2000-12-01,1446
"3113","Triângulo do Norte","MG","real data","real data","real data",2001-01-01,1479
"3113","Triângulo do Norte","MG","real data","real data","real data",2001-02-01,1395
"3113","Triângulo do Norte","MG","real data","real data","real data",2001-03-01,1484
"3113","Triângulo do Norte","MG","real data","real data","real data",2001-04-01,1399
"3113","Triângulo do Norte","MG","real data","real data","real data",2001-05-01,1538
"3113","Triângulo do Norte","MG","real data","real data","real data",2001-06-01,1341
"3113","Triângulo do Norte","MG","real data","real data","real data",2001-07-01,1331
"3113","Triângulo do Norte","MG","real data","real data","real data",2001-08-01,1292
"3113","Triângulo do Norte","MG","real data","real data","real data",2001-09-01,1330
"3113","Triângulo do Norte","MG","real data","real data","real data",2001-10-01,1293
"3113","Triângulo do Norte","MG","real data","real data","real data",2001-11-01,1293
"3113","Triângulo do Norte","MG","real data","real data","real data",2001-12-01,1248
"3113","Triângulo do Norte","MG","real data","real data","real data",2002-01-01,1402
"3113","Triângulo do Norte","MG","real data","real data","real data",2002-02-01,1362
"3113","Triângulo do Norte","MG","real data","real data","real data",2002-03-01,1428
"3113","Triângulo do Norte","MG","real data","real data","real data",2002-04-01,1443
"3113","Triângulo do Norte","MG","real data","real data","real data",2002-05-01,1336
"3113","Triângulo do Norte","MG","real data","real data","real data",2002-06-01,1242
"3113","Triângulo do Norte","MG","real data","real data","real data",2002-07-01,1305
"3113","Triângulo do Norte","MG","real data","real data","real data",2002-08-01,1219
"3113","Triângulo do Norte","MG","real data","real data","real data",2002-09-01,1291
"3113","Triângulo do Norte","MG","real data","real data","real data",2002-10-01,1256
"3113","Triângulo do Norte","MG","real data","real data","real data",2002-11-01,1243
"3113","Triângulo do Norte","MG","real data","real data","real data",2002-12-01,1283
"3113","Triângulo do Norte","MG","real data","real data","real data",2003-01-01,1336
"3113","Triângulo do Norte","MG","real data","real data","real data",2003-02-01,1283
"3113","Triângulo do Norte","MG","real data","real data","real data",2003-03-01,1449
"3113","Triângulo do Norte","MG","real data","real data","real data",2003-04-01,1354
"3113","Triângulo do Norte","MG","real data","real data","real data",2003-05-01,1322
"3113","Triângulo do Norte","MG","real data","real data","real data",2003-06-01,1313
"3113","Triângulo do Norte","MG","real data","real data","real data",2003-07-01,1349
"3113","Triângulo do Norte","MG","real data","real data","real data",2003-08-01,1296
"3113","Triângulo do Norte","MG","real data","real data","real data",2003-09-01,1377
"3113","Triângulo do Norte","MG","real data","real data","real data",2003-10-01,1287
"3113","Triângulo do Norte","MG","real data","real data","real data",2003-11-01,1125
"3113","Triângulo do Norte","MG","real data","real data","real data",2003-12-01,1301
"3113","Triângulo do Norte","MG","real data","real data","real data",2004-01-01,1425
"3113","Triângulo do Norte","MG","real data","real data","real data",2004-02-01,1333
"3113","Triângulo do Norte","MG","real data","real data","real data",2004-03-01,1488
"3113","Triângulo do Norte","MG","real data","real data","real data",2004-04-01,1387
"3113","Triângulo do Norte","MG","real data","real data","real data",2004-05-01,1378
"3113","Triângulo do Norte","MG","real data","real data","real data",2004-06-01,1298
"3113","Triângulo do Norte","MG","real data","real data","real data",2004-07-01,1370
"3113","Triângulo do Norte","MG","real data","real data","real data",2004-08-01,1240
"3113","Triângulo do Norte","MG","real data","real data","real data",2004-09-01,1304
"3113","Triângulo do Norte","MG","real data","real data","real data",2004-10-01,1230
"3113","Triângulo do Norte","MG","real data","real data","real data",2004-11-01,1253
"3113","Triângulo do Norte","MG","real data","real data","real data",2004-12-01,1225
"3113","Triângulo do Norte","MG","real data","real data","real data",2005-01-01,1331
"3113","Triângulo do Norte","MG","real data","real data","real data",2005-02-01,1245
"3113","Triângulo do Norte","MG","real data","real data","real data",2005-03-01,1531
"3113","Triângulo do Norte","MG","real data","real data","real data",2005-04-01,1432
"3113","Triângulo do Norte","MG","real data","real data","real data",2005-05-01,1503
"3113","Triângulo do Norte","MG","real data","real data","real data",2005-06-01,1300
"3113","Triângulo do Norte","MG","real data","real data","real data",2005-07-01,1303
"3113","Triângulo do Norte","MG","real data","real data","real data",2005-08-01,1221
"3113","Triângulo do Norte","MG","real data","real data","real data",2005-09-01,1389
"3113","Triângulo do Norte","MG","real data","real data","real data",2005-10-01,1237
"3113","Triângulo do Norte","MG","real data","real data","real data",2005-11-01,1177
"3113","Triângulo do Norte","MG","real data","real data","real data",2005-12-01,1192
"3113","Triângulo do Norte","MG","real data","real data","real data",2006-01-01,1273
"3113","Triângulo do Norte","MG","real data","real data","real data",2006-02-01,1175
"3113","Triângulo do Norte","MG","real data","real data","real data",2006-03-01,1412
"3113","Triângulo do Norte","MG","real data","real data","real data",2006-04-01,1389
"3113","Triângulo do Norte","MG","real data","real data","real data",2006-05-01,1394
"3113","Triângulo do Norte","MG","real data","real data","real data",2006-06-01,1316
"3113","Triângulo do Norte","MG","real data","real data","real data",2006-07-01,1265
"3113","Triângulo do Norte","MG","real data","real data","real data",2006-08-01,1292
"3113","Triângulo do Norte","MG","real data","real data","real data",2006-09-01,1314
"3113","Triângulo do Norte","MG","real data","real data","real data",2006-10-01,1305
"3113","Triângulo do Norte","MG","real data","real data","real data",2006-11-01,1148
"3113","Triângulo do Norte","MG","real data","real data","real data",2006-12-01,1160
"3113","Triângulo do Norte","MG","real data","real data","real data",2007-01-01,1222
"3113","Triângulo do Norte","MG","real data","real data","real data",2007-02-01,1295
"3113","Triângulo do Norte","MG","real data","real data","real data",2007-03-01,1416
"3113","Triângulo do Norte","MG","real data","real data","real data",2007-04-01,1375
"3113","Triângulo do Norte","MG","real data","real data","real data",2007-05-01,1351
"3113","Triângulo do Norte","MG","real data","real data","real data",2007-06-01,1292
"3113","Triângulo do Norte","MG","real data","real data","real data",2007-07-01,1281
"3113","Triângulo do Norte","MG","real data","real data","real data",2007-08-01,1227
"3113","Triângulo do Norte","MG","real data","real data","real data",2007-09-01,1181
"3113","Triângulo do Norte","MG","real data","real data","real data",2007-10-01,1222
"3113","Triângulo do Norte","MG","real data","real data","real data",2007-11-01,1203
"3113","Triângulo do Norte","MG","real data","real data","real data",2007-12-01,1171
"3113","Triângulo do Norte","MG","real data","real data","real data",2008-01-01,1289
"3113","Triângulo do Norte","MG","real data","real data","real data",2008-02-01,1317
"3113","Triângulo do Norte","MG","real data","real data","real data",2008-03-01,1333
"3113","Triângulo do Norte","MG","real data","real data","real data",2008-04-01,1410
"3113","Triângulo do Norte","MG","real data","real data","real data",2008-05-01,1335
"3113","Triângulo do Norte","MG","real data","real data","real data",2008-06-01,1234
"3113","Triângulo do Norte","MG","real data","real data","real data",2008-07-01,1289
"3113","Triângulo do Norte","MG","real data","real data","real data",2008-08-01,1211
"3113","Triângulo do Norte","MG","real data","real data","real data",2008-09-01,1295
"3113","Triângulo do Norte","MG","real data","real data","real data",2008-10-01,1271
"3113","Triângulo do Norte","MG","real data","real data","real data",2008-11-01,1192
"3113","Triângulo do Norte","MG","real data","real data","real data",2008-12-01,1179
"3113","Triângulo do Norte","MG","real data","real data","real data",2009-01-01,1326
"3113","Triângulo do Norte","MG","real data","real data","real data",2009-02-01,1307
"3113","Triângulo do Norte","MG","real data","real data","real data",2009-03-01,1380
"3113","Triângulo do Norte","MG","real data","real data","real data",2009-04-01,1383
"3113","Triângulo do Norte","MG","real data","real data","real data",2009-05-01,1354
"3113","Triângulo do Norte","MG","real data","real data","real data",2009-06-01,1303
"3113","Triângulo do Norte","MG","real data","real data","real data",2009-07-01,1203
"3113","Triângulo do Norte","MG","real data","real data","real data",2009-08-01,1181
"3113","Triângulo do Norte","MG","real data","real data","real data",2009-09-01,1298
"3113","Triângulo do Norte","MG","real data","real data","real data",2009-10-01,1250
"3113","Triângulo do Norte","MG","real data","real data","real data",2009-11-01,1155
