"mc_region","region_name","state","mape","id","desc","date","qtt"
"3312","Macrorregião I","RJ","real data","real data","real data",2000-01-01,20220
"3312","Macrorregião I","RJ","real data","real data","real data",2000-02-01,22716
"3312","Macrorregião I","RJ","real data","real data","real data",2000-03-01,23841
"3312","Macrorregião I","RJ","real data","real data","real data",2000-04-01,22636
"3312","Macrorregião I","RJ","real data","real data","real data",2000-05-01,23959
"3312","Macrorregião I","RJ","real data","real data","real data",2000-06-01,22058
"3312","Macrorregião I","RJ","real data","real data","real data",2000-07-01,22599
"3312","Macrorregião I","RJ","real data","real data","real data",2000-08-01,22220
"3312","Macrorregião I","RJ","real data","real data","real data",2000-09-01,20468
"3312","Macrorregião I","RJ","real data","real data","real data",2000-10-01,19659
"3312","Macrorregião I","RJ","real data","real data","real data",2000-11-01,18959
"3312","Macrorregião I","RJ","real data","real data","real data",2000-12-01,19695
"3312","Macrorregião I","RJ","real data","real data","real data",2001-01-01,21051
"3312","Macrorregião I","RJ","real data","real data","real data",2001-02-01,19917
"3312","Macrorregião I","RJ","real data","real data","real data",2001-03-01,23300
"3312","Macrorregião I","RJ","real data","real data","real data",2001-04-01,21653
"3312","Macrorregião I","RJ","real data","real data","real data",2001-05-01,22688
"3312","Macrorregião I","RJ","real data","real data","real data",2001-06-01,20582
"3312","Macrorregião I","RJ","real data","real data","real data",2001-07-01,20111
"3312","Macrorregião I","RJ","real data","real data","real data",2001-08-01,19423
"3312","Macrorregião I","RJ","real data","real data","real data",2001-09-01,18801
"3312","Macrorregião I","RJ","real data","real data","real data",2001-10-01,18347
"3312","Macrorregião I","RJ","real data","real data","real data",2001-11-01,17628
"3312","Macrorregião I","RJ","real data","real data","real data",2001-12-01,18795
"3312","Macrorregião I","RJ","real data","real data","real data",2002-01-01,20422
"3312","Macrorregião I","RJ","real data","real data","real data",2002-02-01,19302
"3312","Macrorregião I","RJ","real data","real data","real data",2002-03-01,21718
"3312","Macrorregião I","RJ","real data","real data","real data",2002-04-01,21383
"3312","Macrorregião I","RJ","real data","real data","real data",2002-05-01,21944
"3312","Macrorregião I","RJ","real data","real data","real data",2002-06-01,20118
"3312","Macrorregião I","RJ","real data","real data","real data",2002-07-01,20586
"3312","Macrorregião I","RJ","real data","real data","real data",2002-08-01,18407
"3312","Macrorregião I","RJ","real data","real data","real data",2002-09-01,17146
"3312","Macrorregião I","RJ","real data","real data","real data",2002-10-01,17107
"3312","Macrorregião I","RJ","real data","real data","real data",2002-11-01,16399
"3312","Macrorregião I","RJ","real data","real data","real data",2002-12-01,17670
"3312","Macrorregião I","RJ","real data","real data","real data",2003-01-01,19687
"3312","Macrorregião I","RJ","real data","real data","real data",2003-02-01,19059
"3312","Macrorregião I","RJ","real data","real data","real data",2003-03-01,20860
"3312","Macrorregião I","RJ","real data","real data","real data",2003-04-01,20691
"3312","Macrorregião I","RJ","real data","real data","real data",2003-05-01,21510
"3312","Macrorregião I","RJ","real data","real data","real data",2003-06-01,20686
"3312","Macrorregião I","RJ","real data","real data","real data",2003-07-01,20325
"3312","Macrorregião I","RJ","real data","real data","real data",2003-08-01,18603
"3312","Macrorregião I","RJ","real data","real data","real data",2003-09-01,17957
"3312","Macrorregião I","RJ","real data","real data","real data",2003-10-01,17734
"3312","Macrorregião I","RJ","real data","real data","real data",2003-11-01,16847
"3312","Macrorregião I","RJ","real data","real data","real data",2003-12-01,18279
"3312","Macrorregião I","RJ","real data","real data","real data",2004-01-01,20249
"3312","Macrorregião I","RJ","real data","real data","real data",2004-02-01,19179
"3312","Macrorregião I","RJ","real data","real data","real data",2004-03-01,21532
"3312","Macrorregião I","RJ","real data","real data","real data",2004-04-01,20411
"3312","Macrorregião I","RJ","real data","real data","real data",2004-05-01,20852
"3312","Macrorregião I","RJ","real data","real data","real data",2004-06-01,19964
"3312","Macrorregião I","RJ","real data","real data","real data",2004-07-01,19094
"3312","Macrorregião I","RJ","real data","real data","real data",2004-08-01,18265
"3312","Macrorregião I","RJ","real data","real data","real data",2004-09-01,17862
"3312","Macrorregião I","RJ","real data","real data","real data",2004-10-01,17203
"3312","Macrorregião I","RJ","real data","real data","real data",2004-11-01,17429
"3312","Macrorregião I","RJ","real data","real data","real data",2004-12-01,17834
"3312","Macrorregião I","RJ","real data","real data","real data",2005-01-01,18430
"3312","Macrorregião I","RJ","real data","real data","real data",2005-02-01,17951
"3312","Macrorregião I","RJ","real data","real data","real data",2005-03-01,21441
"3312","Macrorregião I","RJ","real data","real data","real data",2005-04-01,20355
"3312","Macrorregião I","RJ","real data","real data","real data",2005-05-01,21178
"3312","Macrorregião I","RJ","real data","real data","real data",2005-06-01,19173
"3312","Macrorregião I","RJ","real data","real data","real data",2005-07-01,18551
"3312","Macrorregião I","RJ","real data","real data","real data",2005-08-01,18069
"3312","Macrorregião I","RJ","real data","real data","real data",2005-09-01,17566
"3312","Macrorregião I","RJ","real data","real data","real data",2005-10-01,17149
"3312","Macrorregião I","RJ","real data","real data","real data",2005-11-01,16416
"3312","Macrorregião I","RJ","real data","real data","real data",2005-12-01,16800
"3312","Macrorregião I","RJ","real data","real data","real data",2006-01-01,17595
"3312","Macrorregião I","RJ","real data","real data","real data",2006-02-01,17072
"3312","Macrorregião I","RJ","real data","real data","real data",2006-03-01,20499
"3312","Macrorregião I","RJ","real data","real data","real data",2006-04-01,19822
"3312","Macrorregião I","RJ","real data","real data","real data",2006-05-01,20391
"3312","Macrorregião I","RJ","real data","real data","real data",2006-06-01,18849
