"mc_region","region_name","state","mape","id","desc","date","qtt"
"4105","Macrorregional Norte","PR","real data","real data","real data",2000-01-01,2628
"4105","Macrorregional Norte","PR","real data","real data","real data",2000-02-01,2621
"4105","Macrorregional Norte","PR","real data","real data","real data",2000-03-01,2796
"4105","Macrorregional Norte","PR","real data","real data","real data",2000-04-01,2567
"4105","Macrorregional Norte","PR","real data","real data","real data",2000-05-01,2768
"4105","Macrorregional Norte","PR","real data","real data","real data",2000-06-01,2556
"4105","Macrorregional Norte","PR","real data","real data","real data",2000-07-01,2571
"4105","Macrorregional Norte","PR","real data","real data","real data",2000-08-01,2565
"4105","Macrorregional Norte","PR","real data","real data","real data",2000-09-01,2402
"4105","Macrorregional Norte","PR","real data","real data","real data",2000-10-01,2395
"4105","Macrorregional Norte","PR","real data","real data","real data",2000-11-01,2191
"4105","Macrorregional Norte","PR","real data","real data","real data",2000-12-01,2293
"4105","Macrorregional Norte","PR","real data","real data","real data",2001-01-01,2413
"4105","Macrorregional Norte","PR","real data","real data","real data",2001-02-01,2283
"4105","Macrorregional Norte","PR","real data","real data","real data",2001-03-01,2409
"4105","Macrorregional Norte","PR","real data","real data","real data",2001-04-01,2342
"4105","Macrorregional Norte","PR","real data","real data","real data",2001-05-01,2529
"4105","Macrorregional Norte","PR","real data","real data","real data",2001-06-01,2271
"4105","Macrorregional Norte","PR","real data","real data","real data",2001-07-01,2336
"4105","Macrorregional Norte","PR","real data","real data","real data",2001-08-01,2250
"4105","Macrorregional Norte","PR","real data","real data","real data",2001-09-01,2276
"4105","Macrorregional Norte","PR","real data","real data","real data",2001-10-01,2141
"4105","Macrorregional Norte","PR","real data","real data","real data",2001-11-01,2103
"4105","Macrorregional Norte","PR","real data","real data","real data",2001-12-01,2225
"4105","Macrorregional Norte","PR","real data","real data","real data",2002-01-01,2244
"4105","Macrorregional Norte","PR","real data","real data","real data",2002-02-01,2227
"4105","Macrorregional Norte","PR","real data","real data","real data",2002-03-01,2514
"4105","Macrorregional Norte","PR","real data","real data","real data",2002-04-01,2431
"4105","Macrorregional Norte","PR","real data","real data","real data",2002-05-01,2451
"4105","Macrorregional Norte","PR","real data","real data","real data",2002-06-01,2276
"4105","Macrorregional Norte","PR","real data","real data","real data",2002-07-01,2209
"4105","Macrorregional Norte","PR","real data","real data","real data",2002-08-01,2231
"4105","Macrorregional Norte","PR","real data","real data","real data",2002-09-01,2245
"4105","Macrorregional Norte","PR","real data","real data","real data",2002-10-01,2233
"4105","Macrorregional Norte","PR","real data","real data","real data",2002-11-01,2104
"4105","Macrorregional Norte","PR","real data","real data","real data",2002-12-01,2007
"4105","Macrorregional Norte","PR","real data","real data","real data",2003-01-01,2096
"4105","Macrorregional Norte","PR","real data","real data","real data",2003-02-01,2175
"4105","Macrorregional Norte","PR","real data","real data","real data",2003-03-01,2395
"4105","Macrorregional Norte","PR","real data","real data","real data",2003-04-01,2327
"4105","Macrorregional Norte","PR","real data","real data","real data",2003-05-01,2366
"4105","Macrorregional Norte","PR","real data","real data","real data",2003-06-01,2191
"4105","Macrorregional Norte","PR","real data","real data","real data",2003-07-01,2113
"4105","Macrorregional Norte","PR","real data","real data","real data",2003-08-01,2167
"4105","Macrorregional Norte","PR","real data","real data","real data",2003-09-01,2167
"4105","Macrorregional Norte","PR","real data","real data","real data",2003-10-01,1947
"4105","Macrorregional Norte","PR","real data","real data","real data",2003-11-01,1906
"4105","Macrorregional Norte","PR","real data","real data","real data",2003-12-01,2130
"4105","Macrorregional Norte","PR","real data","real data","real data",2004-01-01,2315
"4105","Macrorregional Norte","PR","real data","real data","real data",2004-02-01,2224
"4105","Macrorregional Norte","PR","real data","real data","real data",2004-03-01,2449
