"mc_region","region_name","state","mape","id","desc","date","qtt"
"4106","Macrorregional Noroeste","PR","real data","real data","real data",2000-01-01,2174
"4106","Macrorregional Noroeste","PR","real data","real data","real data",2000-02-01,2280
"4106","Macrorregional Noroeste","PR","real data","real data","real data",2000-03-01,2422
"4106","Macrorregional Noroeste","PR","real data","real data","real data",2000-04-01,2146
"4106","Macrorregional Noroeste","PR","real data","real data","real data",2000-05-01,2354
"4106","Macrorregional Noroeste","PR","real data","real data","real data",2000-06-01,2130
"4106","Macrorregional Noroeste","PR","real data","real data","real data",2000-07-01,2306
"4106","Macrorregional Noroeste","PR","real data","real data","real data",2000-08-01,2261
"4106","Macrorregional Noroeste","PR","real data","real data","real data",2000-09-01,2214
"4106","Macrorregional Noroeste","PR","real data","real data","real data",2000-10-01,1996
"4106","Macrorregional Noroeste","PR","real data","real data","real data",2000-11-01,1884
"4106","Macrorregional Noroeste","PR","real data","real data","real data",2000-12-01,1930
"4106","Macrorregional Noroeste","PR","real data","real data","real data",2001-01-01,2094
"4106","Macrorregional Noroeste","PR","real data","real data","real data",2001-02-01,1971
"4106","Macrorregional Noroeste","PR","real data","real data","real data",2001-03-01,2186
"4106","Macrorregional Noroeste","PR","real data","real data","real data",2001-04-01,2005
"4106","Macrorregional Noroeste","PR","real data","real data","real data",2001-05-01,2080
"4106","Macrorregional Noroeste","PR","real data","real data","real data",2001-06-01,1997
"4106","Macrorregional Noroeste","PR","real data","real data","real data",2001-07-01,1932
"4106","Macrorregional Noroeste","PR","real data","real data","real data",2001-08-01,1986
"4106","Macrorregional Noroeste","PR","real data","real data","real data",2001-09-01,2087
"4106","Macrorregional Noroeste","PR","real data","real data","real data",2001-10-01,1851
"4106","Macrorregional Noroeste","PR","real data","real data","real data",2001-11-01,1749
"4106","Macrorregional Noroeste","PR","real data","real data","real data",2001-12-01,1839
"4106","Macrorregional Noroeste","PR","real data","real data","real data",2002-01-01,2013
"4106","Macrorregional Noroeste","PR","real data","real data","real data",2002-02-01,1883
