"mc_region","region_name","state","mape","id","desc","date","qtt"
"4107","Macrorregional Leste","PR","real data","real data","real data",2000-01-01,7464
"4107","Macrorregional Leste","PR","real data","real data","real data",2000-02-01,7474
"4107","Macrorregional Leste","PR","real data","real data","real data",2000-03-01,7779
"4107","Macrorregional Leste","PR","real data","real data","real data",2000-04-01,7373
"4107","Macrorregional Leste","PR","real data","real data","real data",2000-05-01,7884
"4107","Macrorregional Leste","PR","real data","real data","real data",2000-06-01,7551
"4107","Macrorregional Leste","PR","real data","real data","real data",2000-07-01,7620
"4107","Macrorregional Leste","PR","real data","real data","real data",2000-08-01,7770
"4107","Macrorregional Leste","PR","real data","real data","real data",2000-09-01,7770
"4107","Macrorregional Leste","PR","real data","real data","real data",2000-10-01,7233
"4107","Macrorregional Leste","PR","real data","real data","real data",2000-11-01,6835
"4107","Macrorregional Leste","PR","real data","real data","real data",2000-12-01,7083
"4107","Macrorregional Leste","PR","real data","real data","real data",2001-01-01,7596
"4107","Macrorregional Leste","PR","real data","real data","real data",2001-02-01,6874
"4107","Macrorregional Leste","PR","real data","real data","real data",2001-03-01,7419
"4107","Macrorregional Leste","PR","real data","real data","real data",2001-04-01,7062
"4107","Macrorregional Leste","PR","real data","real data","real data",2001-05-01,7659
"4107","Macrorregional Leste","PR","real data","real data","real data",2001-06-01,7299
"4107","Macrorregional Leste","PR","real data","real data","real data",2001-07-01,7175
"4107","Macrorregional Leste","PR","real data","real data","real data",2001-08-01,7170
"4107","Macrorregional Leste","PR","real data","real data","real data",2001-09-01,7087
"4107","Macrorregional Leste","PR","real data","real data","real data",2001-10-01,7037
"4107","Macrorregional Leste","PR","real data","real data","real data",2001-11-01,6425
"4107","Macrorregional Leste","PR","real data","real data","real data",2001-12-01,6964
"4107","Macrorregional Leste","PR","real data","real data","real data",2002-01-01,7357
"4107","Macrorregional Leste","PR","real data","real data","real data",2002-02-01,6719
"4107","Macrorregional Leste","PR","real data","real data","real data",2002-03-01,7687
"4107","Macrorregional Leste","PR","real data","real data","real data",2002-04-01,7341
"4107","Macrorregional Leste","PR","real data","real data","real data",2002-05-01,7289
"4107","Macrorregional Leste","PR","real data","real data","real data",2002-06-01,6956
"4107","Macrorregional Leste","PR","real data","real data","real data",2002-07-01,7462
"4107","Macrorregional Leste","PR","real data","real data","real data",2002-08-01,7100
"4107","Macrorregional Leste","PR","real data","real data","real data",2002-09-01,7260
"4107","Macrorregional Leste","PR","real data","real data","real data",2002-10-01,6852
"4107","Macrorregional Leste","PR","real data","real data","real data",2002-11-01,6303
"4107","Macrorregional Leste","PR","real data","real data","real data",2002-12-01,6413
"4107","Macrorregional Leste","PR","real data","real data","real data",2003-01-01,6692
"4107","Macrorregional Leste","PR","real data","real data","real data",2003-02-01,6335
"4107","Macrorregional Leste","PR","real data","real data","real data",2003-03-01,6855
"4107","Macrorregional Leste","PR","real data","real data","real data",2003-04-01,6986
"4107","Macrorregional Leste","PR","real data","real data","real data",2003-05-01,7101
"4107","Macrorregional Leste","PR","real data","real data","real data",2003-06-01,6776
"4107","Macrorregional Leste","PR","real data","real data","real data",2003-07-01,6941
"4107","Macrorregional Leste","PR","real data","real data","real data",2003-08-01,6728
"4107","Macrorregional Leste","PR","real data","real data","real data",2003-09-01,6820
"4107","Macrorregional Leste","PR","real data","real data","real data",2003-10-01,6533
"4107","Macrorregional Leste","PR","real data","real data","real data",2003-11-01,6148
"4107","Macrorregional Leste","PR","real data","real data","real data",2003-12-01,6420
"4107","Macrorregional Leste","PR","real data","real data","real data",2004-01-01,6883
"4107","Macrorregional Leste","PR","real data","real data","real data",2004-02-01,6420
"4107","Macrorregional Leste","PR","real data","real data","real data",2004-03-01,7099
"4107","Macrorregional Leste","PR","real data","real data","real data",2004-04-01,6770
"4107","Macrorregional Leste","PR","real data","real data","real data",2004-05-01,7267
"4107","Macrorregional Leste","PR","real data","real data","real data",2004-06-01,6706
"4107","Macrorregional Leste","PR","real data","real data","real data",2004-07-01,6670
"4107","Macrorregional Leste","PR","real data","real data","real data",2004-08-01,6797
"4107","Macrorregional Leste","PR","real data","real data","real data",2004-09-01,6985
"4107","Macrorregional Leste","PR","real data","real data","real data",2004-10-01,6725
"4107","Macrorregional Leste","PR","real data","real data","real data",2004-11-01,6280
"4107","Macrorregional Leste","PR","real data","real data","real data",2004-12-01,6480
"4107","Macrorregional Leste","PR","real data","real data","real data",2005-01-01,6580
"4107","Macrorregional Leste","PR","real data","real data","real data",2005-02-01,6144
"4107","Macrorregional Leste","PR","real data","real data","real data",2005-03-01,7177
"4107","Macrorregional Leste","PR","real data","real data","real data",2005-04-01,7179
"4107","Macrorregional Leste","PR","real data","real data","real data",2005-05-01,7265
"4107","Macrorregional Leste","PR","real data","real data","real data",2005-06-01,6847
"4107","Macrorregional Leste","PR","real data","real data","real data",2005-07-01,7019
"4107","Macrorregional Leste","PR","real data","real data","real data",2005-08-01,6957
"4107","Macrorregional Leste","PR","real data","real data","real data",2005-09-01,6927
"4107","Macrorregional Leste","PR","real data","real data","real data",2005-10-01,6569
"4107","Macrorregional Leste","PR","real data","real data","real data",2005-11-01,6297
"4107","Macrorregional Leste","PR","real data","real data","real data",2005-12-01,6505
"4107","Macrorregional Leste","PR","real data","real data","real data",2006-01-01,6544
"4107","Macrorregional Leste","PR","real data","real data","real data",2006-02-01,6359
"4107","Macrorregional Leste","PR","real data","real data","real data",2006-03-01,7169
"4107","Macrorregional Leste","PR","real data","real data","real data",2006-04-01,6754
"4107","Macrorregional Leste","PR","real data","real data","real data",2006-05-01,7161
"4107","Macrorregional Leste","PR","real data","real data","real data",2006-06-01,6617
"4107","Macrorregional Leste","PR","real data","real data","real data",2006-07-01,6651
"4107","Macrorregional Leste","PR","real data","real data","real data",2006-08-01,6720
"4107","Macrorregional Leste","PR","real data","real data","real data",2006-09-01,6536
"4107","Macrorregional Leste","PR","real data","real data","real data",2006-10-01,6399
"4107","Macrorregional Leste","PR","real data","real data","real data",2006-11-01,6011
"4107","Macrorregional Leste","PR","real data","real data","real data",2006-12-01,6315
"4107","Macrorregional Leste","PR","real data","real data","real data",2007-01-01,6824
"4107","Macrorregional Leste","PR","real data","real data","real data",2007-02-01,6259
"4107","Macrorregional Leste","PR","real data","real data","real data",2007-03-01,6818
"4107","Macrorregional Leste","PR","real data","real data","real data",2007-04-01,6376
"4107","Macrorregional Leste","PR","real data","real data","real data",2007-05-01,6653
"4107","Macrorregional Leste","PR","real data","real data","real data",2007-06-01,6387
"4107","Macrorregional Leste","PR","real data","real data","real data",2007-07-01,6602
"4107","Macrorregional Leste","PR","real data","real data","real data",2007-08-01,6218
"4107","Macrorregional Leste","PR","real data","real data","real data",2007-09-01,6099
"4107","Macrorregional Leste","PR","real data","real data","real data",2007-10-01,6074
"4107","Macrorregional Leste","PR","real data","real data","real data",2007-11-01,5872
"4107","Macrorregional Leste","PR","real data","real data","real data",2007-12-01,5999
"4107","Macrorregional Leste","PR","real data","real data","real data",2008-01-01,6374
"4107","Macrorregional Leste","PR","real data","real data","real data",2008-02-01,6237
"4107","Macrorregional Leste","PR","real data","real data","real data",2008-03-01,6841
"4107","Macrorregional Leste","PR","real data","real data","real data",2008-04-01,6744
"4107","Macrorregional Leste","PR","real data","real data","real data",2008-05-01,7096
"4107","Macrorregional Leste","PR","real data","real data","real data",2008-06-01,6317
"4107","Macrorregional Leste","PR","real data","real data","real data",2008-07-01,6472
"4107","Macrorregional Leste","PR","real data","real data","real data",2008-08-01,6476
"4107","Macrorregional Leste","PR","real data","real data","real data",2008-09-01,6615
"4107","Macrorregional Leste","PR","real data","real data","real data",2008-10-01,6378
"4107","Macrorregional Leste","PR","real data","real data","real data",2008-11-01,5885
"4107","Macrorregional Leste","PR","real data","real data","real data",2008-12-01,6413
"4107","Macrorregional Leste","PR","real data","real data","real data",2009-01-01,6653
"4107","Macrorregional Leste","PR","real data","real data","real data",2009-02-01,6050
"4107","Macrorregional Leste","PR","real data","real data","real data",2009-03-01,6737
"4107","Macrorregional Leste","PR","real data","real data","real data",2009-04-01,6372
"4107","Macrorregional Leste","PR","real data","real data","real data",2009-05-01,6247
"4107","Macrorregional Leste","PR","real data","real data","real data",2009-06-01,6311
"4107","Macrorregional Leste","PR","real data","real data","real data",2009-07-01,6399
"4107","Macrorregional Leste","PR","real data","real data","real data",2009-08-01,6474
"4107","Macrorregional Leste","PR","real data","real data","real data",2009-09-01,6722
"4107","Macrorregional Leste","PR","real data","real data","real data",2009-10-01,6496
"4107","Macrorregional Leste","PR","real data","real data","real data",2009-11-01,5820
"4107","Macrorregional Leste","PR","real data","real data","real data",2009-12-01,6338
"4107","Macrorregional Leste","PR","real data","real data","real data",2010-01-01,6536
"4107","Macrorregional Leste","PR","real data","real data","real data",2010-02-01,6327
"4107","Macrorregional Leste","PR","real data","real data","real data",2010-03-01,7220
"4107","Macrorregional Leste","PR","real data","real data","real data",2010-04-01,6378
"4107","Macrorregional Leste","PR","real data","real data","real data",2010-05-01,6802
"4107","Macrorregional Leste","PR","real data","real data","real data",2010-06-01,6526
"4107","Macrorregional Leste","PR","real data","real data","real data",2010-07-01,6658
"4107","Macrorregional Leste","PR","real data","real data","real data",2010-08-01,6289
"4107","Macrorregional Leste","PR","real data","real data","real data",2010-09-01,6334
"4107","Macrorregional Leste","PR","real data","real data","real data",2010-10-01,6139
"4107","Macrorregional Leste","PR","real data","real data","real data",2010-11-01,5829
"4107","Macrorregional Leste","PR","real data","real data","real data",2010-12-01,6600
"4107","Macrorregional Leste","PR","real data","real data","real data",2011-01-01,6756
"4107","Macrorregional Leste","PR","real data","real data","real data",2011-02-01,6400
"4107","Macrorregional Leste","PR","real data","real data","real data",2011-03-01,7138
"4107","Macrorregional Leste","PR","real data","real data","real data",2011-04-01,6610
"4107","Macrorregional Leste","PR","real data","real data","real data",2011-05-01,6796
"4107","Macrorregional Leste","PR","real data","real data","real data",2011-06-01,6508
"4107","Macrorregional Leste","PR","real data","real data","real data",2011-07-01,6576
"4107","Macrorregional Leste","PR","real data","real data","real data",2011-08-01,6444
"4107","Macrorregional Leste","PR","real data","real data","real data",2011-09-01,6345
"4107","Macrorregional Leste","PR","real data","real data","real data",2011-10-01,5983
"4107","Macrorregional Leste","PR","real data","real data","real data",2011-11-01,5901
"4107","Macrorregional Leste","PR","real data","real data","real data",2011-12-01,6260
"4107","Macrorregional Leste","PR","real data","real data","real data",2012-01-01,6800
"4107","Macrorregional Leste","PR","real data","real data","real data",2012-02-01,6436
"4107","Macrorregional Leste","PR","real data","real data","real data",2012-03-01,7222
"4107","Macrorregional Leste","PR","real data","real data","real data",2012-04-01,6549
"4107","Macrorregional Leste","PR","real data","real data","real data",2012-05-01,6759
"4107","Macrorregional Leste","PR","real data","real data","real data",2012-06-01,6560
"4107","Macrorregional Leste","PR","real data","real data","real data",2012-07-01,6593
"4107","Macrorregional Leste","PR","real data","real data","real data",2012-08-01,6536
"4107","Macrorregional Leste","PR","real data","real data","real data",2012-09-01,6297
"4107","Macrorregional Leste","PR","real data","real data","real data",2012-10-01,6463
"4107","Macrorregional Leste","PR","real data","real data","real data",2012-11-01,6060
"4107","Macrorregional Leste","PR","real data","real data","real data",2012-12-01,6367
"4107","Macrorregional Leste","PR","real data","real data","real data",2013-01-01,6887
"4107","Macrorregional Leste","PR","real data","real data","real data",2013-02-01,6358
"4107","Macrorregional Leste","PR","real data","real data","real data",2013-03-01,6863
"4107","Macrorregional Leste","PR","real data","real data","real data",2013-04-01,7018
"4107","Macrorregional Leste","PR","real data","real data","real data",2013-05-01,6760
"4107","Macrorregional Leste","PR","real data","real data","real data",2013-06-01,6403
"4107","Macrorregional Leste","PR","real data","real data","real data",2013-07-01,6672
"4107","Macrorregional Leste","PR","real data","real data","real data",2013-08-01,6472
"4107","Macrorregional Leste","PR","real data","real data","real data",2013-09-01,6415
"4107","Macrorregional Leste","PR","real data","real data","real data",2013-10-01,6530
"4107","Macrorregional Leste","PR","real data","real data","real data",2013-11-01,6120
"4107","Macrorregional Leste","PR","real data","real data","real data",2013-12-01,6476
"4107","Macrorregional Leste","PR","real data","real data","real data",2014-01-01,7089
"4107","Macrorregional Leste","PR","real data","real data","real data",2014-02-01,6569
"4107","Macrorregional Leste","PR","real data","real data","real data",2014-03-01,6964
"4107","Macrorregional Leste","PR","real data","real data","real data",2014-04-01,6828
"4107","Macrorregional Leste","PR","real data","real data","real data",2014-05-01,7104
"4107","Macrorregional Leste","PR","real data","real data","real data",2014-06-01,6562
"4107","Macrorregional Leste","PR","real data","real data","real data",2014-07-01,7038
"4107","Macrorregional Leste","PR","real data","real data","real data",2014-08-01,6760
"4107","Macrorregional Leste","PR","real data","real data","real data",2014-09-01,6745
"4107","Macrorregional Leste","PR","real data","real data","real data",2014-10-01,6185
"4107","Macrorregional Leste","PR","real data","real data","real data",2014-11-01,6050
"4107","Macrorregional Leste","PR","real data","real data","real data",2014-12-01,6702
"4107","Macrorregional Leste","PR","real data","real data","real data",2015-01-01,7164
"4107","Macrorregional Leste","PR","real data","real data","real data",2015-02-01,6424
"4107","Macrorregional Leste","PR","real data","real data","real data",2015-03-01,7361
"4107","Macrorregional Leste","PR","real data","real data","real data",2015-04-01,7006
"4107","Macrorregional Leste","PR","real data","real data","real data",2015-05-01,7173
"4107","Macrorregional Leste","PR","real data","real data","real data",2015-06-01,6772
"4107","Macrorregional Leste","PR","real data","real data","real data",2015-07-01,6751
"4107","Macrorregional Leste","PR","real data","real data","real data",2015-08-01,6619
"4107","Macrorregional Leste","PR","real data","real data","real data",2015-09-01,6605
"4107","Macrorregional Leste","PR","real data","real data","real data",2015-10-01,6147
"4107","Macrorregional Leste","PR","real data","real data","real data",2015-11-01,6112
"4107","Macrorregional Leste","PR","real data","real data","real data",2015-12-01,6749
"4107","Macrorregional Leste","PR","real data","real data","real data",2016-01-01,6864
"4107","Macrorregional Leste","PR","real data","real data","real data",2016-02-01,6761
"4107","Macrorregional Leste","PR","real data","real data","real data",2016-03-01,7019
"4107","Macrorregional Leste","PR","real data","real data","real data",2016-04-01,6945
"4107","Macrorregional Leste","PR","real data","real data","real data",2016-05-01,6827
"4107","Macrorregional Leste","PR","real data","real data","real data",2016-06-01,6431
"4107","Macrorregional Leste","PR","real data","real data","real data",2016-07-01,6320
"4107","Macrorregional Leste","PR","real data","real data","real data",2016-08-01,6415
"4107","Macrorregional Leste","PR","real data","real data","real data",2016-09-01,6205
"4107","Macrorregional Leste","PR","real data","real data","real data",2016-10-01,5839
"4107","Macrorregional Leste","PR","real data","real data","real data",2016-11-01,5508
"4107","Macrorregional Leste","PR","real data","real data","real data",2016-12-01,5942
"4107","Macrorregional Leste","PR","real data","real data","real data",2017-01-01,6087
"4107","Macrorregional Leste","PR","real data","real data","real data",2017-02-01,5995
"4107","Macrorregional Leste","PR","real data","real data","real data",2017-03-01,7285
"4107","Macrorregional Leste","PR","real data","real data","real data",2017-04-01,6672
"4107","Macrorregional Leste","PR","real data","real data","real data",2017-05-01,7202
"4107","Macrorregional Leste","PR","real data","real data","real data",2017-06-01,6734
"4107","Macrorregional Leste","PR","real data","real data","real data",2017-07-01,6634
"4107","Macrorregional Leste","PR","real data","real data","real data",2017-08-01,6493
"4107","Macrorregional Leste","PR","real data","real data","real data",2017-09-01,6117
"4107","Macrorregional Leste","PR","real data","real data","real data",2017-10-01,5950
"4107","Macrorregional Leste","PR","real data","real data","real data",2017-11-01,5879
"4107","Macrorregional Leste","PR","real data","real data","real data",2017-12-01,6050
"4107","Macrorregional Leste","PR","real data","real data","real data",2018-01-01,6529
"4107","Macrorregional Leste","PR","real data","real data","real data",2018-02-01,6048
"4107","Macrorregional Leste","PR","real data","real data","real data",2018-03-01,6893
"4107","Macrorregional Leste","PR","real data","real data","real data",2018-04-01,6568
"4107","Macrorregional Leste","PR","real data","real data","real data",2018-05-01,6897
"4107","Macrorregional Leste","PR","real data","real data","real data",2018-06-01,6256
"4107","Macrorregional Leste","PR","real data","real data","real data",2018-07-01,6324
"4107","Macrorregional Leste","PR","real data","real data","real data",2018-08-01,6336
"4107","Macrorregional Leste","PR","real data","real data","real data",2018-09-01,6093
"4107","Macrorregional Leste","PR","real data","real data","real data",2018-10-01,6208
"4107","Macrorregional Leste","PR","real data","real data","real data",2018-11-01,5877
"4107","Macrorregional Leste","PR","real data","real data","real data",2018-12-01,5931
"4107","Macrorregional Leste","PR","real data","real data","real data",2019-01-01,6265
"4107","Macrorregional Leste","PR","real data","real data","real data",2019-02-01,5980
"4107","Macrorregional Leste","PR","real data","real data","real data",2019-03-01,6583
"4107","Macrorregional Leste","PR","real data","real data","real data",2019-04-01,6333
"4107","Macrorregional Leste","PR","real data","real data","real data",2019-05-01,6752
"4107","Macrorregional Leste","PR","real data","real data","real data",2019-06-01,6093
"4107","Macrorregional Leste","PR","real data","real data","real data",2019-07-01,6429
"4107","Macrorregional Leste","PR","real data","real data","real data",2019-08-01,6118
"4107","Macrorregional Leste","PR","real data","real data","real data",2019-09-01,6086
"4107","Macrorregional Leste","PR","real data","real data","real data",2019-10-01,5599
"4107","Macrorregional Leste","PR","real data","real data","real data",2019-11-01,5623
"4107","Macrorregional Leste","PR","real data","real data","real data",2019-12-01,5788
"4107","Macrorregional Leste","PR","real data","real data","real data",2020-01-01,6103
"4107","Macrorregional Leste","PR","real data","real data","real data",2020-02-01,5754
"4107","Macrorregional Leste","PR","real data","real data","real data",2020-03-01,6240
"4107","Macrorregional Leste","PR","real data","real data","real data",2020-04-01,6090
"4107","Macrorregional Leste","PR","real data","real data","real data",2020-05-01,6352
"4107","Macrorregional Leste","PR","real data","real data","real data",2020-06-01,5804
"4107","Macrorregional Leste","PR","real data","real data","real data",2020-07-01,5968
"4107","Macrorregional Leste","PR","real data","real data","real data",2020-08-01,5633
"4107","Macrorregional Leste","PR","real data","real data","real data",2020-09-01,5843
