"mc_region","region_name","state","mape","id","desc","date","qtt"
"4108","Macrorregião Oeste","PR","real data","real data","real data",2000-01-01,2849
"4108","Macrorregião Oeste","PR","real data","real data","real data",2000-02-01,3054
"4108","Macrorregião Oeste","PR","real data","real data","real data",2000-03-01,3009
"4108","Macrorregião Oeste","PR","real data","real data","real data",2000-04-01,2906
"4108","Macrorregião Oeste","PR","real data","real data","real data",2000-05-01,2869
"4108","Macrorregião Oeste","PR","real data","real data","real data",2000-06-01,2682
"4108","Macrorregião Oeste","PR","real data","real data","real data",2000-07-01,2810
"4108","Macrorregião Oeste","PR","real data","real data","real data",2000-08-01,2835
"4108","Macrorregião Oeste","PR","real data","real data","real data",2000-09-01,2690
"4108","Macrorregião Oeste","PR","real data","real data","real data",2000-10-01,2571
"4108","Macrorregião Oeste","PR","real data","real data","real data",2000-11-01,2341
"4108","Macrorregião Oeste","PR","real data","real data","real data",2000-12-01,2471
"4108","Macrorregião Oeste","PR","real data","real data","real data",2001-01-01,2737
"4108","Macrorregião Oeste","PR","real data","real data","real data",2001-02-01,2560
"4108","Macrorregião Oeste","PR","real data","real data","real data",2001-03-01,2759
"4108","Macrorregião Oeste","PR","real data","real data","real data",2001-04-01,2633
"4108","Macrorregião Oeste","PR","real data","real data","real data",2001-05-01,2603
"4108","Macrorregião Oeste","PR","real data","real data","real data",2001-06-01,2482
"4108","Macrorregião Oeste","PR","real data","real data","real data",2001-07-01,2528
"4108","Macrorregião Oeste","PR","real data","real data","real data",2001-08-01,2468
"4108","Macrorregião Oeste","PR","real data","real data","real data",2001-09-01,2437
"4108","Macrorregião Oeste","PR","real data","real data","real data",2001-10-01,2340
"4108","Macrorregião Oeste","PR","real data","real data","real data",2001-11-01,2201
"4108","Macrorregião Oeste","PR","real data","real data","real data",2001-12-01,2396
"4108","Macrorregião Oeste","PR","real data","real data","real data",2002-01-01,2656
"4108","Macrorregião Oeste","PR","real data","real data","real data",2002-02-01,2521
"4108","Macrorregião Oeste","PR","real data","real data","real data",2002-03-01,2752
"4108","Macrorregião Oeste","PR","real data","real data","real data",2002-04-01,2632
"4108","Macrorregião Oeste","PR","real data","real data","real data",2002-05-01,2628
"4108","Macrorregião Oeste","PR","real data","real data","real data",2002-06-01,2267
"4108","Macrorregião Oeste","PR","real data","real data","real data",2002-07-01,2489
"4108","Macrorregião Oeste","PR","real data","real data","real data",2002-08-01,2409
"4108","Macrorregião Oeste","PR","real data","real data","real data",2002-09-01,2448
"4108","Macrorregião Oeste","PR","real data","real data","real data",2002-10-01,2392
"4108","Macrorregião Oeste","PR","real data","real data","real data",2002-11-01,2157
"4108","Macrorregião Oeste","PR","real data","real data","real data",2002-12-01,2255
"4108","Macrorregião Oeste","PR","real data","real data","real data",2003-01-01,2317
