"mc_region","region_name","state","mape","id","desc","date","qtt"
"4216","Alto Vale do Itajaí","SC","real data","real data","real data",2000-01-01,1019
"4216","Alto Vale do Itajaí","SC","real data","real data","real data",2000-02-01,1141
"4216","Alto Vale do Itajaí","SC","real data","real data","real data",2000-03-01,1205
"4216","Alto Vale do Itajaí","SC","real data","real data","real data",2000-04-01,1118
"4216","Alto Vale do Itajaí","SC","real data","real data","real data",2000-05-01,1102
"4216","Alto Vale do Itajaí","SC","real data","real data","real data",2000-06-01,1050
"4216","Alto Vale do Itajaí","SC","real data","real data","real data",2000-07-01,1154
"4216","Alto Vale do Itajaí","SC","real data","real data","real data",2000-08-01,977
"4216","Alto Vale do Itajaí","SC","real data","real data","real data",2000-09-01,1020
"4216","Alto Vale do Itajaí","SC","real data","real data","real data",2000-10-01,956
"4216","Alto Vale do Itajaí","SC","real data","real data","real data",2000-11-01,944
"4216","Alto Vale do Itajaí","SC","real data","real data","real data",2000-12-01,947
"4216","Alto Vale do Itajaí","SC","real data","real data","real data",2001-01-01,1062
"4216","Alto Vale do Itajaí","SC","real data","real data","real data",2001-02-01,997
"4216","Alto Vale do Itajaí","SC","real data","real data","real data",2001-03-01,1109
"4216","Alto Vale do Itajaí","SC","real data","real data","real data",2001-04-01,1061
"4216","Alto Vale do Itajaí","SC","real data","real data","real data",2001-05-01,1134
"4216","Alto Vale do Itajaí","SC","real data","real data","real data",2001-06-01,995
"4216","Alto Vale do Itajaí","SC","real data","real data","real data",2001-07-01,1005
"4216","Alto Vale do Itajaí","SC","real data","real data","real data",2001-08-01,935
"4216","Alto Vale do Itajaí","SC","real data","real data","real data",2001-09-01,990
"4216","Alto Vale do Itajaí","SC","real data","real data","real data",2001-10-01,902
"4216","Alto Vale do Itajaí","SC","real data","real data","real data",2001-11-01,786
"4216","Alto Vale do Itajaí","SC","real data","real data","real data",2001-12-01,828
"4216","Alto Vale do Itajaí","SC","real data","real data","real data",2002-01-01,978
"4216","Alto Vale do Itajaí","SC","real data","real data","real data",2002-02-01,935
"4216","Alto Vale do Itajaí","SC","real data","real data","real data",2002-03-01,1065
"4216","Alto Vale do Itajaí","SC","real data","real data","real data",2002-04-01,1099
"4216","Alto Vale do Itajaí","SC","real data","real data","real data",2002-05-01,1109
"4216","Alto Vale do Itajaí","SC","real data","real data","real data",2002-06-01,995
"4216","Alto Vale do Itajaí","SC","real data","real data","real data",2002-07-01,1005
"4216","Alto Vale do Itajaí","SC","real data","real data","real data",2002-08-01,1024
"4216","Alto Vale do Itajaí","SC","real data","real data","real data",2002-09-01,957
"4216","Alto Vale do Itajaí","SC","real data","real data","real data",2002-10-01,876
"4216","Alto Vale do Itajaí","SC","real data","real data","real data",2002-11-01,827
"4216","Alto Vale do Itajaí","SC","real data","real data","real data",2002-12-01,822
"4216","Alto Vale do Itajaí","SC","real data","real data","real data",2003-01-01,896
"4216","Alto Vale do Itajaí","SC","real data","real data","real data",2003-02-01,947
"4216","Alto Vale do Itajaí","SC","real data","real data","real data",2003-03-01,973
"4216","Alto Vale do Itajaí","SC","real data","real data","real data",2003-04-01,1043
"4216","Alto Vale do Itajaí","SC","real data","real data","real data",2003-05-01,1046
"4216","Alto Vale do Itajaí","SC","real data","real data","real data",2003-06-01,974
"4216","Alto Vale do Itajaí","SC","real data","real data","real data",2003-07-01,1009
"4216","Alto Vale do Itajaí","SC","real data","real data","real data",2003-08-01,905
"4216","Alto Vale do Itajaí","SC","real data","real data","real data",2003-09-01,972
"4216","Alto Vale do Itajaí","SC","real data","real data","real data",2003-10-01,918
"4216","Alto Vale do Itajaí","SC","real data","real data","real data",2003-11-01,791
"4216","Alto Vale do Itajaí","SC","real data","real data","real data",2003-12-01,827
"4216","Alto Vale do Itajaí","SC","real data","real data","real data",2004-01-01,1019
"4216","Alto Vale do Itajaí","SC","real data","real data","real data",2004-02-01,998
"4216","Alto Vale do Itajaí","SC","real data","real data","real data",2004-03-01,1131
"4216","Alto Vale do Itajaí","SC","real data","real data","real data",2004-04-01,991
"4216","Alto Vale do Itajaí","SC","real data","real data","real data",2004-05-01,1049
"4216","Alto Vale do Itajaí","SC","real data","real data","real data",2004-06-01,1074
"4216","Alto Vale do Itajaí","SC","real data","real data","real data",2004-07-01,1002
"4216","Alto Vale do Itajaí","SC","real data","real data","real data",2004-08-01,1016
"4216","Alto Vale do Itajaí","SC","real data","real data","real data",2004-09-01,997
"4216","Alto Vale do Itajaí","SC","real data","real data","real data",2004-10-01,889
"4216","Alto Vale do Itajaí","SC","real data","real data","real data",2004-11-01,806
"4216","Alto Vale do Itajaí","SC","real data","real data","real data",2004-12-01,906
"4216","Alto Vale do Itajaí","SC","real data","real data","real data",2005-01-01,922
"4216","Alto Vale do Itajaí","SC","real data","real data","real data",2005-02-01,939
"4216","Alto Vale do Itajaí","SC","real data","real data","real data",2005-03-01,1074
"4216","Alto Vale do Itajaí","SC","real data","real data","real data",2005-04-01,1055
"4216","Alto Vale do Itajaí","SC","real data","real data","real data",2005-05-01,1100
"4216","Alto Vale do Itajaí","SC","real data","real data","real data",2005-06-01,997
"4216","Alto Vale do Itajaí","SC","real data","real data","real data",2005-07-01,1028
"4216","Alto Vale do Itajaí","SC","real data","real data","real data",2005-08-01,993
"4216","Alto Vale do Itajaí","SC","real data","real data","real data",2005-09-01,1008
"4216","Alto Vale do Itajaí","SC","real data","real data","real data",2005-10-01,880
"4216","Alto Vale do Itajaí","SC","real data","real data","real data",2005-11-01,876
"4216","Alto Vale do Itajaí","SC","real data","real data","real data",2005-12-01,853
"4216","Alto Vale do Itajaí","SC","real data","real data","real data",2006-01-01,980
"4216","Alto Vale do Itajaí","SC","real data","real data","real data",2006-02-01,905
"4216","Alto Vale do Itajaí","SC","real data","real data","real data",2006-03-01,1099
"4216","Alto Vale do Itajaí","SC","real data","real data","real data",2006-04-01,1091
"4216","Alto Vale do Itajaí","SC","real data","real data","real data",2006-05-01,1138
"4216","Alto Vale do Itajaí","SC","real data","real data","real data",2006-06-01,1079
"4216","Alto Vale do Itajaí","SC","real data","real data","real data",2006-07-01,965
"4216","Alto Vale do Itajaí","SC","real data","real data","real data",2006-08-01,1016
"4216","Alto Vale do Itajaí","SC","real data","real data","real data",2006-09-01,987
"4216","Alto Vale do Itajaí","SC","real data","real data","real data",2006-10-01,844
"4216","Alto Vale do Itajaí","SC","real data","real data","real data",2006-11-01,855
"4216","Alto Vale do Itajaí","SC","real data","real data","real data",2006-12-01,855
"4216","Alto Vale do Itajaí","SC","real data","real data","real data",2007-01-01,1049
"4216","Alto Vale do Itajaí","SC","real data","real data","real data",2007-02-01,1014
"4216","Alto Vale do Itajaí","SC","real data","real data","real data",2007-03-01,1065
"4216","Alto Vale do Itajaí","SC","real data","real data","real data",2007-04-01,988
"4216","Alto Vale do Itajaí","SC","real data","real data","real data",2007-05-01,1043
