"mc_region","region_name","state","mape","id","desc","date","qtt"
"4308","Vales","RS","real data","real data","real data",2000-01-01,1075
"4308","Vales","RS","real data","real data","real data",2000-02-01,1111
"4308","Vales","RS","real data","real data","real data",2000-03-01,1108
"4308","Vales","RS","real data","real data","real data",2000-04-01,1067
"4308","Vales","RS","real data","real data","real data",2000-05-01,1076
"4308","Vales","RS","real data","real data","real data",2000-06-01,1031
"4308","Vales","RS","real data","real data","real data",2000-07-01,1015
"4308","Vales","RS","real data","real data","real data",2000-08-01,1014
"4308","Vales","RS","real data","real data","real data",2000-09-01,1036
"4308","Vales","RS","real data","real data","real data",2000-10-01,971
"4308","Vales","RS","real data","real data","real data",2000-11-01,957
"4308","Vales","RS","real data","real data","real data",2000-12-01,932
"4308","Vales","RS","real data","real data","real data",2001-01-01,989
"4308","Vales","RS","real data","real data","real data",2001-02-01,876
"4308","Vales","RS","real data","real data","real data",2001-03-01,967
"4308","Vales","RS","real data","real data","real data",2001-04-01,1002
"4308","Vales","RS","real data","real data","real data",2001-05-01,1031
"4308","Vales","RS","real data","real data","real data",2001-06-01,961
"4308","Vales","RS","real data","real data","real data",2001-07-01,1021
"4308","Vales","RS","real data","real data","real data",2001-08-01,995
"4308","Vales","RS","real data","real data","real data",2001-09-01,892
"4308","Vales","RS","real data","real data","real data",2001-10-01,905
"4308","Vales","RS","real data","real data","real data",2001-11-01,773
"4308","Vales","RS","real data","real data","real data",2001-12-01,784
"4308","Vales","RS","real data","real data","real data",2002-01-01,985
"4308","Vales","RS","real data","real data","real data",2002-02-01,913
"4308","Vales","RS","real data","real data","real data",2002-03-01,1011
"4308","Vales","RS","real data","real data","real data",2002-04-01,976
"4308","Vales","RS","real data","real data","real data",2002-05-01,973
"4308","Vales","RS","real data","real data","real data",2002-06-01,926
"4308","Vales","RS","real data","real data","real data",2002-07-01,936
"4308","Vales","RS","real data","real data","real data",2002-08-01,950
"4308","Vales","RS","real data","real data","real data",2002-09-01,897
"4308","Vales","RS","real data","real data","real data",2002-10-01,927
"4308","Vales","RS","real data","real data","real data",2002-11-01,853
"4308","Vales","RS","real data","real data","real data",2002-12-01,795
"4308","Vales","RS","real data","real data","real data",2003-01-01,859
"4308","Vales","RS","real data","real data","real data",2003-02-01,840
"4308","Vales","RS","real data","real data","real data",2003-03-01,870
"4308","Vales","RS","real data","real data","real data",2003-04-01,928
"4308","Vales","RS","real data","real data","real data",2003-05-01,1016
"4308","Vales","RS","real data","real data","real data",2003-06-01,979
"4308","Vales","RS","real data","real data","real data",2003-07-01,873
"4308","Vales","RS","real data","real data","real data",2003-08-01,886
"4308","Vales","RS","real data","real data","real data",2003-09-01,882
"4308","Vales","RS","real data","real data","real data",2003-10-01,886
"4308","Vales","RS","real data","real data","real data",2003-11-01,768
"4308","Vales","RS","real data","real data","real data",2003-12-01,795
"4308","Vales","RS","real data","real data","real data",2004-01-01,950
"4308","Vales","RS","real data","real data","real data",2004-02-01,916
"4308","Vales","RS","real data","real data","real data",2004-03-01,1010
"4308","Vales","RS","real data","real data","real data",2004-04-01,955
"4308","Vales","RS","real data","real data","real data",2004-05-01,972
"4308","Vales","RS","real data","real data","real data",2004-06-01,934
"4308","Vales","RS","real data","real data","real data",2004-07-01,968
"4308","Vales","RS","real data","real data","real data",2004-08-01,926
"4308","Vales","RS","real data","real data","real data",2004-09-01,913
"4308","Vales","RS","real data","real data","real data",2004-10-01,868
"4308","Vales","RS","real data","real data","real data",2004-11-01,801
"4308","Vales","RS","real data","real data","real data",2004-12-01,884
"4308","Vales","RS","real data","real data","real data",2005-01-01,873
"4308","Vales","RS","real data","real data","real data",2005-02-01,839
"4308","Vales","RS","real data","real data","real data",2005-03-01,945
"4308","Vales","RS","real data","real data","real data",2005-04-01,915
"4308","Vales","RS","real data","real data","real data",2005-05-01,1028
"4308","Vales","RS","real data","real data","real data",2005-06-01,948
"4308","Vales","RS","real data","real data","real data",2005-07-01,929
"4308","Vales","RS","real data","real data","real data",2005-08-01,948
"4308","Vales","RS","real data","real data","real data",2005-09-01,915
"4308","Vales","RS","real data","real data","real data",2005-10-01,880
"4308","Vales","RS","real data","real data","real data",2005-11-01,802
"4308","Vales","RS","real data","real data","real data",2005-12-01,825
"4308","Vales","RS","real data","real data","real data",2006-01-01,918
"4308","Vales","RS","real data","real data","real data",2006-02-01,772
"4308","Vales","RS","real data","real data","real data",2006-03-01,925
"4308","Vales","RS","real data","real data","real data",2006-04-01,847
"4308","Vales","RS","real data","real data","real data",2006-05-01,955
"4308","Vales","RS","real data","real data","real data",2006-06-01,941
"4308","Vales","RS","real data","real data","real data",2006-07-01,889
"4308","Vales","RS","real data","real data","real data",2006-08-01,869
"4308","Vales","RS","real data","real data","real data",2006-09-01,858
"4308","Vales","RS","real data","real data","real data",2006-10-01,785
"4308","Vales","RS","real data","real data","real data",2006-11-01,761
"4308","Vales","RS","real data","real data","real data",2006-12-01,782
"4308","Vales","RS","real data","real data","real data",2007-01-01,886
"4308","Vales","RS","real data","real data","real data",2007-02-01,837
"4308","Vales","RS","real data","real data","real data",2007-03-01,913
"4308","Vales","RS","real data","real data","real data",2007-04-01,785
"4308","Vales","RS","real data","real data","real data",2007-05-01,832
"4308","Vales","RS","real data","real data","real data",2007-06-01,870
"4308","Vales","RS","real data","real data","real data",2007-07-01,835
"4308","Vales","RS","real data","real data","real data",2007-08-01,885
"4308","Vales","RS","real data","real data","real data",2007-09-01,704
"4308","Vales","RS","real data","real data","real data",2007-10-01,725
"4308","Vales","RS","real data","real data","real data",2007-11-01,697
"4308","Vales","RS","real data","real data","real data",2007-12-01,685
"4308","Vales","RS","real data","real data","real data",2008-01-01,759
"4308","Vales","RS","real data","real data","real data",2008-02-01,851
"4308","Vales","RS","real data","real data","real data",2008-03-01,890
"4308","Vales","RS","real data","real data","real data",2008-04-01,840
"4308","Vales","RS","real data","real data","real data",2008-05-01,888
"4308","Vales","RS","real data","real data","real data",2008-06-01,811
"4308","Vales","RS","real data","real data","real data",2008-07-01,804
"4308","Vales","RS","real data","real data","real data",2008-08-01,787
"4308","Vales","RS","real data","real data","real data",2008-09-01,783
"4308","Vales","RS","real data","real data","real data",2008-10-01,744
"4308","Vales","RS","real data","real data","real data",2008-11-01,725
"4308","Vales","RS","real data","real data","real data",2008-12-01,755
"4308","Vales","RS","real data","real data","real data",2009-01-01,805
"4308","Vales","RS","real data","real data","real data",2009-02-01,800
"4308","Vales","RS","real data","real data","real data",2009-03-01,853
"4308","Vales","RS","real data","real data","real data",2009-04-01,730
"4308","Vales","RS","real data","real data","real data",2009-05-01,770
"4308","Vales","RS","real data","real data","real data",2009-06-01,736
"4308","Vales","RS","real data","real data","real data",2009-07-01,775
"4308","Vales","RS","real data","real data","real data",2009-08-01,744
"4308","Vales","RS","real data","real data","real data",2009-09-01,798
"4308","Vales","RS","real data","real data","real data",2009-10-01,826
"4308","Vales","RS","real data","real data","real data",2009-11-01,689
"4308","Vales","RS","real data","real data","real data",2009-12-01,770
"4308","Vales","RS","real data","real data","real data",2010-01-01,778
"4308","Vales","RS","real data","real data","real data",2010-02-01,786
"4308","Vales","RS","real data","real data","real data",2010-03-01,937
"4308","Vales","RS","real data","real data","real data",2010-04-01,886
"4308","Vales","RS","real data","real data","real data",2010-05-01,814
"4308","Vales","RS","real data","real data","real data",2010-06-01,769
"4308","Vales","RS","real data","real data","real data",2010-07-01,805
"4308","Vales","RS","real data","real data","real data",2010-08-01,704
"4308","Vales","RS","real data","real data","real data",2010-09-01,754
"4308","Vales","RS","real data","real data","real data",2010-10-01,729
"4308","Vales","RS","real data","real data","real data",2010-11-01,649
"4308","Vales","RS","real data","real data","real data",2010-12-01,745
"4308","Vales","RS","real data","real data","real data",2011-01-01,882
"4308","Vales","RS","real data","real data","real data",2011-02-01,860
"4308","Vales","RS","real data","real data","real data",2011-03-01,982
"4308","Vales","RS","real data","real data","real data",2011-04-01,893
"4308","Vales","RS","real data","real data","real data",2011-05-01,844
"4308","Vales","RS","real data","real data","real data",2011-06-01,806
"4308","Vales","RS","real data","real data","real data",2011-07-01,836
"4308","Vales","RS","real data","real data","real data",2011-08-01,834
"4308","Vales","RS","real data","real data","real data",2011-09-01,763
"4308","Vales","RS","real data","real data","real data",2011-10-01,673
"4308","Vales","RS","real data","real data","real data",2011-11-01,669
"4308","Vales","RS","real data","real data","real data",2011-12-01,770
"4308","Vales","RS","real data","real data","real data",2012-01-01,817
"4308","Vales","RS","real data","real data","real data",2012-02-01,814
"4308","Vales","RS","real data","real data","real data",2012-03-01,894
"4308","Vales","RS","real data","real data","real data",2012-04-01,810
"4308","Vales","RS","real data","real data","real data",2012-05-01,840
"4308","Vales","RS","real data","real data","real data",2012-06-01,793
"4308","Vales","RS","real data","real data","real data",2012-07-01,876
"4308","Vales","RS","real data","real data","real data",2012-08-01,821
"4308","Vales","RS","real data","real data","real data",2012-09-01,827
"4308","Vales","RS","real data","real data","real data",2012-10-01,755
"4308","Vales","RS","real data","real data","real data",2012-11-01,741
"4308","Vales","RS","real data","real data","real data",2012-12-01,807
"4308","Vales","RS","real data","real data","real data",2013-01-01,875
"4308","Vales","RS","real data","real data","real data",2013-02-01,822
"4308","Vales","RS","real data","real data","real data",2013-03-01,908
"4308","Vales","RS","real data","real data","real data",2013-04-01,954
"4308","Vales","RS","real data","real data","real data",2013-05-01,863
"4308","Vales","RS","real data","real data","real data",2013-06-01,820
"4308","Vales","RS","real data","real data","real data",2013-07-01,830
"4308","Vales","RS","real data","real data","real data",2013-08-01,786
"4308","Vales","RS","real data","real data","real data",2013-09-01,759
"4308","Vales","RS","real data","real data","real data",2013-10-01,804
"4308","Vales","RS","real data","real data","real data",2013-11-01,790
"4308","Vales","RS","real data","real data","real data",2013-12-01,750
"4308","Vales","RS","real data","real data","real data",2014-01-01,882
"4308","Vales","RS","real data","real data","real data",2014-02-01,788
"4308","Vales","RS","real data","real data","real data",2014-03-01,972
"4308","Vales","RS","real data","real data","real data",2014-04-01,884
"4308","Vales","RS","real data","real data","real data",2014-05-01,931
"4308","Vales","RS","real data","real data","real data",2014-06-01,852
"4308","Vales","RS","real data","real data","real data",2014-07-01,887
"4308","Vales","RS","real data","real data","real data",2014-08-01,867
"4308","Vales","RS","real data","real data","real data",2014-09-01,850
"4308","Vales","RS","real data","real data","real data",2014-10-01,762
"4308","Vales","RS","real data","real data","real data",2014-11-01,721
"4308","Vales","RS","real data","real data","real data",2014-12-01,883
"4308","Vales","RS","real data","real data","real data",2015-01-01,914
"4308","Vales","RS","real data","real data","real data",2015-02-01,966
"4308","Vales","RS","real data","real data","real data",2015-03-01,1038
"4308","Vales","RS","real data","real data","real data",2015-04-01,945
"4308","Vales","RS","real data","real data","real data",2015-05-01,990
"4308","Vales","RS","real data","real data","real data",2015-06-01,948
"4308","Vales","RS","real data","real data","real data",2015-07-01,887
"4308","Vales","RS","real data","real data","real data",2015-08-01,830
"4308","Vales","RS","real data","real data","real data",2015-09-01,809
"4308","Vales","RS","real data","real data","real data",2015-10-01,828
"4308","Vales","RS","real data","real data","real data",2015-11-01,813
"4308","Vales","RS","real data","real data","real data",2015-12-01,850
"4308","Vales","RS","real data","real data","real data",2016-01-01,932
"4308","Vales","RS","real data","real data","real data",2016-02-01,923
"4308","Vales","RS","real data","real data","real data",2016-03-01,1025
"4308","Vales","RS","real data","real data","real data",2016-04-01,903
"4308","Vales","RS","real data","real data","real data",2016-05-01,903
"4308","Vales","RS","real data","real data","real data",2016-06-01,907
"4308","Vales","RS","real data","real data","real data",2016-07-01,836
"4308","Vales","RS","real data","real data","real data",2016-08-01,843
"4308","Vales","RS","real data","real data","real data",2016-09-01,827
"4308","Vales","RS","real data","real data","real data",2016-10-01,740
"4308","Vales","RS","real data","real data","real data",2016-11-01,720
"4308","Vales","RS","real data","real data","real data",2016-12-01,822
"4308","Vales","RS","real data","real data","real data",2017-01-01,790
"4308","Vales","RS","real data","real data","real data",2017-02-01,838
"4308","Vales","RS","real data","real data","real data",2017-03-01,1033
"4308","Vales","RS","real data","real data","real data",2017-04-01,891
"4308","Vales","RS","real data","real data","real data",2017-05-01,895
"4308","Vales","RS","real data","real data","real data",2017-06-01,915
"4308","Vales","RS","real data","real data","real data",2017-07-01,882
"4308","Vales","RS","real data","real data","real data",2017-08-01,833
"4308","Vales","RS","real data","real data","real data",2017-09-01,850
"4308","Vales","RS","real data","real data","real data",2017-10-01,774
"4308","Vales","RS","real data","real data","real data",2017-11-01,762
"4308","Vales","RS","real data","real data","real data",2017-12-01,828
"4308","Vales","RS","real data","real data","real data",2018-01-01,920
"4308","Vales","RS","real data","real data","real data",2018-02-01,895
"4308","Vales","RS","real data","real data","real data",2018-03-01,970
"4308","Vales","RS","real data","real data","real data",2018-04-01,949
"4308","Vales","RS","real data","real data","real data",2018-05-01,1003
"4308","Vales","RS","real data","real data","real data",2018-06-01,904
"4308","Vales","RS","real data","real data","real data",2018-07-01,880
"4308","Vales","RS","real data","real data","real data",2018-08-01,853
"4308","Vales","RS","real data","real data","real data",2018-09-01,736
"4308","Vales","RS","real data","real data","real data",2018-10-01,807
"4308","Vales","RS","real data","real data","real data",2018-11-01,861
"4308","Vales","RS","real data","real data","real data",2018-12-01,870
"4308","Vales","RS","real data","real data","real data",2019-01-01,855
