"mc_region","region_name","state","mape","id","desc","date","qtt"
"4309","Sul","RS","real data","real data","real data",2000-01-01,1489
"4309","Sul","RS","real data","real data","real data",2000-02-01,1541
"4309","Sul","RS","real data","real data","real data",2000-03-01,1544
"4309","Sul","RS","real data","real data","real data",2000-04-01,1451
"4309","Sul","RS","real data","real data","real data",2000-05-01,1504
"4309","Sul","RS","real data","real data","real data",2000-06-01,1364
"4309","Sul","RS","real data","real data","real data",2000-07-01,1504
"4309","Sul","RS","real data","real data","real data",2000-08-01,1446
"4309","Sul","RS","real data","real data","real data",2000-09-01,1306
"4309","Sul","RS","real data","real data","real data",2000-10-01,1367
"4309","Sul","RS","real data","real data","real data",2000-11-01,1321
"4309","Sul","RS","real data","real data","real data",2000-12-01,1334
"4309","Sul","RS","real data","real data","real data",2001-01-01,1495
"4309","Sul","RS","real data","real data","real data",2001-02-01,1199
"4309","Sul","RS","real data","real data","real data",2001-03-01,1473
"4309","Sul","RS","real data","real data","real data",2001-04-01,1383
"4309","Sul","RS","real data","real data","real data",2001-05-01,1422
"4309","Sul","RS","real data","real data","real data",2001-06-01,1405
"4309","Sul","RS","real data","real data","real data",2001-07-01,1464
"4309","Sul","RS","real data","real data","real data",2001-08-01,1311
"4309","Sul","RS","real data","real data","real data",2001-09-01,1249
"4309","Sul","RS","real data","real data","real data",2001-10-01,1248
"4309","Sul","RS","real data","real data","real data",2001-11-01,1142
"4309","Sul","RS","real data","real data","real data",2001-12-01,1208
"4309","Sul","RS","real data","real data","real data",2002-01-01,1376
"4309","Sul","RS","real data","real data","real data",2002-02-01,1185
"4309","Sul","RS","real data","real data","real data",2002-03-01,1309
"4309","Sul","RS","real data","real data","real data",2002-04-01,1229
"4309","Sul","RS","real data","real data","real data",2002-05-01,1319
"4309","Sul","RS","real data","real data","real data",2002-06-01,1184
"4309","Sul","RS","real data","real data","real data",2002-07-01,1207
"4309","Sul","RS","real data","real data","real data",2002-08-01,1284
"4309","Sul","RS","real data","real data","real data",2002-09-01,1289
"4309","Sul","RS","real data","real data","real data",2002-10-01,1207
"4309","Sul","RS","real data","real data","real data",2002-11-01,1121
"4309","Sul","RS","real data","real data","real data",2002-12-01,1209
"4309","Sul","RS","real data","real data","real data",2003-01-01,1220
"4309","Sul","RS","real data","real data","real data",2003-02-01,1220
"4309","Sul","RS","real data","real data","real data",2003-03-01,1228
"4309","Sul","RS","real data","real data","real data",2003-04-01,1148
"4309","Sul","RS","real data","real data","real data",2003-05-01,1367
"4309","Sul","RS","real data","real data","real data",2003-06-01,1226
"4309","Sul","RS","real data","real data","real data",2003-07-01,1220
"4309","Sul","RS","real data","real data","real data",2003-08-01,1214
"4309","Sul","RS","real data","real data","real data",2003-09-01,1217
"4309","Sul","RS","real data","real data","real data",2003-10-01,1289
"4309","Sul","RS","real data","real data","real data",2003-11-01,1103
"4309","Sul","RS","real data","real data","real data",2003-12-01,1079
"4309","Sul","RS","real data","real data","real data",2004-01-01,1286
"4309","Sul","RS","real data","real data","real data",2004-02-01,1131
"4309","Sul","RS","real data","real data","real data",2004-03-01,1324
"4309","Sul","RS","real data","real data","real data",2004-04-01,1189
"4309","Sul","RS","real data","real data","real data",2004-05-01,1293
"4309","Sul","RS","real data","real data","real data",2004-06-01,1262
"4309","Sul","RS","real data","real data","real data",2004-07-01,1250
"4309","Sul","RS","real data","real data","real data",2004-08-01,1239
"4309","Sul","RS","real data","real data","real data",2004-09-01,1237
"4309","Sul","RS","real data","real data","real data",2004-10-01,1189
"4309","Sul","RS","real data","real data","real data",2004-11-01,1062
"4309","Sul","RS","real data","real data","real data",2004-12-01,1188
"4309","Sul","RS","real data","real data","real data",2005-01-01,1096
"4309","Sul","RS","real data","real data","real data",2005-02-01,1072
"4309","Sul","RS","real data","real data","real data",2005-03-01,1188
"4309","Sul","RS","real data","real data","real data",2005-04-01,1199
"4309","Sul","RS","real data","real data","real data",2005-05-01,1199
"4309","Sul","RS","real data","real data","real data",2005-06-01,1204
"4309","Sul","RS","real data","real data","real data",2005-07-01,1213
"4309","Sul","RS","real data","real data","real data",2005-08-01,1177
"4309","Sul","RS","real data","real data","real data",2005-09-01,1247
"4309","Sul","RS","real data","real data","real data",2005-10-01,1156
"4309","Sul","RS","real data","real data","real data",2005-11-01,1069
"4309","Sul","RS","real data","real data","real data",2005-12-01,1102
"4309","Sul","RS","real data","real data","real data",2006-01-01,1147
"4309","Sul","RS","real data","real data","real data",2006-02-01,1063
"4309","Sul","RS","real data","real data","real data",2006-03-01,1183
"4309","Sul","RS","real data","real data","real data",2006-04-01,1161
"4309","Sul","RS","real data","real data","real data",2006-05-01,1240
"4309","Sul","RS","real data","real data","real data",2006-06-01,1145
"4309","Sul","RS","real data","real data","real data",2006-07-01,1135
"4309","Sul","RS","real data","real data","real data",2006-08-01,1211
"4309","Sul","RS","real data","real data","real data",2006-09-01,999
"4309","Sul","RS","real data","real data","real data",2006-10-01,1051
"4309","Sul","RS","real data","real data","real data",2006-11-01,1013
"4309","Sul","RS","real data","real data","real data",2006-12-01,1087
"4309","Sul","RS","real data","real data","real data",2007-01-01,1094
"4309","Sul","RS","real data","real data","real data",2007-02-01,1077
"4309","Sul","RS","real data","real data","real data",2007-03-01,1210
"4309","Sul","RS","real data","real data","real data",2007-04-01,1095
"4309","Sul","RS","real data","real data","real data",2007-05-01,1048
"4309","Sul","RS","real data","real data","real data",2007-06-01,1074
"4309","Sul","RS","real data","real data","real data",2007-07-01,1126
"4309","Sul","RS","real data","real data","real data",2007-08-01,1099
"4309","Sul","RS","real data","real data","real data",2007-09-01,1017
"4309","Sul","RS","real data","real data","real data",2007-10-01,1019
"4309","Sul","RS","real data","real data","real data",2007-11-01,971
"4309","Sul","RS","real data","real data","real data",2007-12-01,955
"4309","Sul","RS","real data","real data","real data",2008-01-01,1005
"4309","Sul","RS","real data","real data","real data",2008-02-01,1077
"4309","Sul","RS","real data","real data","real data",2008-03-01,1146
"4309","Sul","RS","real data","real data","real data",2008-04-01,1043
"4309","Sul","RS","real data","real data","real data",2008-05-01,1025
