"mc_region","region_name","state","mape","id","desc","date","qtt"
"4311","Norte","RS","real data","real data","real data",2000-01-01,1742
"4311","Norte","RS","real data","real data","real data",2000-02-01,1607
"4311","Norte","RS","real data","real data","real data",2000-03-01,1803
"4311","Norte","RS","real data","real data","real data",2000-04-01,1621
"4311","Norte","RS","real data","real data","real data",2000-05-01,1653
"4311","Norte","RS","real data","real data","real data",2000-06-01,1600
"4311","Norte","RS","real data","real data","real data",2000-07-01,1583
"4311","Norte","RS","real data","real data","real data",2000-08-01,1674
"4311","Norte","RS","real data","real data","real data",2000-09-01,1576
"4311","Norte","RS","real data","real data","real data",2000-10-01,1702
"4311","Norte","RS","real data","real data","real data",2000-11-01,1685
"4311","Norte","RS","real data","real data","real data",2000-12-01,1783
"4311","Norte","RS","real data","real data","real data",2001-01-01,1622
"4311","Norte","RS","real data","real data","real data",2001-02-01,1418
"4311","Norte","RS","real data","real data","real data",2001-03-01,1658
"4311","Norte","RS","real data","real data","real data",2001-04-01,1516
"4311","Norte","RS","real data","real data","real data",2001-05-01,1556
"4311","Norte","RS","real data","real data","real data",2001-06-01,1546
"4311","Norte","RS","real data","real data","real data",2001-07-01,1526
"4311","Norte","RS","real data","real data","real data",2001-08-01,1582
"4311","Norte","RS","real data","real data","real data",2001-09-01,1525
"4311","Norte","RS","real data","real data","real data",2001-10-01,1497
"4311","Norte","RS","real data","real data","real data",2001-11-01,1252
"4311","Norte","RS","real data","real data","real data",2001-12-01,1325
"4311","Norte","RS","real data","real data","real data",2002-01-01,1580
"4311","Norte","RS","real data","real data","real data",2002-02-01,1515
"4311","Norte","RS","real data","real data","real data",2002-03-01,1486
"4311","Norte","RS","real data","real data","real data",2002-04-01,1387
"4311","Norte","RS","real data","real data","real data",2002-05-01,1489
"4311","Norte","RS","real data","real data","real data",2002-06-01,1340
"4311","Norte","RS","real data","real data","real data",2002-07-01,1433
"4311","Norte","RS","real data","real data","real data",2002-08-01,1463
"4311","Norte","RS","real data","real data","real data",2002-09-01,1373
"4311","Norte","RS","real data","real data","real data",2002-10-01,1478
"4311","Norte","RS","real data","real data","real data",2002-11-01,1310
"4311","Norte","RS","real data","real data","real data",2002-12-01,1229
"4311","Norte","RS","real data","real data","real data",2003-01-01,1407
"4311","Norte","RS","real data","real data","real data",2003-02-01,1302
"4311","Norte","RS","real data","real data","real data",2003-03-01,1262
"4311","Norte","RS","real data","real data","real data",2003-04-01,1296
"4311","Norte","RS","real data","real data","real data",2003-05-01,1437
"4311","Norte","RS","real data","real data","real data",2003-06-01,1354
"4311","Norte","RS","real data","real data","real data",2003-07-01,1382
"4311","Norte","RS","real data","real data","real data",2003-08-01,1398
"4311","Norte","RS","real data","real data","real data",2003-09-01,1353
"4311","Norte","RS","real data","real data","real data",2003-10-01,1381
"4311","Norte","RS","real data","real data","real data",2003-11-01,1331
"4311","Norte","RS","real data","real data","real data",2003-12-01,1325
