"mc_region","region_name","state","mape","id","desc","date","qtt"
"4313","Metropolitana","RS","real data","real data","real data",2000-01-01,7006
"4313","Metropolitana","RS","real data","real data","real data",2000-02-01,6740
"4313","Metropolitana","RS","real data","real data","real data",2000-03-01,7277
"4313","Metropolitana","RS","real data","real data","real data",2000-04-01,7044
"4313","Metropolitana","RS","real data","real data","real data",2000-05-01,6984
"4313","Metropolitana","RS","real data","real data","real data",2000-06-01,6843
"4313","Metropolitana","RS","real data","real data","real data",2000-07-01,6820
"4313","Metropolitana","RS","real data","real data","real data",2000-08-01,6901
"4313","Metropolitana","RS","real data","real data","real data",2000-09-01,6316
"4313","Metropolitana","RS","real data","real data","real data",2000-10-01,6243
"4313","Metropolitana","RS","real data","real data","real data",2000-11-01,5707
"4313","Metropolitana","RS","real data","real data","real data",2000-12-01,6130
"4313","Metropolitana","RS","real data","real data","real data",2001-01-01,6439
"4313","Metropolitana","RS","real data","real data","real data",2001-02-01,5994
"4313","Metropolitana","RS","real data","real data","real data",2001-03-01,6561
"4313","Metropolitana","RS","real data","real data","real data",2001-04-01,6374
"4313","Metropolitana","RS","real data","real data","real data",2001-05-01,6678
"4313","Metropolitana","RS","real data","real data","real data",2001-06-01,6137
"4313","Metropolitana","RS","real data","real data","real data",2001-07-01,6385
"4313","Metropolitana","RS","real data","real data","real data",2001-08-01,6049
"4313","Metropolitana","RS","real data","real data","real data",2001-09-01,5913
"4313","Metropolitana","RS","real data","real data","real data",2001-10-01,5507
"4313","Metropolitana","RS","real data","real data","real data",2001-11-01,5092
"4313","Metropolitana","RS","real data","real data","real data",2001-12-01,5333
"4313","Metropolitana","RS","real data","real data","real data",2002-01-01,6153
"4313","Metropolitana","RS","real data","real data","real data",2002-02-01,5936
"4313","Metropolitana","RS","real data","real data","real data",2002-03-01,6347
"4313","Metropolitana","RS","real data","real data","real data",2002-04-01,6145
"4313","Metropolitana","RS","real data","real data","real data",2002-05-01,6041
"4313","Metropolitana","RS","real data","real data","real data",2002-06-01,5509
"4313","Metropolitana","RS","real data","real data","real data",2002-07-01,5915
"4313","Metropolitana","RS","real data","real data","real data",2002-08-01,5897
"4313","Metropolitana","RS","real data","real data","real data",2002-09-01,5934
"4313","Metropolitana","RS","real data","real data","real data",2002-10-01,5765
"4313","Metropolitana","RS","real data","real data","real data",2002-11-01,5370
"4313","Metropolitana","RS","real data","real data","real data",2002-12-01,5373
"4313","Metropolitana","RS","real data","real data","real data",2003-01-01,5600
"4313","Metropolitana","RS","real data","real data","real data",2003-02-01,5425
"4313","Metropolitana","RS","real data","real data","real data",2003-03-01,6075
"4313","Metropolitana","RS","real data","real data","real data",2003-04-01,5795
"4313","Metropolitana","RS","real data","real data","real data",2003-05-01,6098
"4313","Metropolitana","RS","real data","real data","real data",2003-06-01,5858
"4313","Metropolitana","RS","real data","real data","real data",2003-07-01,5752
"4313","Metropolitana","RS","real data","real data","real data",2003-08-01,5455
"4313","Metropolitana","RS","real data","real data","real data",2003-09-01,5677
"4313","Metropolitana","RS","real data","real data","real data",2003-10-01,5571
"4313","Metropolitana","RS","real data","real data","real data",2003-11-01,4941
"4313","Metropolitana","RS","real data","real data","real data",2003-12-01,5321
"4313","Metropolitana","RS","real data","real data","real data",2004-01-01,6072
"4313","Metropolitana","RS","real data","real data","real data",2004-02-01,5714
"4313","Metropolitana","RS","real data","real data","real data",2004-03-01,6376
"4313","Metropolitana","RS","real data","real data","real data",2004-04-01,6080
"4313","Metropolitana","RS","real data","real data","real data",2004-05-01,6090
"4313","Metropolitana","RS","real data","real data","real data",2004-06-01,5932
"4313","Metropolitana","RS","real data","real data","real data",2004-07-01,5813
"4313","Metropolitana","RS","real data","real data","real data",2004-08-01,5662
"4313","Metropolitana","RS","real data","real data","real data",2004-09-01,5701
"4313","Metropolitana","RS","real data","real data","real data",2004-10-01,5520
"4313","Metropolitana","RS","real data","real data","real data",2004-11-01,5228
"4313","Metropolitana","RS","real data","real data","real data",2004-12-01,5535
"4313","Metropolitana","RS","real data","real data","real data",2005-01-01,5628
"4313","Metropolitana","RS","real data","real data","real data",2005-02-01,5228
"4313","Metropolitana","RS","real data","real data","real data",2005-03-01,5930
"4313","Metropolitana","RS","real data","real data","real data",2005-04-01,5600
"4313","Metropolitana","RS","real data","real data","real data",2005-05-01,6084
"4313","Metropolitana","RS","real data","real data","real data",2005-06-01,5644
"4313","Metropolitana","RS","real data","real data","real data",2005-07-01,5846
"4313","Metropolitana","RS","real data","real data","real data",2005-08-01,5503
"4313","Metropolitana","RS","real data","real data","real data",2005-09-01,5482
"4313","Metropolitana","RS","real data","real data","real data",2005-10-01,5383
"4313","Metropolitana","RS","real data","real data","real data",2005-11-01,5031
"4313","Metropolitana","RS","real data","real data","real data",2005-12-01,5426
"4313","Metropolitana","RS","real data","real data","real data",2006-01-01,5500
"4313","Metropolitana","RS","real data","real data","real data",2006-02-01,5158
"4313","Metropolitana","RS","real data","real data","real data",2006-03-01,5818
"4313","Metropolitana","RS","real data","real data","real data",2006-04-01,5611
"4313","Metropolitana","RS","real data","real data","real data",2006-05-01,5865
"4313","Metropolitana","RS","real data","real data","real data",2006-06-01,5710
"4313","Metropolitana","RS","real data","real data","real data",2006-07-01,5605
"4313","Metropolitana","RS","real data","real data","real data",2006-08-01,5397
"4313","Metropolitana","RS","real data","real data","real data",2006-09-01,5240
"4313","Metropolitana","RS","real data","real data","real data",2006-10-01,5076
