"mc_region","region_name","state","mape","id","desc","date","qtt"
"4314","Centro-oeste","RS","real data","real data","real data",2000-01-01,1624
"4314","Centro-oeste","RS","real data","real data","real data",2000-02-01,1648
"4314","Centro-oeste","RS","real data","real data","real data",2000-03-01,1684
"4314","Centro-oeste","RS","real data","real data","real data",2000-04-01,1548
"4314","Centro-oeste","RS","real data","real data","real data",2000-05-01,1595
"4314","Centro-oeste","RS","real data","real data","real data",2000-06-01,1508
"4314","Centro-oeste","RS","real data","real data","real data",2000-07-01,1505
"4314","Centro-oeste","RS","real data","real data","real data",2000-08-01,1492
"4314","Centro-oeste","RS","real data","real data","real data",2000-09-01,1489
"4314","Centro-oeste","RS","real data","real data","real data",2000-10-01,1482
"4314","Centro-oeste","RS","real data","real data","real data",2000-11-01,1307
"4314","Centro-oeste","RS","real data","real data","real data",2000-12-01,1508
"4314","Centro-oeste","RS","real data","real data","real data",2001-01-01,1513
"4314","Centro-oeste","RS","real data","real data","real data",2001-02-01,1402
"4314","Centro-oeste","RS","real data","real data","real data",2001-03-01,1526
"4314","Centro-oeste","RS","real data","real data","real data",2001-04-01,1389
"4314","Centro-oeste","RS","real data","real data","real data",2001-05-01,1573
"4314","Centro-oeste","RS","real data","real data","real data",2001-06-01,1376
"4314","Centro-oeste","RS","real data","real data","real data",2001-07-01,1462
"4314","Centro-oeste","RS","real data","real data","real data",2001-08-01,1393
"4314","Centro-oeste","RS","real data","real data","real data",2001-09-01,1306
"4314","Centro-oeste","RS","real data","real data","real data",2001-10-01,1327
"4314","Centro-oeste","RS","real data","real data","real data",2001-11-01,1216
"4314","Centro-oeste","RS","real data","real data","real data",2001-12-01,1278
"4314","Centro-oeste","RS","real data","real data","real data",2002-01-01,1521
"4314","Centro-oeste","RS","real data","real data","real data",2002-02-01,1380
"4314","Centro-oeste","RS","real data","real data","real data",2002-03-01,1459
"4314","Centro-oeste","RS","real data","real data","real data",2002-04-01,1491
"4314","Centro-oeste","RS","real data","real data","real data",2002-05-01,1289
"4314","Centro-oeste","RS","real data","real data","real data",2002-06-01,1291
"4314","Centro-oeste","RS","real data","real data","real data",2002-07-01,1419
"4314","Centro-oeste","RS","real data","real data","real data",2002-08-01,1361
"4314","Centro-oeste","RS","real data","real data","real data",2002-09-01,1323
"4314","Centro-oeste","RS","real data","real data","real data",2002-10-01,1389
"4314","Centro-oeste","RS","real data","real data","real data",2002-11-01,1246
"4314","Centro-oeste","RS","real data","real data","real data",2002-12-01,1217
"4314","Centro-oeste","RS","real data","real data","real data",2003-01-01,1338
"4314","Centro-oeste","RS","real data","real data","real data",2003-02-01,1276
"4314","Centro-oeste","RS","real data","real data","real data",2003-03-01,1368
"4314","Centro-oeste","RS","real data","real data","real data",2003-04-01,1310
"4314","Centro-oeste","RS","real data","real data","real data",2003-05-01,1401
"4314","Centro-oeste","RS","real data","real data","real data",2003-06-01,1330
"4314","Centro-oeste","RS","real data","real data","real data",2003-07-01,1300
"4314","Centro-oeste","RS","real data","real data","real data",2003-08-01,1364
"4314","Centro-oeste","RS","real data","real data","real data",2003-09-01,1203
"4314","Centro-oeste","RS","real data","real data","real data",2003-10-01,1243
"4314","Centro-oeste","RS","real data","real data","real data",2003-11-01,1131
"4314","Centro-oeste","RS","real data","real data","real data",2003-12-01,1190
"4314","Centro-oeste","RS","real data","real data","real data",2004-01-01,1312
"4314","Centro-oeste","RS","real data","real data","real data",2004-02-01,1217
"4314","Centro-oeste","RS","real data","real data","real data",2004-03-01,1304
"4314","Centro-oeste","RS","real data","real data","real data",2004-04-01,1312
"4314","Centro-oeste","RS","real data","real data","real data",2004-05-01,1379
"4314","Centro-oeste","RS","real data","real data","real data",2004-06-01,1268
"4314","Centro-oeste","RS","real data","real data","real data",2004-07-01,1213
"4314","Centro-oeste","RS","real data","real data","real data",2004-08-01,1313
"4314","Centro-oeste","RS","real data","real data","real data",2004-09-01,1296
"4314","Centro-oeste","RS","real data","real data","real data",2004-10-01,1214
"4314","Centro-oeste","RS","real data","real data","real data",2004-11-01,1204
"4314","Centro-oeste","RS","real data","real data","real data",2004-12-01,1253
"4314","Centro-oeste","RS","real data","real data","real data",2005-01-01,1263
"4314","Centro-oeste","RS","real data","real data","real data",2005-02-01,1161
"4314","Centro-oeste","RS","real data","real data","real data",2005-03-01,1256
"4314","Centro-oeste","RS","real data","real data","real data",2005-04-01,1260
"4314","Centro-oeste","RS","real data","real data","real data",2005-05-01,1313
"4314","Centro-oeste","RS","real data","real data","real data",2005-06-01,1240
"4314","Centro-oeste","RS","real data","real data","real data",2005-07-01,1256
"4314","Centro-oeste","RS","real data","real data","real data",2005-08-01,1257
"4314","Centro-oeste","RS","real data","real data","real data",2005-09-01,1171
"4314","Centro-oeste","RS","real data","real data","real data",2005-10-01,1186
"4314","Centro-oeste","RS","real data","real data","real data",2005-11-01,1114
"4314","Centro-oeste","RS","real data","real data","real data",2005-12-01,1219
"4314","Centro-oeste","RS","real data","real data","real data",2006-01-01,1230
"4314","Centro-oeste","RS","real data","real data","real data",2006-02-01,1104
"4314","Centro-oeste","RS","real data","real data","real data",2006-03-01,1213
"4314","Centro-oeste","RS","real data","real data","real data",2006-04-01,1150
"4314","Centro-oeste","RS","real data","real data","real data",2006-05-01,1263
"4314","Centro-oeste","RS","real data","real data","real data",2006-06-01,1284
"4314","Centro-oeste","RS","real data","real data","real data",2006-07-01,1154
"4314","Centro-oeste","RS","real data","real data","real data",2006-08-01,1161
"4314","Centro-oeste","RS","real data","real data","real data",2006-09-01,1129
"4314","Centro-oeste","RS","real data","real data","real data",2006-10-01,1079
"4314","Centro-oeste","RS","real data","real data","real data",2006-11-01,1016
"4314","Centro-oeste","RS","real data","real data","real data",2006-12-01,1147
"4314","Centro-oeste","RS","real data","real data","real data",2007-01-01,1247
"4314","Centro-oeste","RS","real data","real data","real data",2007-02-01,1110
"4314","Centro-oeste","RS","real data","real data","real data",2007-03-01,1175
"4314","Centro-oeste","RS","real data","real data","real data",2007-04-01,1092
"4314","Centro-oeste","RS","real data","real data","real data",2007-05-01,1102
