"mc_region","region_name","state","mape","id","desc","date","qtt"
"5007","Corumbá","MS","real data","real data","real data",2000-01-01,231
"5007","Corumbá","MS","real data","real data","real data",2000-02-01,218
"5007","Corumbá","MS","real data","real data","real data",2000-03-01,264
"5007","Corumbá","MS","real data","real data","real data",2000-04-01,259
"5007","Corumbá","MS","real data","real data","real data",2000-05-01,297
"5007","Corumbá","MS","real data","real data","real data",2000-06-01,191
"5007","Corumbá","MS","real data","real data","real data",2000-07-01,213
"5007","Corumbá","MS","real data","real data","real data",2000-08-01,196
"5007","Corumbá","MS","real data","real data","real data",2000-09-01,187
"5007","Corumbá","MS","real data","real data","real data",2000-10-01,186
"5007","Corumbá","MS","real data","real data","real data",2000-11-01,180
"5007","Corumbá","MS","real data","real data","real data",2000-12-01,219
"5007","Corumbá","MS","real data","real data","real data",2001-01-01,234
"5007","Corumbá","MS","real data","real data","real data",2001-02-01,243
"5007","Corumbá","MS","real data","real data","real data",2001-03-01,272
"5007","Corumbá","MS","real data","real data","real data",2001-04-01,281
"5007","Corumbá","MS","real data","real data","real data",2001-05-01,265
"5007","Corumbá","MS","real data","real data","real data",2001-06-01,252
"5007","Corumbá","MS","real data","real data","real data",2001-07-01,226
"5007","Corumbá","MS","real data","real data","real data",2001-08-01,215
"5007","Corumbá","MS","real data","real data","real data",2001-09-01,238
"5007","Corumbá","MS","real data","real data","real data",2001-10-01,228
"5007","Corumbá","MS","real data","real data","real data",2001-11-01,178
"5007","Corumbá","MS","real data","real data","real data",2001-12-01,190
"5007","Corumbá","MS","real data","real data","real data",2002-01-01,209
"5007","Corumbá","MS","real data","real data","real data",2002-02-01,243
"5007","Corumbá","MS","real data","real data","real data",2002-03-01,284
"5007","Corumbá","MS","real data","real data","real data",2002-04-01,246
"5007","Corumbá","MS","real data","real data","real data",2002-05-01,232
"5007","Corumbá","MS","real data","real data","real data",2002-06-01,240
"5007","Corumbá","MS","real data","real data","real data",2002-07-01,231
"5007","Corumbá","MS","real data","real data","real data",2002-08-01,241
"5007","Corumbá","MS","real data","real data","real data",2002-09-01,235
"5007","Corumbá","MS","real data","real data","real data",2002-10-01,241
"5007","Corumbá","MS","real data","real data","real data",2002-11-01,168
"5007","Corumbá","MS","real data","real data","real data",2002-12-01,205
"5007","Corumbá","MS","real data","real data","real data",2003-01-01,219
"5007","Corumbá","MS","real data","real data","real data",2003-02-01,216
"5007","Corumbá","MS","real data","real data","real data",2003-03-01,245
"5007","Corumbá","MS","real data","real data","real data",2003-04-01,250
"5007","Corumbá","MS","real data","real data","real data",2003-05-01,247
"5007","Corumbá","MS","real data","real data","real data",2003-06-01,225
"5007","Corumbá","MS","real data","real data","real data",2003-07-01,185
"5007","Corumbá","MS","real data","real data","real data",2003-08-01,194
"5007","Corumbá","MS","real data","real data","real data",2003-09-01,163
"5007","Corumbá","MS","real data","real data","real data",2003-10-01,153
"5007","Corumbá","MS","real data","real data","real data",2003-11-01,156
"5007","Corumbá","MS","real data","real data","real data",2003-12-01,194
"5007","Corumbá","MS","real data","real data","real data",2004-01-01,240
"5007","Corumbá","MS","real data","real data","real data",2004-02-01,224
"5007","Corumbá","MS","real data","real data","real data",2004-03-01,259
"5007","Corumbá","MS","real data","real data","real data",2004-04-01,218
"5007","Corumbá","MS","real data","real data","real data",2004-05-01,243
"5007","Corumbá","MS","real data","real data","real data",2004-06-01,219
"5007","Corumbá","MS","real data","real data","real data",2004-07-01,187
"5007","Corumbá","MS","real data","real data","real data",2004-08-01,202
"5007","Corumbá","MS","real data","real data","real data",2004-09-01,208
"5007","Corumbá","MS","real data","real data","real data",2004-10-01,176
"5007","Corumbá","MS","real data","real data","real data",2004-11-01,151
"5007","Corumbá","MS","real data","real data","real data",2004-12-01,201
"5007","Corumbá","MS","real data","real data","real data",2005-01-01,187
"5007","Corumbá","MS","real data","real data","real data",2005-02-01,215
"5007","Corumbá","MS","real data","real data","real data",2005-03-01,259
"5007","Corumbá","MS","real data","real data","real data",2005-04-01,237
"5007","Corumbá","MS","real data","real data","real data",2005-05-01,221
