"mc_region","region_name","state","mape","id","desc","date","qtt"
"5102","Macrorregião Oeste","MT","real data","real data","real data",2000-01-01,458
"5102","Macrorregião Oeste","MT","real data","real data","real data",2000-02-01,457
"5102","Macrorregião Oeste","MT","real data","real data","real data",2000-03-01,489
"5102","Macrorregião Oeste","MT","real data","real data","real data",2000-04-01,495
"5102","Macrorregião Oeste","MT","real data","real data","real data",2000-05-01,521
"5102","Macrorregião Oeste","MT","real data","real data","real data",2000-06-01,490
"5102","Macrorregião Oeste","MT","real data","real data","real data",2000-07-01,465
"5102","Macrorregião Oeste","MT","real data","real data","real data",2000-08-01,495
"5102","Macrorregião Oeste","MT","real data","real data","real data",2000-09-01,469
"5102","Macrorregião Oeste","MT","real data","real data","real data",2000-10-01,431
"5102","Macrorregião Oeste","MT","real data","real data","real data",2000-11-01,420
"5102","Macrorregião Oeste","MT","real data","real data","real data",2000-12-01,423
"5102","Macrorregião Oeste","MT","real data","real data","real data",2001-01-01,447
"5102","Macrorregião Oeste","MT","real data","real data","real data",2001-02-01,434
"5102","Macrorregião Oeste","MT","real data","real data","real data",2001-03-01,489
"5102","Macrorregião Oeste","MT","real data","real data","real data",2001-04-01,460
"5102","Macrorregião Oeste","MT","real data","real data","real data",2001-05-01,498
"5102","Macrorregião Oeste","MT","real data","real data","real data",2001-06-01,463
"5102","Macrorregião Oeste","MT","real data","real data","real data",2001-07-01,467
"5102","Macrorregião Oeste","MT","real data","real data","real data",2001-08-01,433
"5102","Macrorregião Oeste","MT","real data","real data","real data",2001-09-01,406
"5102","Macrorregião Oeste","MT","real data","real data","real data",2001-10-01,441
"5102","Macrorregião Oeste","MT","real data","real data","real data",2001-11-01,444
"5102","Macrorregião Oeste","MT","real data","real data","real data",2001-12-01,430
"5102","Macrorregião Oeste","MT","real data","real data","real data",2002-01-01,423
"5102","Macrorregião Oeste","MT","real data","real data","real data",2002-02-01,439
"5102","Macrorregião Oeste","MT","real data","real data","real data",2002-03-01,527
"5102","Macrorregião Oeste","MT","real data","real data","real data",2002-04-01,422
"5102","Macrorregião Oeste","MT","real data","real data","real data",2002-05-01,485
"5102","Macrorregião Oeste","MT","real data","real data","real data",2002-06-01,449
"5102","Macrorregião Oeste","MT","real data","real data","real data",2002-07-01,447
"5102","Macrorregião Oeste","MT","real data","real data","real data",2002-08-01,433
"5102","Macrorregião Oeste","MT","real data","real data","real data",2002-09-01,404
"5102","Macrorregião Oeste","MT","real data","real data","real data",2002-10-01,427
"5102","Macrorregião Oeste","MT","real data","real data","real data",2002-11-01,366
"5102","Macrorregião Oeste","MT","real data","real data","real data",2002-12-01,298
"5102","Macrorregião Oeste","MT","real data","real data","real data",2003-01-01,428
"5102","Macrorregião Oeste","MT","real data","real data","real data",2003-02-01,386
"5102","Macrorregião Oeste","MT","real data","real data","real data",2003-03-01,487
"5102","Macrorregião Oeste","MT","real data","real data","real data",2003-04-01,523
"5102","Macrorregião Oeste","MT","real data","real data","real data",2003-05-01,505
"5102","Macrorregião Oeste","MT","real data","real data","real data",2003-06-01,472
"5102","Macrorregião Oeste","MT","real data","real data","real data",2003-07-01,418
"5102","Macrorregião Oeste","MT","real data","real data","real data",2003-08-01,394
"5102","Macrorregião Oeste","MT","real data","real data","real data",2003-09-01,397
"5102","Macrorregião Oeste","MT","real data","real data","real data",2003-10-01,397
