"mc_region","region_name","state","mape","id","desc","date","qtt"
"5103","Macrorregião Norte","MT","real data","real data","real data",2000-01-01,768
"5103","Macrorregião Norte","MT","real data","real data","real data",2000-02-01,792
"5103","Macrorregião Norte","MT","real data","real data","real data",2000-03-01,852
"5103","Macrorregião Norte","MT","real data","real data","real data",2000-04-01,827
"5103","Macrorregião Norte","MT","real data","real data","real data",2000-05-01,921
"5103","Macrorregião Norte","MT","real data","real data","real data",2000-06-01,841
"5103","Macrorregião Norte","MT","real data","real data","real data",2000-07-01,870
"5103","Macrorregião Norte","MT","real data","real data","real data",2000-08-01,911
"5103","Macrorregião Norte","MT","real data","real data","real data",2000-09-01,851
"5103","Macrorregião Norte","MT","real data","real data","real data",2000-10-01,876
"5103","Macrorregião Norte","MT","real data","real data","real data",2000-11-01,775
"5103","Macrorregião Norte","MT","real data","real data","real data",2000-12-01,745
"5103","Macrorregião Norte","MT","real data","real data","real data",2001-01-01,712
"5103","Macrorregião Norte","MT","real data","real data","real data",2001-02-01,712
"5103","Macrorregião Norte","MT","real data","real data","real data",2001-03-01,841
"5103","Macrorregião Norte","MT","real data","real data","real data",2001-04-01,919
"5103","Macrorregião Norte","MT","real data","real data","real data",2001-05-01,854
"5103","Macrorregião Norte","MT","real data","real data","real data",2001-06-01,808
"5103","Macrorregião Norte","MT","real data","real data","real data",2001-07-01,619
"5103","Macrorregião Norte","MT","real data","real data","real data",2001-08-01,646
"5103","Macrorregião Norte","MT","real data","real data","real data",2001-09-01,796
"5103","Macrorregião Norte","MT","real data","real data","real data",2001-10-01,878
"5103","Macrorregião Norte","MT","real data","real data","real data",2001-11-01,794
"5103","Macrorregião Norte","MT","real data","real data","real data",2001-12-01,745
"5103","Macrorregião Norte","MT","real data","real data","real data",2002-01-01,829
"5103","Macrorregião Norte","MT","real data","real data","real data",2002-02-01,732
"5103","Macrorregião Norte","MT","real data","real data","real data",2002-03-01,896
"5103","Macrorregião Norte","MT","real data","real data","real data",2002-04-01,885
"5103","Macrorregião Norte","MT","real data","real data","real data",2002-05-01,878
"5103","Macrorregião Norte","MT","real data","real data","real data",2002-06-01,751
"5103","Macrorregião Norte","MT","real data","real data","real data",2002-07-01,856
"5103","Macrorregião Norte","MT","real data","real data","real data",2002-08-01,822
"5103","Macrorregião Norte","MT","real data","real data","real data",2002-09-01,808
"5103","Macrorregião Norte","MT","real data","real data","real data",2002-10-01,876
"5103","Macrorregião Norte","MT","real data","real data","real data",2002-11-01,783
"5103","Macrorregião Norte","MT","real data","real data","real data",2002-12-01,675
"5103","Macrorregião Norte","MT","real data","real data","real data",2003-01-01,784
"5103","Macrorregião Norte","MT","real data","real data","real data",2003-02-01,718
"5103","Macrorregião Norte","MT","real data","real data","real data",2003-03-01,910
"5103","Macrorregião Norte","MT","real data","real data","real data",2003-04-01,943
"5103","Macrorregião Norte","MT","real data","real data","real data",2003-05-01,884
"5103","Macrorregião Norte","MT","real data","real data","real data",2003-06-01,858
"5103","Macrorregião Norte","MT","real data","real data","real data",2003-07-01,826
"5103","Macrorregião Norte","MT","real data","real data","real data",2003-08-01,875
"5103","Macrorregião Norte","MT","real data","real data","real data",2003-09-01,860
"5103","Macrorregião Norte","MT","real data","real data","real data",2003-10-01,843
"5103","Macrorregião Norte","MT","real data","real data","real data",2003-11-01,802
"5103","Macrorregião Norte","MT","real data","real data","real data",2003-12-01,791
"5103","Macrorregião Norte","MT","real data","real data","real data",2004-01-01,818
"5103","Macrorregião Norte","MT","real data","real data","real data",2004-02-01,827
"5103","Macrorregião Norte","MT","real data","real data","real data",2004-03-01,949
"5103","Macrorregião Norte","MT","real data","real data","real data",2004-04-01,995
"5103","Macrorregião Norte","MT","real data","real data","real data",2004-05-01,1023
"5103","Macrorregião Norte","MT","real data","real data","real data",2004-06-01,939
"5103","Macrorregião Norte","MT","real data","real data","real data",2004-07-01,921
"5103","Macrorregião Norte","MT","real data","real data","real data",2004-08-01,944
"5103","Macrorregião Norte","MT","real data","real data","real data",2004-09-01,952
"5103","Macrorregião Norte","MT","real data","real data","real data",2004-10-01,863
"5103","Macrorregião Norte","MT","real data","real data","real data",2004-11-01,860
"5103","Macrorregião Norte","MT","real data","real data","real data",2004-12-01,792
"5103","Macrorregião Norte","MT","real data","real data","real data",2005-01-01,897
"5103","Macrorregião Norte","MT","real data","real data","real data",2005-02-01,867
"5103","Macrorregião Norte","MT","real data","real data","real data",2005-03-01,1046
"5103","Macrorregião Norte","MT","real data","real data","real data",2005-04-01,1012
"5103","Macrorregião Norte","MT","real data","real data","real data",2005-05-01,1044
"5103","Macrorregião Norte","MT","real data","real data","real data",2005-06-01,959
"5103","Macrorregião Norte","MT","real data","real data","real data",2005-07-01,997
"5103","Macrorregião Norte","MT","real data","real data","real data",2005-08-01,966
"5103","Macrorregião Norte","MT","real data","real data","real data",2005-09-01,864
"5103","Macrorregião Norte","MT","real data","real data","real data",2005-10-01,893
"5103","Macrorregião Norte","MT","real data","real data","real data",2005-11-01,863
"5103","Macrorregião Norte","MT","real data","real data","real data",2005-12-01,884
"5103","Macrorregião Norte","MT","real data","real data","real data",2006-01-01,788
"5103","Macrorregião Norte","MT","real data","real data","real data",2006-02-01,760
"5103","Macrorregião Norte","MT","real data","real data","real data",2006-03-01,855
"5103","Macrorregião Norte","MT","real data","real data","real data",2006-04-01,912
"5103","Macrorregião Norte","MT","real data","real data","real data",2006-05-01,853
"5103","Macrorregião Norte","MT","real data","real data","real data",2006-06-01,897
"5103","Macrorregião Norte","MT","real data","real data","real data",2006-07-01,875
"5103","Macrorregião Norte","MT","real data","real data","real data",2006-08-01,915
"5103","Macrorregião Norte","MT","real data","real data","real data",2006-09-01,886
"5103","Macrorregião Norte","MT","real data","real data","real data",2006-10-01,795
"5103","Macrorregião Norte","MT","real data","real data","real data",2006-11-01,736
"5103","Macrorregião Norte","MT","real data","real data","real data",2006-12-01,782
"5103","Macrorregião Norte","MT","real data","real data","real data",2007-01-01,837
"5103","Macrorregião Norte","MT","real data","real data","real data",2007-02-01,822
"5103","Macrorregião Norte","MT","real data","real data","real data",2007-03-01,941
"5103","Macrorregião Norte","MT","real data","real data","real data",2007-04-01,821
"5103","Macrorregião Norte","MT","real data","real data","real data",2007-05-01,891
"5103","Macrorregião Norte","MT","real data","real data","real data",2007-06-01,788
"5103","Macrorregião Norte","MT","real data","real data","real data",2007-07-01,722
"5103","Macrorregião Norte","MT","real data","real data","real data",2007-08-01,771
"5103","Macrorregião Norte","MT","real data","real data","real data",2007-09-01,741
"5103","Macrorregião Norte","MT","real data","real data","real data",2007-10-01,649
"5103","Macrorregião Norte","MT","real data","real data","real data",2007-11-01,644
"5103","Macrorregião Norte","MT","real data","real data","real data",2007-12-01,775
"5103","Macrorregião Norte","MT","real data","real data","real data",2008-01-01,752
"5103","Macrorregião Norte","MT","real data","real data","real data",2008-02-01,789
"5103","Macrorregião Norte","MT","real data","real data","real data",2008-03-01,870
"5103","Macrorregião Norte","MT","real data","real data","real data",2008-04-01,881
"5103","Macrorregião Norte","MT","real data","real data","real data",2008-05-01,929
"5103","Macrorregião Norte","MT","real data","real data","real data",2008-06-01,878
"5103","Macrorregião Norte","MT","real data","real data","real data",2008-07-01,887
"5103","Macrorregião Norte","MT","real data","real data","real data",2008-08-01,840
"5103","Macrorregião Norte","MT","real data","real data","real data",2008-09-01,919
"5103","Macrorregião Norte","MT","real data","real data","real data",2008-10-01,905
"5103","Macrorregião Norte","MT","real data","real data","real data",2008-11-01,850
"5103","Macrorregião Norte","MT","real data","real data","real data",2008-12-01,892
"5103","Macrorregião Norte","MT","real data","real data","real data",2009-01-01,901
"5103","Macrorregião Norte","MT","real data","real data","real data",2009-02-01,835
"5103","Macrorregião Norte","MT","real data","real data","real data",2009-03-01,902
"5103","Macrorregião Norte","MT","real data","real data","real data",2009-04-01,905
"5103","Macrorregião Norte","MT","real data","real data","real data",2009-05-01,849
"5103","Macrorregião Norte","MT","real data","real data","real data",2009-06-01,824
"5103","Macrorregião Norte","MT","real data","real data","real data",2009-07-01,798
"5103","Macrorregião Norte","MT","real data","real data","real data",2009-08-01,751
"5103","Macrorregião Norte","MT","real data","real data","real data",2009-09-01,817
"5103","Macrorregião Norte","MT","real data","real data","real data",2009-10-01,765
