"mc_region","region_name","state","mape","id","desc","date","qtt"
"5207","Macrorregião Nordeste","GO","real data","real data","real data",2000-01-01,1700
"5207","Macrorregião Nordeste","GO","real data","real data","real data",2000-02-01,1573
"5207","Macrorregião Nordeste","GO","real data","real data","real data",2000-03-01,1683
"5207","Macrorregião Nordeste","GO","real data","real data","real data",2000-04-01,1625
"5207","Macrorregião Nordeste","GO","real data","real data","real data",2000-05-01,1734
"5207","Macrorregião Nordeste","GO","real data","real data","real data",2000-06-01,1605
"5207","Macrorregião Nordeste","GO","real data","real data","real data",2000-07-01,1710
"5207","Macrorregião Nordeste","GO","real data","real data","real data",2000-08-01,1577
"5207","Macrorregião Nordeste","GO","real data","real data","real data",2000-09-01,1676
"5207","Macrorregião Nordeste","GO","real data","real data","real data",2000-10-01,1694
"5207","Macrorregião Nordeste","GO","real data","real data","real data",2000-11-01,1516
"5207","Macrorregião Nordeste","GO","real data","real data","real data",2000-12-01,1581
"5207","Macrorregião Nordeste","GO","real data","real data","real data",2001-01-01,1607
"5207","Macrorregião Nordeste","GO","real data","real data","real data",2001-02-01,1511
"5207","Macrorregião Nordeste","GO","real data","real data","real data",2001-03-01,1715
"5207","Macrorregião Nordeste","GO","real data","real data","real data",2001-04-01,1593
"5207","Macrorregião Nordeste","GO","real data","real data","real data",2001-05-01,1644
"5207","Macrorregião Nordeste","GO","real data","real data","real data",2001-06-01,1574
"5207","Macrorregião Nordeste","GO","real data","real data","real data",2001-07-01,1642
"5207","Macrorregião Nordeste","GO","real data","real data","real data",2001-08-01,1631
"5207","Macrorregião Nordeste","GO","real data","real data","real data",2001-09-01,1659
"5207","Macrorregião Nordeste","GO","real data","real data","real data",2001-10-01,1629
"5207","Macrorregião Nordeste","GO","real data","real data","real data",2001-11-01,1283
"5207","Macrorregião Nordeste","GO","real data","real data","real data",2001-12-01,1307
"5207","Macrorregião Nordeste","GO","real data","real data","real data",2002-01-01,1735
"5207","Macrorregião Nordeste","GO","real data","real data","real data",2002-02-01,1620
"5207","Macrorregião Nordeste","GO","real data","real data","real data",2002-03-01,1717
"5207","Macrorregião Nordeste","GO","real data","real data","real data",2002-04-01,1670
"5207","Macrorregião Nordeste","GO","real data","real data","real data",2002-05-01,1766
"5207","Macrorregião Nordeste","GO","real data","real data","real data",2002-06-01,1580
"5207","Macrorregião Nordeste","GO","real data","real data","real data",2002-07-01,1648
"5207","Macrorregião Nordeste","GO","real data","real data","real data",2002-08-01,1606
"5207","Macrorregião Nordeste","GO","real data","real data","real data",2002-09-01,1630
"5207","Macrorregião Nordeste","GO","real data","real data","real data",2002-10-01,1660
"5207","Macrorregião Nordeste","GO","real data","real data","real data",2002-11-01,1548
"5207","Macrorregião Nordeste","GO","real data","real data","real data",2002-12-01,1591
"5207","Macrorregião Nordeste","GO","real data","real data","real data",2003-01-01,1619
"5207","Macrorregião Nordeste","GO","real data","real data","real data",2003-02-01,1571
"5207","Macrorregião Nordeste","GO","real data","real data","real data",2003-03-01,1853
"5207","Macrorregião Nordeste","GO","real data","real data","real data",2003-04-01,1685
"5207","Macrorregião Nordeste","GO","real data","real data","real data",2003-05-01,1619
"5207","Macrorregião Nordeste","GO","real data","real data","real data",2003-06-01,1626
"5207","Macrorregião Nordeste","GO","real data","real data","real data",2003-07-01,1698
"5207","Macrorregião Nordeste","GO","real data","real data","real data",2003-08-01,1559
"5207","Macrorregião Nordeste","GO","real data","real data","real data",2003-09-01,1707
"5207","Macrorregião Nordeste","GO","real data","real data","real data",2003-10-01,1621
