"mc_region","region_name","state","mape","id","desc","date","qtt"
"5208","macrorregião Centro-Oeste","GO","real data","real data","real data",2000-01-01,2631
"5208","macrorregião Centro-Oeste","GO","real data","real data","real data",2000-02-01,2704
"5208","macrorregião Centro-Oeste","GO","real data","real data","real data",2000-03-01,2857
"5208","macrorregião Centro-Oeste","GO","real data","real data","real data",2000-04-01,2756
"5208","macrorregião Centro-Oeste","GO","real data","real data","real data",2000-05-01,2798
"5208","macrorregião Centro-Oeste","GO","real data","real data","real data",2000-06-01,2497
"5208","macrorregião Centro-Oeste","GO","real data","real data","real data",2000-07-01,2672
"5208","macrorregião Centro-Oeste","GO","real data","real data","real data",2000-08-01,2553
"5208","macrorregião Centro-Oeste","GO","real data","real data","real data",2000-09-01,2651
"5208","macrorregião Centro-Oeste","GO","real data","real data","real data",2000-10-01,2558
"5208","macrorregião Centro-Oeste","GO","real data","real data","real data",2000-11-01,2335
"5208","macrorregião Centro-Oeste","GO","real data","real data","real data",2000-12-01,2427
"5208","macrorregião Centro-Oeste","GO","real data","real data","real data",2001-01-01,2539
"5208","macrorregião Centro-Oeste","GO","real data","real data","real data",2001-02-01,2316
"5208","macrorregião Centro-Oeste","GO","real data","real data","real data",2001-03-01,2745
"5208","macrorregião Centro-Oeste","GO","real data","real data","real data",2001-04-01,2708
"5208","macrorregião Centro-Oeste","GO","real data","real data","real data",2001-05-01,2801
"5208","macrorregião Centro-Oeste","GO","real data","real data","real data",2001-06-01,2456
"5208","macrorregião Centro-Oeste","GO","real data","real data","real data",2001-07-01,2570
"5208","macrorregião Centro-Oeste","GO","real data","real data","real data",2001-08-01,2391
"5208","macrorregião Centro-Oeste","GO","real data","real data","real data",2001-09-01,2592
"5208","macrorregião Centro-Oeste","GO","real data","real data","real data",2001-10-01,2531
"5208","macrorregião Centro-Oeste","GO","real data","real data","real data",2001-11-01,2404
"5208","macrorregião Centro-Oeste","GO","real data","real data","real data",2001-12-01,2550
"5208","macrorregião Centro-Oeste","GO","real data","real data","real data",2002-01-01,2640
"5208","macrorregião Centro-Oeste","GO","real data","real data","real data",2002-02-01,2539
"5208","macrorregião Centro-Oeste","GO","real data","real data","real data",2002-03-01,2756
"5208","macrorregião Centro-Oeste","GO","real data","real data","real data",2002-04-01,2763
"5208","macrorregião Centro-Oeste","GO","real data","real data","real data",2002-05-01,2682
"5208","macrorregião Centro-Oeste","GO","real data","real data","real data",2002-06-01,2399
"5208","macrorregião Centro-Oeste","GO","real data","real data","real data",2002-07-01,2530
"5208","macrorregião Centro-Oeste","GO","real data","real data","real data",2002-08-01,2428
"5208","macrorregião Centro-Oeste","GO","real data","real data","real data",2002-09-01,2571
"5208","macrorregião Centro-Oeste","GO","real data","real data","real data",2002-10-01,2409
"5208","macrorregião Centro-Oeste","GO","real data","real data","real data",2002-11-01,2318
"5208","macrorregião Centro-Oeste","GO","real data","real data","real data",2002-12-01,2513
"5208","macrorregião Centro-Oeste","GO","real data","real data","real data",2003-01-01,2542
"5208","macrorregião Centro-Oeste","GO","real data","real data","real data",2003-02-01,2494
"5208","macrorregião Centro-Oeste","GO","real data","real data","real data",2003-03-01,2772
"5208","macrorregião Centro-Oeste","GO","real data","real data","real data",2003-04-01,2873
"5208","macrorregião Centro-Oeste","GO","real data","real data","real data",2003-05-01,2693
"5208","macrorregião Centro-Oeste","GO","real data","real data","real data",2003-06-01,2368
"5208","macrorregião Centro-Oeste","GO","real data","real data","real data",2003-07-01,2501
"5208","macrorregião Centro-Oeste","GO","real data","real data","real data",2003-08-01,2365
"5208","macrorregião Centro-Oeste","GO","real data","real data","real data",2003-09-01,2504
"5208","macrorregião Centro-Oeste","GO","real data","real data","real data",2003-10-01,2386
"5208","macrorregião Centro-Oeste","GO","real data","real data","real data",2003-11-01,2433
"5208","macrorregião Centro-Oeste","GO","real data","real data","real data",2003-12-01,2385
"5208","macrorregião Centro-Oeste","GO","real data","real data","real data",2004-01-01,2514
"5208","macrorregião Centro-Oeste","GO","real data","real data","real data",2004-02-01,2452
"5208","macrorregião Centro-Oeste","GO","real data","real data","real data",2004-03-01,2824
"5208","macrorregião Centro-Oeste","GO","real data","real data","real data",2004-04-01,2726
"5208","macrorregião Centro-Oeste","GO","real data","real data","real data",2004-05-01,2657
"5208","macrorregião Centro-Oeste","GO","real data","real data","real data",2004-06-01,2438
"5208","macrorregião Centro-Oeste","GO","real data","real data","real data",2004-07-01,2442
"5208","macrorregião Centro-Oeste","GO","real data","real data","real data",2004-08-01,2339
"5208","macrorregião Centro-Oeste","GO","real data","real data","real data",2004-09-01,2493
"5208","macrorregião Centro-Oeste","GO","real data","real data","real data",2004-10-01,2372
"5208","macrorregião Centro-Oeste","GO","real data","real data","real data",2004-11-01,2206
"5208","macrorregião Centro-Oeste","GO","real data","real data","real data",2004-12-01,2367
"5208","macrorregião Centro-Oeste","GO","real data","real data","real data",2005-01-01,2401
"5208","macrorregião Centro-Oeste","GO","real data","real data","real data",2005-02-01,2352
"5208","macrorregião Centro-Oeste","GO","real data","real data","real data",2005-03-01,2855
"5208","macrorregião Centro-Oeste","GO","real data","real data","real data",2005-04-01,2740
"5208","macrorregião Centro-Oeste","GO","real data","real data","real data",2005-05-01,2708
"5208","macrorregião Centro-Oeste","GO","real data","real data","real data",2005-06-01,2509
"5208","macrorregião Centro-Oeste","GO","real data","real data","real data",2005-07-01,2472
"5208","macrorregião Centro-Oeste","GO","real data","real data","real data",2005-08-01,2336
