"mc_region","region_name","state","mape","id","desc","date","qtt"
"5210","Macrorregião Centro Sudeste","GO","real data","real data","real data",2000-01-01,1527
"5210","Macrorregião Centro Sudeste","GO","real data","real data","real data",2000-02-01,1503
"5210","Macrorregião Centro Sudeste","GO","real data","real data","real data",2000-03-01,1688
"5210","Macrorregião Centro Sudeste","GO","real data","real data","real data",2000-04-01,1618
"5210","Macrorregião Centro Sudeste","GO","real data","real data","real data",2000-05-01,1644
"5210","Macrorregião Centro Sudeste","GO","real data","real data","real data",2000-06-01,1527
"5210","Macrorregião Centro Sudeste","GO","real data","real data","real data",2000-07-01,1512
"5210","Macrorregião Centro Sudeste","GO","real data","real data","real data",2000-08-01,1645
"5210","Macrorregião Centro Sudeste","GO","real data","real data","real data",2000-09-01,1564
"5210","Macrorregião Centro Sudeste","GO","real data","real data","real data",2000-10-01,1512
"5210","Macrorregião Centro Sudeste","GO","real data","real data","real data",2000-11-01,1449
"5210","Macrorregião Centro Sudeste","GO","real data","real data","real data",2000-12-01,1512
"5210","Macrorregião Centro Sudeste","GO","real data","real data","real data",2001-01-01,1524
"5210","Macrorregião Centro Sudeste","GO","real data","real data","real data",2001-02-01,1467
"5210","Macrorregião Centro Sudeste","GO","real data","real data","real data",2001-03-01,1661
"5210","Macrorregião Centro Sudeste","GO","real data","real data","real data",2001-04-01,1658
"5210","Macrorregião Centro Sudeste","GO","real data","real data","real data",2001-05-01,1697
"5210","Macrorregião Centro Sudeste","GO","real data","real data","real data",2001-06-01,1466
"5210","Macrorregião Centro Sudeste","GO","real data","real data","real data",2001-07-01,1542
"5210","Macrorregião Centro Sudeste","GO","real data","real data","real data",2001-08-01,1498
"5210","Macrorregião Centro Sudeste","GO","real data","real data","real data",2001-09-01,1540
"5210","Macrorregião Centro Sudeste","GO","real data","real data","real data",2001-10-01,1597
"5210","Macrorregião Centro Sudeste","GO","real data","real data","real data",2001-11-01,1513
"5210","Macrorregião Centro Sudeste","GO","real data","real data","real data",2001-12-01,1536
"5210","Macrorregião Centro Sudeste","GO","real data","real data","real data",2002-01-01,1647
"5210","Macrorregião Centro Sudeste","GO","real data","real data","real data",2002-02-01,1563
"5210","Macrorregião Centro Sudeste","GO","real data","real data","real data",2002-03-01,1807
"5210","Macrorregião Centro Sudeste","GO","real data","real data","real data",2002-04-01,1685
"5210","Macrorregião Centro Sudeste","GO","real data","real data","real data",2002-05-01,1590
"5210","Macrorregião Centro Sudeste","GO","real data","real data","real data",2002-06-01,1459
"5210","Macrorregião Centro Sudeste","GO","real data","real data","real data",2002-07-01,1577
"5210","Macrorregião Centro Sudeste","GO","real data","real data","real data",2002-08-01,1510
"5210","Macrorregião Centro Sudeste","GO","real data","real data","real data",2002-09-01,1623
"5210","Macrorregião Centro Sudeste","GO","real data","real data","real data",2002-10-01,1561
"5210","Macrorregião Centro Sudeste","GO","real data","real data","real data",2002-11-01,1521
"5210","Macrorregião Centro Sudeste","GO","real data","real data","real data",2002-12-01,1480
"5210","Macrorregião Centro Sudeste","GO","real data","real data","real data",2003-01-01,1466
"5210","Macrorregião Centro Sudeste","GO","real data","real data","real data",2003-02-01,1536
"5210","Macrorregião Centro Sudeste","GO","real data","real data","real data",2003-03-01,1653
"5210","Macrorregião Centro Sudeste","GO","real data","real data","real data",2003-04-01,1624
"5210","Macrorregião Centro Sudeste","GO","real data","real data","real data",2003-05-01,1588
"5210","Macrorregião Centro Sudeste","GO","real data","real data","real data",2003-06-01,1527
"5210","Macrorregião Centro Sudeste","GO","real data","real data","real data",2003-07-01,1592
"5210","Macrorregião Centro Sudeste","GO","real data","real data","real data",2003-08-01,1537
"5210","Macrorregião Centro Sudeste","GO","real data","real data","real data",2003-09-01,1487
"5210","Macrorregião Centro Sudeste","GO","real data","real data","real data",2003-10-01,1519
"5210","Macrorregião Centro Sudeste","GO","real data","real data","real data",2003-11-01,1429
"5210","Macrorregião Centro Sudeste","GO","real data","real data","real data",2003-12-01,1462
"5210","Macrorregião Centro Sudeste","GO","real data","real data","real data",2004-01-01,1550
"5210","Macrorregião Centro Sudeste","GO","real data","real data","real data",2004-02-01,1434
"5210","Macrorregião Centro Sudeste","GO","real data","real data","real data",2004-03-01,1794
"5210","Macrorregião Centro Sudeste","GO","real data","real data","real data",2004-04-01,1661
"5210","Macrorregião Centro Sudeste","GO","real data","real data","real data",2004-05-01,1646
