"mc_region","region_name","state","mape","id","desc","date","qtt"
"5302","Distrito Federal","DF","real data","real data","real data",2000-01-01,4074
"5302","Distrito Federal","DF","real data","real data","real data",2000-02-01,3940
"5302","Distrito Federal","DF","real data","real data","real data",2000-03-01,4222
"5302","Distrito Federal","DF","real data","real data","real data",2000-04-01,4064
"5302","Distrito Federal","DF","real data","real data","real data",2000-05-01,4352
"5302","Distrito Federal","DF","real data","real data","real data",2000-06-01,4135
"5302","Distrito Federal","DF","real data","real data","real data",2000-07-01,4067
"5302","Distrito Federal","DF","real data","real data","real data",2000-08-01,3900
"5302","Distrito Federal","DF","real data","real data","real data",2000-09-01,3920
"5302","Distrito Federal","DF","real data","real data","real data",2000-10-01,3858
"5302","Distrito Federal","DF","real data","real data","real data",2000-11-01,3705
"5302","Distrito Federal","DF","real data","real data","real data",2000-12-01,3754
"5302","Distrito Federal","DF","real data","real data","real data",2001-01-01,3967
"5302","Distrito Federal","DF","real data","real data","real data",2001-02-01,3678
"5302","Distrito Federal","DF","real data","real data","real data",2001-03-01,4140
"5302","Distrito Federal","DF","real data","real data","real data",2001-04-01,4045
"5302","Distrito Federal","DF","real data","real data","real data",2001-05-01,4135
"5302","Distrito Federal","DF","real data","real data","real data",2001-06-01,3991
"5302","Distrito Federal","DF","real data","real data","real data",2001-07-01,3886
"5302","Distrito Federal","DF","real data","real data","real data",2001-08-01,3792
"5302","Distrito Federal","DF","real data","real data","real data",2001-09-01,3605
"5302","Distrito Federal","DF","real data","real data","real data",2001-10-01,3999
"5302","Distrito Federal","DF","real data","real data","real data",2001-11-01,3752
"5302","Distrito Federal","DF","real data","real data","real data",2001-12-01,3901
"5302","Distrito Federal","DF","real data","real data","real data",2002-01-01,3951
"5302","Distrito Federal","DF","real data","real data","real data",2002-02-01,3701
"5302","Distrito Federal","DF","real data","real data","real data",2002-03-01,4044
"5302","Distrito Federal","DF","real data","real data","real data",2002-04-01,3800
"5302","Distrito Federal","DF","real data","real data","real data",2002-05-01,3988
"5302","Distrito Federal","DF","real data","real data","real data",2002-06-01,3778
"5302","Distrito Federal","DF","real data","real data","real data",2002-07-01,3704
"5302","Distrito Federal","DF","real data","real data","real data",2002-08-01,3737
"5302","Distrito Federal","DF","real data","real data","real data",2002-09-01,3825
"5302","Distrito Federal","DF","real data","real data","real data",2002-10-01,3732
"5302","Distrito Federal","DF","real data","real data","real data",2002-11-01,3744
"5302","Distrito Federal","DF","real data","real data","real data",2002-12-01,3795
"5302","Distrito Federal","DF","real data","real data","real data",2003-01-01,3775
"5302","Distrito Federal","DF","real data","real data","real data",2003-02-01,3723
"5302","Distrito Federal","DF","real data","real data","real data",2003-03-01,4232
"5302","Distrito Federal","DF","real data","real data","real data",2003-04-01,3841
"5302","Distrito Federal","DF","real data","real data","real data",2003-05-01,4015
"5302","Distrito Federal","DF","real data","real data","real data",2003-06-01,3944
"5302","Distrito Federal","DF","real data","real data","real data",2003-07-01,3847
"5302","Distrito Federal","DF","real data","real data","real data",2003-08-01,3816
"5302","Distrito Federal","DF","real data","real data","real data",2003-09-01,3897
"5302","Distrito Federal","DF","real data","real data","real data",2003-10-01,3642
"5302","Distrito Federal","DF","real data","real data","real data",2003-11-01,3592
"5302","Distrito Federal","DF","real data","real data","real data",2003-12-01,3773
"5302","Distrito Federal","DF","real data","real data","real data",2004-01-01,3841
"5302","Distrito Federal","DF","real data","real data","real data",2004-02-01,3784
"5302","Distrito Federal","DF","real data","real data","real data",2004-03-01,4282
"5302","Distrito Federal","DF","real data","real data","real data",2004-04-01,3851
"5302","Distrito Federal","DF","real data","real data","real data",2004-05-01,3988
"5302","Distrito Federal","DF","real data","real data","real data",2004-06-01,3787
"5302","Distrito Federal","DF","real data","real data","real data",2004-07-01,3691
"5302","Distrito Federal","DF","real data","real data","real data",2004-08-01,3855
"5302","Distrito Federal","DF","real data","real data","real data",2004-09-01,3713
"5302","Distrito Federal","DF","real data","real data","real data",2004-10-01,3629
"5302","Distrito Federal","DF","real data","real data","real data",2004-11-01,3505
"5302","Distrito Federal","DF","real data","real data","real data",2004-12-01,3667
